报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,21.095,3.0396,6.94,1.14,-14.08%,-1842.65万,-3506.54%,3.27,18.5044,,2.1223,PE；PB,4.62亿,1.80亿,-16.18%,9.95亿,1.36亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,吴明厅
2026-03-31,21.095,3.0396,6.94,1.14,-14.08%,-1842.65万,-3506.54%,3.27,4.6261,,2.1223,PE；PB,4.62亿,1.80亿,-16.18%,9.95亿,1.36亿,,,吴明厅
2025,26.019,3.0396,8.56,4.91,12.21%,-4551.90万,-136.29%,3.35,5.2992,,2.5552,PE；PB,5.02亿,1.98亿,-8.89%,10.17亿,1.31亿,,,吴明厅
2024,15.593,3.0396,5.13,4.37,-12.77%,-1926.44万,-575.19%,3.48,3.5682,,1.4741,PE；PB,1.29亿,2.54亿,-4.41%,10.57亿,1.42亿,0.01,,吴明厅
2023,21.672,3.0396,7.13,5.01,15.29%,405.40万,3.05%,3.6,4.3257,713.0,1.9806,PE；PB,2.24亿,2.72亿,0.81%,10.92亿,1.62亿,0.01,,吴明厅
2022,16.9,3.0396,5.56,4.35,-30.55%,393.42万,-61.53%,3.6,3.8851,556.0,1.5444,PE；PB,2.30亿,2.72亿,0.90%,10.92亿,1.53亿,0.01,,吴明厅
2021,21.49,3.0396,7.07,6.26,45.84%,1022.68万,-11.34%,3.65,3.4329,235.6667,1.937,PE；PB,1.92亿,2.61亿,1.63%,11.08亿,1.82亿,0.01,,吴明厅
2020,23.192,3.0396,7.63,4.29,-6.52%,1153.49万,24.75%,3.36,5.4061,190.75,2.2708,PE；PB,9543.27万,1.72亿,2.68%,10.21亿,1.38亿,0.01,,吴明厅
2019,17.934,3.0396,5.9,4.59,-21.28%,924.61万,120.64%,3.21,3.9072,196.6667,1.838,PE；PB,1.02亿,1.65亿,1.95%,9.73亿,1.24亿,,,吴明厅
2018,15.087,3.0541,4.94,5.83,6.20%,-4478.66万,-1108.63%,3.18,2.5878,,1.5535,PE；PB,1.04亿,1.57亿,-7.71%,9.66亿,1.56亿,0.0100477,,吴明厅
2017,,,6.8,5.49,4.17%,444.03万,-28.93%,3.4,,680.0,2.0,PE；PB,2.29亿,2.05亿,0.79%,10.38亿,1.59亿,0.015045600000000001,,吴明厅
2016,,,11.98,5.27,-5.38%,624.79万,-18.64%,3.38,,599.0,3.5444,PE；PB,2.41亿,2.05亿,1.18%,10.35亿,1.62亿,0.0200518,,吴明厅
2015,,,17.41,5.57,-17.32%,767.89万,-87.63%,3.41,,696.4,5.1056,PE；PB,2.06亿,2.06亿,0.65%,10.47亿,1.32亿,0.025,,吴明厅
2014,,,11.97,6.74,12.23%,6208.42万,6.20%,3.38,,58.3902,3.5414,PE；PB,5.67亿,2.08亿,9.23%,10.48亿,1.22亿,0.05,,吴明厅
2013,,,5.92,6.0,11.59%,5846.08万,11.42%,6.47,,30.6895,0.915,PE；PB,5.82亿,1.61亿,10.46%,9.93亿,1.31亿,0.1,,吴明厅
2012,,,4.05,5.38,-4.75%,5246.82万,-29.34%,6.18,,11.6984,0.6553,PE；PB,6.08亿,1.22亿,10.45%,9.49亿,1.21亿,0.5,,吴明厅
2011,,,5.06,5.65,35.21%,7425.07万,37.15%,6.33,,10.3286,0.7994,PE；PB,6.53亿,1.50亿,13.14%,9.60亿,1.13亿,0.12,,吴明厅
2010,,,9.93,4.18,31.09%,5413.97万,27.30%,10.64,,22.5836,0.9333,PE；PB,7.10亿,9224.50万,12.96%,8.96亿,9620.83万,,,吴明厅
