报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,85.007,6.7681,12.56,9.98,5.30%,2758.34万,176.79%,2.52,8.5177,307.8431,4.9841,PE；PB,7.35亿,6.42亿,5.31%,20.76亿,6.11亿,,,无锡星盛州科技合伙企业(有限合伙)
2026-03-31,85.007,6.7681,12.56,9.98,5.30%,2758.34万,176.79%,2.52,2.1294,307.8431,4.9841,PE；PB,7.35亿,6.42亿,5.31%,20.76亿,6.11亿,,,无锡星盛州科技合伙企业(有限合伙)
2025,63.54,6.6257,9.59,35.96,7.16%,847.21万,104.26%,2.47,1.767,959.0,3.8826,PE；PB,6.61亿,6.15亿,2.75%,20.24亿,5.96亿,,,无锡星盛州科技合伙企业(有限合伙)
2024,38.429,6.6257,5.8,33.56,8.22%,-1.99亿,-226.98%,2.5,1.1451,,2.32,PE；PB,5.88亿,6.25亿,-4.02%,20.92亿,5.87亿,0.031,,无锡星盛州科技合伙企业(有限合伙)
2023,55.59,6.6257,8.39,31.01,-31.66%,-6082.91万,-111.66%,2.8,1.7926,,2.9964,PE；PB,6.66亿,8.44亿,0.98%,22.90亿,6.30亿,0.08,,无锡星盛州科技合伙企业(有限合伙)
2022,75.931,6.6257,11.46,45.38,36.12%,5.22亿,-74.11%,2.98,1.6732,14.5524,3.8456,PE；PB,5.43亿,9.69亿,17.20%,25.29亿,8.69亿,,,无锡星盛州科技合伙企业(有限合伙)
2021,61.155,6.6257,9.23,33.33,6.28%,20.15亿,187.60%,2.2,1.8348,3.0362,4.1955,PE；PB,3.77亿,4.52亿,64.04%,18.51亿,6.32亿,,,无锡星盛州科技合伙企业(有限合伙)
2020,25.84,6.6257,3.9,31.37,-5.24%,-23.01亿,-3911.63%,-0.85,0.8237,,,PE；PB,3.96亿,-15.27亿,-72.44%,-1.33亿,8.55亿,0.01,,无锡星盛州科技合伙企业(有限合伙)
2019,33.659,6.6257,5.08,33.1,5.20%,6035.55万,212.18%,2.63,1.0169,56.4444,1.9316,PE；PB,27.80亿,7.80亿,4.13%,22.64亿,10.25亿,0.01,,无锡星盛州科技合伙企业(有限合伙)
2018,20.606,6.6257,3.11,31.46,5.16%,1933.36万,-78.96%,2.55,0.655,103.6667,1.2196,PE；PB,23.66亿,7.26亿,2.47%,21.38亿,13.45亿,0.03,,无锡星盛州科技合伙企业(有限合伙)
2017,,,5.14,29.92,-8.64%,9190.14万,52.99%,2.83,,36.7143,1.8163,PE；PB,27.25亿,8.07亿,2.91%,25.97亿,12.40亿,0.03,,无锡星盛州科技合伙企业(有限合伙)
2016,,,6.92,32.68,36.88%,6007.04万,235.02%,2.77,,76.8889,2.4982,PE；PB,21.13亿,6.36亿,2.19%,20.40亿,9.71亿,0.015,,无锡星盛州科技合伙企业(有限合伙)
2015,,,7.64,23.88,-8.01%,1793.06万,-19.41%,2.69,,282.963,2.8401,PE；PB,14.19亿,5.90亿,1.42%,19.98亿,13.73亿,0.015,,无锡星盛州科技合伙企业(有限合伙)
2014,,,6.6,25.96,5.50%,2224.85万,-5.82%,2.68,,194.1176,2.4627,PE；PB,6.38亿,5.86亿,1.56%,19.46亿,13.41亿,0.015,,无锡星盛州科技合伙企业(有限合伙)
2013,,,5.6,24.6,-7.56%,2362.38万,-14.26%,2.65,,155.5556,2.1132,PE；PB,7.14亿,5.74亿,1.97%,19.00亿,10.97亿,0.02,,无锡星盛州科技合伙企业(有限合伙)
2012,,,8.14,26.61,4.70%,2755.29万,-45.37%,2.63,,193.8095,3.0951,PE；PB,13.28亿,5.64亿,1.86%,18.62亿,9.87亿,0.03,,无锡星盛州科技合伙企业(有限合伙)
2011,,,6.64,25.42,1.68%,5043.93万,4.16%,2.61,,86.2338,2.5441,PE；PB,20.23亿,5.57亿,2.66%,18.55亿,8.90亿,0.01,,无锡星盛州科技合伙企业(有限合伙)
2010,,,7.5,25.0,-1.80%,4842.26万,-19.18%,2.41,,101.3514,3.112,PE；PB,16.57亿,5.18亿,2.89%,16.79亿,8.69亿,0.015,,无锡星盛州科技合伙企业(有限合伙)
