报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,28.613,1.8689,15.31,6.08,-6.05%,2152.79万,-36.93%,13.99,4.7061,127.5833,1.0944,PE；PB,5.31亿,15.43亿,3.63%,34.77亿,5.86亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,缪金凤
2026-03-31,28.613,1.8689,15.31,6.08,-6.05%,2152.79万,-36.93%,13.99,1.1765,127.5833,1.0944,PE；PB,5.31亿,15.43亿,3.63%,34.77亿,5.86亿,,,缪金凤
2025,34.674,1.8385,18.86,27.77,20.28%,1.93亿,1876.71%,13.86,1.2486,17.7925,1.3608,PE；PB,6.10亿,15.21亿,7.57%,34.27亿,5.30亿,,,缪金凤
2024,21.546,1.8,11.97,23.09,17.91%,-1084.70万,-154.03%,12.76,0.9331,,0.9381,PE；PB,7.33亿,13.30亿,-1.20%,31.90亿,4.23亿,0.05,,缪金凤
2023,25.632,1.8,14.24,19.58,-37.84%,2007.66万,-93.63%,13.12,1.3091,129.4545,1.0854,PE；PB,13.26亿,13.52亿,0.72%,32.07亿,3.51亿,0.55,,缪金凤
2022,30.6,1.8,17.0,31.5,34.16%,3.15亿,30.61%,13.63,0.9714,9.7143,1.2472,PE；PB,19.44亿,14.30亿,12.35%,33.42亿,3.52亿,0.4,,缪金凤
2021,32.472,1.8,18.04,23.48,47.03%,2.41亿,38.16%,12.25,1.383,13.4627,1.4727,PE；PB,11.37亿,11.87亿,12.29%,27.04亿,4.05亿,0.3,,缪金凤
2020,30.852,1.8,17.14,15.59,-14.01%,1.75亿,-42.36%,11.27,1.979,17.6701,1.5209,PE；PB,10.83亿,10.20亿,14.05%,25.20亿,2.21亿,0.6,,缪金凤
2019,33.732,1.8,18.74,18.13,10.13%,3.03亿,-2.86%,10.89,1.8606,11.1548,1.7208,PE；PB,12.59亿,9.67亿,22.51%,25.37亿,2.12亿,0.6,,缪金凤
2018,26.805,1.5,17.87,16.46,12.99%,3.12亿,38.97%,9.78,1.6285,10.3295,1.8272,PE；PB,12.42亿,7.86亿,25.89%,22.37亿,2.04亿,0.5,,缪金凤
2017,,,22.33,14.57,7.85%,2.25亿,21.23%,10.11,,17.864,2.2087,PE；PB,10.10亿,5.59亿,21.20%,18.82亿,1.99亿,0.6,,缪金凤
2016,,,32.74,13.51,20.28%,1.85亿,56.87%,13.45,,20.4625,2.4342,PE；PB,9.21亿,4.22亿,19.06%,16.35亿,1.55亿,,,缪金凤
2015,,,,11.23,26.14%,1.18亿,71.64%,7.1,,,,PE；PB,1.78亿,2.41亿,14.22%,7.30亿,1.32亿,,,缪金凤
2014,,,,8.9,9.43%,6880.64万,15.78%,5.46,,,,PE；PB,1.27亿,1.26亿,10.61%,5.68亿,1.57亿,,,缪金凤
2013,,,,8.13,13.57%,5942.72万,-1.08%,4.46,,,,PE；PB,1.07亿,5878.12万,10.19%,4.65亿,1.35亿,,,缪金凤
2012,,,,7.16,5.41%,6007.67万,69.29%,3.0,,,,PE；PB,1.06亿,33.71万,10.94%,3.31亿,1.25亿,,,缪金凤
2011,,,,6.79,False,3548.75万,False,53.39,,,,PE；PB,1.43亿,1.15亿,7.99%,3.85亿,8973.70万,,,缪金凤
