报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,20.271,1.3903,14.58,3.55,-16.57%,-2600.10万,-151.28%,3.92,5.7101,,3.7194,PE；PB,1.77亿,9986.34万,-7.33%,5.45亿,1.36亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,杨文瑜
2026-03-31,20.271,1.3903,14.58,3.55,-16.57%,-2600.10万,-151.28%,3.92,1.4275,,3.7194,PE；PB,1.77亿,9986.34万,-7.33%,5.45亿,1.36亿,,,杨文瑜
2025,20.088,1.395,14.4,16.9,-21.44%,-5542.15万,62.97%,4.12,1.1886,,3.4951,PE；PB,1.77亿,1.26亿,-3.29%,5.72亿,1.09亿,,,杨文瑜
2024,10.321,1.0011,10.31,21.51,-5.23%,-1.50亿,-378.23%,4.53,0.4798,,2.2759,PE；PB,1.78亿,1.81亿,-6.97%,6.36亿,1.34亿,0.0,,杨文瑜
2023,14.294,1.0038,14.24,22.69,-28.25%,-3129.68万,-645.51%,8.01,0.63,,1.7778,PE；PB,2.64亿,3.31亿,-1.39%,8.05亿,1.93亿,,,杨文瑜
2022,10.343,0.901,11.48,31.63,6.32%,573.72万,-88.63%,8.28,0.327,200.349,1.3865,PE；PB,3.09亿,3.62亿,0.18%,8.31亿,1.38亿,0.06,,杨文瑜
2021,14.659,0.901,16.27,29.75,47.11%,5045.14万,-43.82%,9.17,0.4927,24.8207,1.7743,PE；PB,3.17亿,3.71亿,1.70%,8.26亿,1.99亿,,,杨文瑜
2020,,,,20.22,-1.57%,8979.98万,24.89%,7.28,,,,PE；PB,2.32亿,3.21亿,4.44%,4.92亿,1.14亿,,,杨文瑜
2019,,,,20.54,19.39%,7190.22万,58.63%,5.95,,,,PE；PB,1.37亿,2.32亿,3.53%,4.02亿,1.02亿,,,杨文瑜
2018,,,,17.21,16.86%,4532.68万,68.49%,5.03,,,,PE；PB,1.32亿,1.60亿,2.45%,3.30亿,9428.85万,,,杨文瑜
2017,,,,14.72,False,2690.26万,False,4.34,,,,PE；PB,9130.98万,1.15亿,1.84%,2.86亿,8796.57万,,,杨文瑜
