报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,39.534,0.888,44.52,0.809861,-13.05%,47.33万,-83.64%,7.14,48.8158,8400.0,6.2353,PE；PB,1.99亿,2.63亿,0.58%,6.34亿,1.28亿,0.038,40%: 最新年度营业收入下滑；最新年度净利润同比下降,山东同大集团有限公司
2026-03-31,39.534,0.888,44.52,0.809861,-13.05%,47.33万,-83.64%,7.14,12.2039,8400.0,6.2353,PE；PB,1.99亿,2.63亿,0.58%,6.34亿,1.28亿,0.038,,山东同大集团有限公司
2025,40.173,0.888,45.24,3.98,6.57%,1122.09万,33.58%,7.14,10.0937,357.9114,6.3361,PE；PB,2.10亿,2.63亿,2.82%,6.34亿,1.20亿,0.043,,山东同大集团有限公司
2024,18.213,0.888,20.51,3.73,13.41%,840.01万,205.99%,7.06,4.8828,216.8076,2.9051,PE；PB,2.08亿,2.56亿,2.25%,6.27亿,1.31亿,,,山东同大集团有限公司
2023,17.138,0.888,19.3,3.29,-29.10%,-792.51万,-169.60%,6.96,5.2091,,2.773,PE；PB,2.38亿,2.48亿,-2.41%,6.18亿,1.19亿,0.034999999999999996,,山东同大集团有限公司
2022,12.991,0.888,14.63,4.64,-10.71%,1138.64万,258.89%,7.09,2.7998,114.1186,2.0635,PE；PB,1.81亿,2.59亿,2.45%,6.29亿,1.33亿,0.032,,山东同大集团有限公司
2021,17.884,0.888,20.14,5.2,27.19%,317.27万,-84.36%,6.99,3.4392,564.1457,2.8813,PE；PB,2.06亿,2.52亿,0.61%,6.21亿,1.19亿,0.2,,山东同大集团有限公司
2020,15.771,0.888,17.76,4.09,-10.40%,2028.04万,-48.61%,7.15,3.856,77.7583,2.4839,PE；PB,1.90亿,2.67亿,4.96%,6.35亿,7126.18万,0.4,,山东同大集团有限公司
2019,13.666,0.888,15.39,4.56,-2.74%,3946.31万,37.03%,7.33,2.9969,34.631,2.0996,PE；PB,2.16亿,2.84亿,8.65%,6.50亿,6499.13万,0.06,,山东同大集团有限公司
2018,10.727,0.888,12.08,4.69,7.43%,2879.82万,17.62%,6.94,2.2872,37.2495,1.7406,PE；PB,1.18亿,2.54亿,6.14%,6.16亿,7873.12万,0.06,,山东同大集团有限公司
2017,,,22.0,4.37,1.00%,2448.47万,-26.12%,6.68,,79.7969,3.2934,PE；PB,1.49亿,2.33亿,5.61%,5.93亿,9451.37万,0.1,,山东同大集团有限公司
2016,,,36.54,4.32,-4.59%,3314.04万,-4.20%,6.5,,97.91,5.6215,PE；PB,1.50亿,2.20亿,7.66%,5.77亿,7895.42万,0.355,,山东同大集团有限公司
2015,,,42.95,4.53,-7.65%,3459.34万,18.81%,12.61,,110.2413,3.406,PE；PB,1.20亿,2.06亿,7.63%,5.60亿,1.04亿,0.177,,山东同大集团有限公司
2014,,,25.46,4.91,12.35%,2911.74万,6.20%,12.01,,38.8228,2.1199,PE；PB,1.23亿,1.83亿,5.93%,5.33亿,9272.23万,0.11100000000000002,,山东同大集团有限公司
2013,,,17.15,4.37,14.54%,2741.71万,-8.74%,11.46,,27.7733,1.4965,PE；PB,9820.28万,1.61亿,6.27%,5.14亿,9416.54万,0.134,,山东同大集团有限公司
2012,,,10.74,3.81,-11.34%,3004.44万,-43.16%,11.05,,14.2176,0.9719,PE；PB,2.06亿,1.43亿,7.88%,4.87亿,7875.92万,0.215,,山东同大集团有限公司
2011,,,,4.3,20.80%,5286.20万,24.72%,7.15,,,,PE；PB,6343.79万,1.25亿,12.29%,2.38亿,5514.30万,,,山东同大集团有限公司
2010,,,,3.56,33.30%,4238.39万,36.54%,5.56,,,,PE；PB,8584.67万,7761.41万,11.90%,1.85亿,4869.84万,,,山东同大集团有限公司
