报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,135.625,26.4892,5.12,21.82,2.60%,1.34亿,-13.99%,3.66,6.2156,100.9862,1.3989,PE；PB,26.06亿,52.64亿,7.98%,118.11亿,12.73亿,,20%: 最新年度净利润同比下降,北方特种能源集团有限公司
2026-03-31,135.625,26.4892,5.12,21.82,2.60%,1.34亿,-13.99%,3.66,1.5539,100.9862,1.3989,PE；PB,26.06亿,52.64亿,7.98%,118.11亿,12.73亿,,,北方特种能源集团有限公司
2025,153.902,26.4892,5.81,99.82,0.20%,7.58亿,-18.02%,3.61,1.5418,20.3147,1.6094,PE；PB,24.63亿,51.29亿,10.65%,116.51亿,9.56亿,0.065,,北方特种能源集团有限公司
2024,141.982,26.4892,5.36,99.62,6.59%,9.24亿,19.53%,3.57,1.4252,15.3626,1.5014,PE；PB,23.61亿,46.81亿,11.94%,111.17亿,8.55亿,0.06999999999999999,,北方特种能源集团有限公司
2023,112.844,26.4892,4.26,88.95,13.75%,7.73亿,61.48%,3.29,1.2686,14.599,1.2948,PE；PB,22.26亿,38.53亿,11.24%,98.66亿,5.87亿,0.06,,北方特种能源集团有限公司
2022,125.029,26.4892,4.72,78.19,8.67%,4.79亿,-54.52%,3.31,1.599,26.1206,1.426,PE；PB,27.35亿,32.67亿,8.81%,101.37亿,5.30亿,0.06,,北方特种能源集团有限公司
2021,70.692,12.4898,5.66,64.81,65.39%,10.53亿,135.58%,3.22,1.0908,14.2426,1.7578,PE；PB,21.74亿,29.80亿,18.53%,95.45亿,3.94亿,0.05500000000000001,,北方特种能源集团有限公司
2020,57.828,12.4898,4.63,39.19,7.86%,4.47亿,10.43%,5.07,1.4756,27.4452,0.9132,PE；PB,18.65亿,20.71亿,13.85%,84.67亿,3.36亿,0.05,,北方特种能源集团有限公司
2019,45.838,12.4898,3.67,36.33,25.92%,4.05亿,84.41%,4.79,1.2617,11.3272,0.7662,PE；PB,12.62亿,12.63亿,14.32%,66.92亿,1.47亿,,,北方特种能源集团有限公司
2018,31.075,9.1128,3.41,28.85,27.15%,2.19亿,10.49%,4.47,1.0771,19.4081,0.7629,PE；PB,13.78亿,8.51亿,9.50%,62.34亿,1.38亿,0.065,,北方特种能源集团有限公司
2017,,,4.16,22.69,22.33%,1.99亿,223.92%,3.91,,26.1635,1.0639,PE；PB,20.03亿,7.13亿,7.27%,61.54亿,1.13亿,0.05500000000000001,,北方特种能源集团有限公司
2016,,,5.65,13.52,-0.45%,6130.97万,71.65%,4.04,,75.6359,1.3985,PE；PB,4.51亿,4.06亿,6.32%,41.62亿,1.11亿,,,北方特种能源集团有限公司
2015,,,5.92,13.58,-24.24%,3571.86万,-77.94%,3.97,,131.5556,1.4912,PE；PB,3.24亿,3.48亿,5.19%,36.10亿,9776.04万,0.45,,北方特种能源集团有限公司
2014,,,4.06,17.93,-7.40%,1.62亿,-39.83%,6.39,,20.0,0.6354,PE；PB,5.85亿,4.99亿,13.01%,30.30亿,1.01亿,0.4,,北方特种能源集团有限公司
2013,,,4.41,19.36,9.14%,2.69亿,3.24%,6.36,,6.514,0.6934,PE；PB,6.67亿,5.15亿,18.46%,29.44亿,9273.59万,0.3,,北方特种能源集团有限公司
2012,,,3.69,17.74,46.12%,2.61亿,47.68%,6.02,,5.6011,0.613,PE；PB,6.25亿,3.78亿,19.14%,27.25亿,9577.38万,0.2,,北方特种能源集团有限公司
2011,,,3.77,12.14,274.46%,1.77亿,143.17%,5.55,,6.4677,0.6793,PE；PB,5.23亿,2.07亿,18.21%,24.81亿,8322.61万,0.6,,北方特种能源集团有限公司
2010,,,4.99,3.24,24.63%,7258.64万,3.31%,3.04,,14.2571,1.6414,PE；PB,2.87亿,2.03亿,23.63%,4.46亿,1748.06万,0.0,,北方特种能源集团有限公司
