报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,31.182,2.3115,13.49,1.32,20.98%,2268.57万,47.06%,2.83,23.6227,134.9,4.7668,PE；PB,9394.21万,2.18亿,17.23%,6.55亿,7961.15万,0.2,,广州飞雪集团有限公司
2026-03-31,31.182,2.3115,13.49,1.32,20.98%,2268.57万,47.06%,2.83,5.9057,134.9,4.7668,PE；PB,9394.21万,2.18亿,17.23%,6.55亿,7961.15万,0.2,,广州飞雪集团有限公司
2025,28.709,2.3115,12.42,4.48,16.24%,7638.89万,43.11%,2.73,6.4083,37.6364,4.5495,PE；PB,1.25亿,1.95亿,17.05%,6.32亿,7554.37万,0.16999999999999998,,广州飞雪集团有限公司
2024,27.599,2.3115,11.94,3.86,30.96%,5337.90万,52.54%,2.55,7.15,51.913,4.6824,PE；PB,1.22亿,1.66亿,13.84%,5.90亿,6059.25万,0.1,,广州飞雪集团有限公司
2023,14.173,1.2166,11.65,2.94,5.33%,3499.26万,-47.00%,2.47,4.8207,77.6667,4.7166,PE；PB,9881.22万,1.42亿,11.89%,5.71亿,4259.82万,0.3,,广州飞雪集团有限公司
2022,11.266,1.2166,9.26,2.79,37.70%,6602.96万,30.51%,4.7,4.038,31.931,1.9702,PE；PB,8526.24万,1.47亿,23.62%,5.71亿,4086.42万,0.25,,广州飞雪集团有限公司
2021,12.336,1.2166,10.14,2.03,3.67%,5059.45万,-18.54%,4.4,6.0768,19.8824,2.3045,PE；PB,1.95亿,1.18亿,24.93%,5.35亿,4219.63万,,,广州飞雪集团有限公司
2020,,,,1.96,-1.36%,6210.68万,7.83%,3.06,,,,PE；PB,1.22亿,7193.11万,31.72%,2.79亿,2380.14万,,,广州飞雪集团有限公司
2019,,,,1.98,20.65%,5759.64万,20.81%,2.48,,,,PE；PB,8683.65万,2532.68万,29.02%,2.26亿,2898.86万,,,广州飞雪集团有限公司
2018,,,,1.65,48.51%,4767.49万,60.56%,3.43,,,,PE；PB,649.70万,6213.03万,28.98%,1.07亿,1931.97万,,,广州飞雪集团有限公司
2017,,,,1.11,False,2969.31万,False,2.51,,,,PE；PB,229.21万,3808.54万,26.80%,7846.76万,1800.86万,,,广州飞雪集团有限公司
