报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,68.451,3.3261,20.58,1.71,31.15%,2909.33万,20.31%,2.81,40.0298,228.6667,7.3238,PE；PB,7.10亿,3.33亿,21.84%,11.89亿,5.61亿,0.06999999999999999,,徐久振
2026-03-31,68.451,3.3261,20.58,1.71,31.15%,2909.33万,20.31%,2.81,10.0075,228.6667,7.3238,PE；PB,7.10亿,3.33亿,21.84%,11.89亿,5.61亿,0.06999999999999999,,徐久振
2025,34.507,2.7739,12.44,6.96,30.39%,1.02亿,3.34%,2.76,4.9579,40.129,4.5072,PE；PB,8.91亿,3.27亿,19.41%,11.63亿,5.31亿,0.2,,徐久振
2024,22.389,1.9813,11.3,5.34,32.44%,9876.19万,15.07%,3.66,4.1927,37.6667,3.0874,PE；PB,5.09亿,2.92亿,21.69%,11.43亿,5.28亿,0.3,,徐久振
2023,15.544,1.4131,11.0,4.03,6.55%,8582.91万,-7.48%,4.97,3.8571,31.4286,2.2133,PE；PB,5.76亿,2.62亿,21.30%,10.36亿,4.42亿,0.25,,徐久振
2022,14.837,1.0093,14.7,3.78,31.44%,9277.23万,3.82%,6.53,3.9251,31.9565,2.2511,PE；PB,6.22亿,2.22亿,24.42%,9.75亿,3.75亿,0.4,,徐久振
2021,22.901,1.0093,22.69,2.88,22.82%,8936.08万,20.06%,8.5,7.9517,25.4944,2.6694,PE；PB,4.00亿,1.79亿,31.06%,8.58亿,1.81亿,0.5,,徐久振
2020,23.153,1.0093,22.94,2.34,11.74%,7443.21万,16.86%,8.09,9.8944,24.6667,2.8356,PE；PB,5.51亿,1.49亿,31.78%,8.17亿,1.01亿,,,徐久振
2019,,,,2.1,26.05%,6369.10万,19.24%,4.57,,,,PE；PB,8357.79万,1.23亿,30.39%,3.46亿,9696.49万,,,徐久振
2018,,,,1.66,31.46%,5341.54万,67.11%,4.26,,,,PE；PB,7435.80万,1.08亿,32.12%,3.23亿,7904.07万,,,徐久振
2017,,,,1.26,19.77%,3196.51万,55.24%,3.9,,,,PE；PB,8561.78万,8636.38万,25.27%,2.96亿,5150.00万,,,徐久振
2016,,,,1.06,4.23%,2059.04万,-30.85%,7.54,,,,PE；PB,8197.79万,7324.44万,21.67%,2.78亿,4576.21万,,,徐久振
2015,,,,1.01,26.18%,2977.48万,21.39%,6.87,,,,PE；PB,1.10亿,5949.66万,29.38%,2.60亿,4455.87万,,,徐久振
2014,,,,0.803084,23.07%,2452.92万,31.26%,4.63,,,,PE；PB,5767.64万,3253.53万,30.14%,1.39亿,2986.03万,,,徐久振
2013,,,,0.652561,30.23%,1868.77万,35.14%,2.61,,,,PE；PB,1037.72万,1041.30万,28.64%,7842.90万,2718.07万,,,徐久振
2012,,,,0.501101,False,1382.89万,False,3.97,,,,PE；PB,2219.86万,2681.00万,27.60%,3974.67万,2518.33万,,,徐久振
