报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,40.878,6.4886,6.3,4.64,-15.34%,-96.31万,-101.87%,4.09,8.8099,,1.5403,PE；PB,5.62亿,11.39亿,-0.99%,27.75亿,3.15亿,0.2,40%: 最新年度营业收入下滑；最新年度净利润同比下降,山东人和投资有限公司
2026-03-31,40.878,6.4886,6.3,4.64,-15.34%,-96.31万,-101.87%,4.09,2.2025,,1.5403,PE；PB,5.62亿,11.39亿,-0.99%,27.75亿,3.15亿,0.2,,山东人和投资有限公司
2025,52.558,6.4886,8.1,25.97,1.66%,1.86亿,-29.00%,4.08,2.0238,27.931,1.9853,PE；PB,5.98亿,11.40亿,6.80%,27.77亿,2.99亿,0.4,,山东人和投资有限公司
2024,44.058,6.4886,6.79,25.54,-3.88%,2.63亿,-6.92%,4.2,1.7251,16.975,1.6167,PE；PB,7.26亿,12.64亿,10.32%,28.67亿,2.44亿,0.4,,山东人和投资有限公司
2023,34.0,6.4886,5.24,26.57,1.82%,2.82亿,3.10%,4.19,1.2796,12.186,1.2506,PE；PB,12.20亿,12.65亿,10.89%,28.61亿,2.01亿,0.25,,山东人和投资有限公司
2022,31.729,6.4886,4.89,26.1,-0.82%,2.74亿,-27.49%,4.0,1.2157,11.6429,1.2225,PE；PB,12.76亿,11.56亿,10.67%,27.16亿,1.79亿,0.25,,山东人和投资有限公司
2021,34.844,6.4886,5.37,26.31,289.29%,3.77亿,1.21%,3.82,1.3244,9.2586,1.4058,PE；PB,13.73亿,10.76亿,14.59%,25.85亿,1.40亿,0.15,,山东人和投资有限公司
2020,22.093,5.0326,4.39,6.76,7.12%,3.73亿,382.11%,3.33,3.2682,6.0137,1.3183,PE；PB,14.43亿,8.06亿,55.00%,23.91亿,1.44亿,0.1,,山东人和投资有限公司
2019,15.601,5.0326,3.1,6.31,20.56%,7736.41万,93.45%,2.44,2.4724,20.6667,1.2705,PE；PB,7.94亿,4.91亿,12.57%,13.39亿,9858.62万,0.1,,山东人和投资有限公司
2018,14.293,5.0326,2.84,5.23,-30.59%,3999.08万,-30.16%,2.39,2.7329,35.5,1.1883,PE；PB,8.15亿,4.72亿,9.84%,13.16亿,1.06亿,0.05,,山东人和投资有限公司
2017,,,4.84,7.54,115.03%,5726.27万,386.64%,2.36,,44.0,2.0508,PE；PB,5.82亿,4.59亿,9.07%,12.89亿,1.09亿,0.1,,山东人和投资有限公司
2016,,,6.46,3.51,-44.03%,1176.70万,-90.64%,2.35,,323.0,2.7489,PE；PB,6.32亿,4.57亿,5.23%,12.69亿,6895.65万,0.15,,山东人和投资有限公司
2015,,,7.72,6.26,-18.66%,1.26亿,-18.65%,3.63,,30.88,2.1267,PE；PB,6.33亿,4.96亿,21.24%,13.01亿,1.25亿,0.15,,山东人和投资有限公司
2014,,,6.89,7.7,31.35%,1.55亿,27.11%,3.36,,14.6596,2.0506,PE；PB,3.49亿,4.31亿,21.25%,11.65亿,5990.63万,0.1,,山东人和投资有限公司
2013,,,5.27,5.86,28.94%,1.22亿,32.91%,3.79,,14.2432,1.3905,PE；PB,5.99亿,3.16亿,22.14%,10.03亿,7972.90万,0.1,,山东人和投资有限公司
2012,,,5.35,4.55,76.34%,9149.76万,33.11%,4.95,,14.8611,1.0808,PE；PB,5.09亿,2.22亿,20.31%,8.65亿,4479.78万,0.1,,山东人和投资有限公司
2011,,,4.68,2.58,44.39%,6874.06万,32.67%,6.68,,11.4146,0.7006,PE；PB,5.59亿,1.51亿,26.52%,7.53亿,4003.42万,0.3,,山东人和投资有限公司
2010,,,7.3,1.79,21.63%,5181.28万,40.80%,10.61,,13.2727,0.688,PE；PB,6.07亿,1.09亿,29.04%,7.05亿,5405.92万,,,山东人和投资有限公司
