报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,53.142,9.5236,5.58,18.29,3.24%,4842.44万,69.61%,5.54,2.9055,109.8425,1.0072,PE；PB,3.92亿,25.49亿,2.75%,53.27亿,7.05亿,0.1,,苏州华纳投资股份有限公司
2026-03-31,53.142,9.5236,5.58,18.29,3.24%,4842.44万,69.61%,5.54,0.7264,109.8425,1.0072,PE；PB,3.92亿,25.49亿,2.75%,53.27亿,7.05亿,0.1,,苏州华纳投资股份有限公司
2025,52.856,9.5236,5.55,65.06,-17.96%,-2.04亿,-139.19%,5.49,0.8124,,1.0109,PE；PB,3.86亿,25.00亿,-3.27%,52.76亿,6.57亿,0.3,,苏州华纳投资股份有限公司
2024,69.713,9.5236,7.32,79.3,-3.46%,5.21亿,-28.55%,6.01,0.8791,13.3699,1.218,PE；PB,4.51亿,29.90亿,6.47%,57.81亿,6.59亿,0.3,,苏州华纳投资股份有限公司
2023,65.237,9.5236,6.85,82.15,-9.18%,7.30亿,-16.33%,5.75,0.7941,8.9402,1.1913,PE；PB,8.08亿,28.04亿,8.55%,55.46亿,6.61亿,0.3,,苏州华纳投资股份有限公司
2022,60.475,9.5236,6.35,90.45,-3.91%,8.72亿,-46.61%,5.24,0.6686,6.9346,1.2118,PE；PB,6.77亿,23.99亿,9.44%,50.91亿,8.27亿,0.3,,苏州华纳投资股份有限公司
2021,101.712,9.5236,10.68,94.13,54.33%,16.33亿,794.37%,4.53,1.0805,6.227,2.3576,PE；PB,6.50亿,19.32亿,17.24%,43.68亿,7.82亿,0.1,,苏州华纳投资股份有限公司
2020,37.809,9.5236,3.97,60.99,-3.41%,1.83亿,-9.39%,2.98,0.6199,20.6986,1.3322,PE；PB,6.02亿,5.16亿,2.86%,29.01亿,5.12亿,0.1,,苏州华纳投资股份有限公司
2019,33.333,6.3491,5.25,63.15,8.76%,2.02亿,41.91%,2.87,0.5278,24.811,1.8293,PE；PB,4.83亿,4.35亿,3.18%,27.89亿,5.60亿,0.15,,苏州华纳投资股份有限公司
2018,17.27,6.3491,2.72,58.06,9.16%,1.42亿,147.80%,4.14,0.2975,18.2428,0.657,PE；PB,2.58亿,3.04亿,2.47%,26.74亿,5.38亿,0.1,,苏州华纳投资股份有限公司
2017,,,3.81,53.19,32.33%,5731.49万,87.28%,4.15,,42.1927,0.9181,PE；PB,3.12亿,2.36亿,1.12%,26.74亿,4.92亿,0.1,,苏州华纳投资股份有限公司
2016,,,4.72,40.19,-0.39%,3060.30万,4.14%,4.35,,97.9253,1.0851,PE；PB,3.68亿,2.42亿,0.76%,27.92亿,4.72亿,0.1,,苏州华纳投资股份有限公司
2015,,,6.46,40.35,-4.82%,2938.73万,123.73%,4.36,,119.8516,1.4817,PE；PB,5.28亿,2.75亿,0.73%,27.72亿,5.04亿,,,苏州华纳投资股份有限公司
2014,,,3.38,42.4,-0.08%,-1.24亿,-1038.91%,3.74,,,0.9037,PE；PB,3.79亿,2.45亿,-2.92%,18.72亿,5.16亿,0.05,,苏州华纳投资股份有限公司
2013,,,2.4,42.43,6.58%,1319.26万,116.61%,5.62,,90.9091,0.427,PE；PB,3.58亿,3.86亿,0.32%,18.76亿,4.31亿,,,苏州华纳投资股份有限公司
2012,,,2.26,39.81,-3.43%,-7941.61万,-199.11%,5.13,,,0.4405,PE；PB,3.22亿,3.73亿,-1.99%,13.43亿,4.55亿,0.05,,苏州华纳投资股份有限公司
2011,,,2.84,41.22,25.81%,8013.26万,672.07%,5.32,,9.1613,0.5338,PE；PB,1.59亿,4.65亿,1.95%,13.93亿,4.87亿,,,苏州华纳投资股份有限公司
2010,,,3.96,32.77,39.38%,1037.89万,110.44%,5.02,,99.0,0.7888,PE；PB,2.06亿,3.85亿,0.32%,13.13亿,2.78亿,0.0,,苏州华纳投资股份有限公司
