报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,23.134,0.84,27.54,2.78,11.71%,3087.08万,5.21%,13.89,8.3216,72.4737,1.9827,PE；PB,4.62亿,4.94亿,11.11%,11.72亿,1.12亿,,,陈阳贵
2026-03-31,23.134,0.84,27.54,2.78,11.71%,3087.08万,5.21%,13.89,2.0804,72.4737,1.9827,PE；PB,4.62亿,4.94亿,11.11%,11.72亿,1.12亿,,,陈阳贵
2025,25.082,0.84,29.86,10.45,14.89%,9985.44万,56.64%,13.47,2.4002,24.3616,2.2168,PE；PB,4.60亿,4.63亿,9.57%,11.37亿,1.08亿,0.6,,陈阳贵
2024,15.313,0.84,18.23,9.1,-1.03%,6374.63万,27.48%,12.53,1.6827,23.3061,1.4549,PE；PB,3.94亿,4.14亿,7.00%,10.53亿,1.20亿,0.45,,陈阳贵
2023,13.884,0.6,23.14,9.19,-13.10%,5000.67万,-38.05%,12.0,1.5108,37.3587,1.9283,PE；PB,3.82亿,3.96亿,5.44%,10.08亿,1.52亿,0.6000000000000001,,陈阳贵
2022,11.094,0.6,18.49,10.58,35.10%,8072.69万,15.31%,16.42,1.0486,13.329,1.1261,PE；PB,4.28亿,3.83亿,7.63%,9.85亿,1.27亿,0.6,,陈阳贵
2021,16.434,0.6,27.39,7.83,15.46%,7000.93万,-23.58%,16.51,2.0989,23.4745,1.659,PE；PB,4.12亿,3.37亿,8.94%,9.91亿,1.62亿,0.6,,陈阳贵
2020,20.04,0.6,33.4,6.78,9.10%,9160.60万,15.23%,15.97,2.9558,17.3057,2.0914,PE；PB,4.39亿,3.04亿,13.50%,9.58亿,6983.59万,,,陈阳贵
2019,,,,6.22,6.44%,7949.72万,12.29%,11.07,,,,PE；PB,5311.97万,2.32亿,12.79%,4.98亿,8239.01万,,,陈阳贵
2018,,,,5.84,5.31%,7079.66万,40.87%,9.79,,,,PE；PB,3027.65万,1.75亿,12.12%,4.41亿,8130.99万,,,陈阳贵
2017,,,,5.55,25.72%,5025.64万,74.41%,8.14,,,,PE；PB,4121.06万,1.30亿,9.06%,3.38亿,5720.80万,,,陈阳贵
2016,,,,4.41,-1.53%,2881.55万,21.76%,6.55,,,,PE；PB,3599.59万,1.06亿,6.54%,2.29亿,4379.31万,,,陈阳贵
2015,,,,4.48,-2.28%,2366.62万,-15.69%,6.25,,,,PE；PB,2927.82万,9646.38万,5.74%,2.00亿,6782.17万,,,陈阳贵
2014,,,,4.59,-8.24%,2807.16万,6.65%,5.87,,,,PE；PB,6763.74万,7654.90万,6.12%,1.95亿,6095.08万,,,陈阳贵
2013,,,,5.0,False,2632.18万,False,5.33,,,,PE；PB,5602.41万,5968.41万,5.26%,1.77亿,4260.47万,,,陈阳贵
