报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,174.838,1.2526,139.58,6.1,13.10%,7135.40万,-7.80%,26.68,28.662,245.0922,5.2316,PE；PB,11.31亿,8.04亿,11.98%,34.62亿,4.97亿,0.6,20%: 最新年度净利润同比下降,庄辉阳
2026-03-31,174.838,1.2526,139.58,6.1,13.10%,7135.40万,-7.80%,26.68,7.1655,245.0922,5.2316,PE；PB,11.31亿,8.04亿,11.98%,34.62亿,4.97亿,0.6,,庄辉阳
2025,99.79,1.248,79.96,22.04,21.16%,2.57亿,16.65%,26.74,4.5277,38.8231,2.9903,PE；PB,10.25亿,8.08亿,12.08%,34.20亿,4.79亿,0.6,,庄辉阳
2024,40.423,1.248,32.39,18.19,35.64%,2.20亿,31.05%,25.0,2.2223,18.2695,1.2956,PE；PB,8.66亿,6.27亿,12.44%,31.84亿,3.99亿,1.4,,庄辉阳
2023,40.36,1.248,32.34,13.41,39.97%,1.68亿,2.83%,24.7,3.0097,24.0143,1.3093,PE；PB,11.43亿,5.89亿,13.12%,31.29亿,2.95亿,0.7,,庄辉阳
2022,38.626,1.248,30.95,9.58,-17.34%,1.63亿,-14.78%,23.74,4.0319,23.6314,1.3037,PE；PB,16.81亿,5.21亿,17.21%,29.82亿,2.35亿,0.6,,庄辉阳
2021,,,,11.59,27.30%,1.92亿,19.31%,11.94,,,,PE；PB,2.32亿,4.47亿,16.92%,11.37亿,2.50亿,,,庄辉阳
2020,,,,9.11,30.21%,1.61亿,68.82%,9.95,,,,PE；PB,2.46亿,2.68亿,18.32%,9.47亿,1.98亿,,,庄辉阳
2019,,,,6.99,9.03%,9522.56万,173.82%,8.0,,,,PE；PB,1.17亿,1.17亿,13.53%,7.18亿,1.52亿,,,庄辉阳
2018,,,,6.41,20.70%,3477.70万,-32.94%,6.92,,,,PE；PB,3650.43万,3.39亿,5.65%,6.08亿,1.54亿,,,庄辉阳
2017,,,,5.31,False,5185.69万,False,5.93,,,,PE；PB,4422.00万,3.06亿,9.81%,4.82亿,1.40亿,,,庄辉阳
