报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,159.868,9.5103,16.81,4.91,-5.49%,-526.79万,-144.39%,2.3,32.5597,,7.3087,PE；PB,5.76亿,3.10亿,-1.35%,22.02亿,3.74亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,刘志坚
2026-03-31,159.868,9.5103,16.81,4.91,-5.49%,-526.79万,-144.39%,2.3,8.1399,,7.3087,PE；PB,5.76亿,3.10亿,-1.35%,22.02亿,3.74亿,,,刘志坚
2025,136.378,9.5103,14.34,24.19,0.04%,1329.82万,-60.48%,2.31,5.6378,1024.2857,6.2078,PE；PB,6.38亿,3.16亿,-0.31%,22.08亿,3.06亿,0.05,,刘志坚
2024,51.451,9.5103,5.41,24.18,-5.97%,3365.07万,32.29%,2.35,2.1278,152.8249,2.3021,PE；PB,4.98亿,3.54亿,0.83%,22.63亿,3.55亿,0.1,,刘志坚
2023,35.949,9.5103,3.78,25.71,2.18%,2543.80万,-5.53%,2.41,1.3982,141.573,1.5685,PE；PB,7.67亿,4.25亿,0.73%,23.39亿,3.53亿,0.1,,刘志坚
2022,36.696,9.7857,3.75,25.16,-2.90%,2692.79万,-68.06%,2.48,1.4585,132.5088,1.5121,PE；PB,8.15亿,4.98亿,0.88%,24.15亿,3.90亿,0.1,,刘志坚
2021,42.13,8.3757,5.03,25.91,38.62%,8431.19万,0.70%,2.48,1.626,50.3,2.0282,PE；PB,8.16亿,5.72亿,3.08%,24.88亿,4.16亿,0.1,,刘志坚
2020,41.962,8.3757,5.01,18.69,-10.07%,8372.32万,-33.12%,2.13,2.2452,50.1,2.3521,PE；PB,3.64亿,5.77亿,4.54%,18.51亿,3.29亿,0.1,,刘志坚
2019,32.163,8.3757,3.84,20.79,7.27%,1.25亿,61.90%,2.15,1.547,25.6,1.786,PE；PB,6.42亿,5.81亿,6.31%,18.31亿,2.55亿,0.1,,刘志坚
2018,26.913,8.626,3.12,19.38,6.01%,7732.76万,-37.86%,2.18,1.3887,34.6667,1.4312,PE；PB,5.24亿,5.45亿,4.10%,18.52亿,2.82亿,0.05,,刘志坚
2017,,,4.78,18.28,29.35%,1.24亿,-26.33%,2.24,,34.1429,2.1339,PE；PB,5.42亿,5.13亿,7.10%,19.56亿,1.95亿,0.05,,刘志坚
2016,,,5.9,14.13,19.89%,1.69亿,44.58%,2.14,,29.5,2.757,PE；PB,6.77亿,4.39亿,11.95%,18.50亿,1.57亿,0.1,,刘志坚
2015,,,6.81,11.79,-5.67%,1.17亿,34.85%,4.0,,45.4,1.7025,PE；PB,5.78亿,3.26亿,9.92%,17.24亿,1.01亿,,,刘志坚
2014,,,3.48,12.5,27.19%,8664.06万,36.06%,3.09,,12.8889,1.1262,PE；PB,6.05亿,2.22亿,6.93%,11.81亿,1.15亿,0.1,,刘志坚
2013,,,2.26,9.82,19.28%,6367.82万,6.55%,1.94,,11.3,1.1649,PE；PB,1.31亿,1.76亿,6.48%,6.21亿,6463.21万,0.2,,刘志坚
2012,,,1.63,8.24,18.56%,5976.57万,25.28%,3.68,,8.7259,0.4429,PE；PB,1.57亿,1.83亿,7.26%,5.89亿,8406.81万,,,刘志坚
2011,,,1.56,6.95,28.44%,4770.59万,46.43%,3.31,,5.2,0.4713,PE；PB,1.47亿,1.29亿,6.87%,5.30亿,4271.19万,0.15,,刘志坚
2010,,,2.43,5.41,32.80%,3257.86万,-14.86%,6.17,,11.5714,0.3938,PE；PB,2.95亿,9827.46万,6.02%,4.94亿,3625.17万,,,刘志坚
