报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,26.027,4.6477,5.6,8.36,-11.14%,3700.68万,-2.67%,4.7,3.1133,70.3518,1.1915,PE；PS,4.71亿,10.77亿,4.36%,22.04亿,5.92亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,安徽省无为制药厂
2026-03-31,26.027,4.6477,5.6,8.36,-11.14%,3700.68万,-2.67%,4.7,0.7783,70.3518,1.1915,PE；PS,4.71亿,10.77亿,4.36%,22.04亿,5.92亿,,,安徽省无为制药厂
2025,29.141,4.6477,6.27,38.58,-9.95%,9941.59万,-38.19%,4.53,0.7553,29.3128,1.3841,PE；PS,3.87亿,10.40亿,2.46%,21.26亿,5.44亿,0.1,,安徽省无为制药厂
2024,20.021,3.3203,6.03,42.85,0.21%,1.61亿,0.97%,4.35,0.4672,17.4227,1.3862,PE；PS,2.51亿,9.90亿,3.68%,20.46亿,5.93亿,0.15,,安徽省无为制药厂
2023,21.454,3.3211,6.46,42.75,6.78%,1.59亿,3.15%,5.69,0.5018,18.8558,1.1353,PE；PS,3.20亿,8.89亿,3.68%,19.19亿,5.74亿,0.1,,安徽省无为制药厂
2022,28.873,3.1214,9.25,40.04,9.63%,1.54亿,25.57%,5.2,0.7211,18.9977,1.7788,PE；PS,3.53亿,7.64亿,3.77%,17.55亿,6.99亿,0.1,,安徽省无为制药厂
2021,25.19,3.1214,8.07,36.52,5.43%,1.23亿,18.57%,4.9,0.6898,20.4822,1.6469,PE；PS,2.51亿,6.29亿,3.13%,15.58亿,5.70亿,,,安徽省无为制药厂
2020,18.51,3.1214,5.93,33.21,2.57%,1.04亿,28.17%,4.53,0.5574,17.8453,1.3091,PE；PS,2.82亿,5.19亿,3.07%,14.48亿,5.27亿,,,安徽省无为制药厂
2019,14.11,3.1708,4.45,32.38,7.46%,8092.10万,32.82%,4.24,0.4358,17.1881,1.0495,PE；PS,3.61亿,4.17亿,2.49%,13.27亿,4.87亿,0.1,,安徽省无为制药厂
2018,10.812,3.1708,3.41,30.13,16.88%,6092.64万,-6.77%,4.06,0.3588,17.7512,0.8399,PE；PS,3.11亿,3.70亿,2.01%,12.92亿,4.61亿,,,安徽省无为制药厂
2017,,,5.24,25.78,26.77%,6534.81万,42.57%,3.85,,25.0598,1.361,PE；PS,2.76亿,3.12亿,2.53%,12.20亿,4.02亿,,,安徽省无为制药厂
2016,,,8.54,20.34,29.58%,4583.63万,30.29%,3.69,,58.1744,2.3144,PE；PS,1.77亿,2.47亿,2.25%,11.53亿,2.74亿,0.1,,安徽省无为制药厂
2015,,,6.86,15.69,-8.51%,3517.96万,-14.18%,3.69,,60.8696,1.8591,PE；PS,1.71亿,2.32亿,2.02%,11.99亿,2.71亿,,,安徽省无为制药厂
2014,,,8.11,16.99,11.05%,4099.09万,49.89%,3.56,,61.7669,2.2781,PE；PS,1.68亿,2.18亿,2.42%,11.47亿,2.54亿,,,安徽省无为制药厂
2013,,,5.14,15.3,-7.71%,2734.66万,43.79%,3.25,,56.2363,1.5815,PE；PS,3.09亿,1.77亿,1.78%,11.20亿,2.12亿,0.1,,安徽省无为制药厂
2012,,,4.21,16.58,8.99%,1901.89万,73.00%,2.82,,57.5923,1.4929,PE；PS,6573.87万,1.80亿,1.09%,7.75亿,2.02亿,,,安徽省无为制药厂
2011,,,3.93,15.21,41.18%,1099.39万,-73.59%,2.78,,92.9078,1.4137,PE；PS,5811.11万,1.61亿,0.65%,7.64亿,1.81亿,,,安徽省无为制药厂
2010,,,6.5,10.74,12.40%,4162.55万,81.09%,2.74,,40.5996,2.3723,PE；PS,9641.95万,1.79亿,3.77%,7.54亿,1.53亿,,,安徽省无为制药厂
