报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,272.233,8.8791,30.66,28.71,-9.73%,5.77亿,-9.39%,16.34,9.4822,47.1692,1.8764,PE；PS,95.94亿,133.15亿,25.22%,155.84亿,15.28亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,香港中央结算(代理人)有限公司
2026-03-31,272.233,8.8791,30.66,28.71,-9.73%,5.77亿,-9.39%,16.34,2.3705,47.1692,1.8764,PE；PS,95.94亿,133.15亿,25.22%,155.84亿,15.28亿,,,香港中央结算(代理人)有限公司
2025,314.051,9.1135,34.46,120.2,1.76%,20.23亿,-1.84%,15.64,2.6127,15.1806,2.2033,PE；PS,106.50亿,127.38亿,20.06%,155.47亿,15.61亿,1.1,,香港中央结算(代理人)有限公司
2024,341.396,9.2394,36.95,118.12,-4.97%,20.61亿,5.50%,15.21,2.8902,16.4955,2.4293,PE；PS,109.17亿,117.61亿,19.51%,149.06亿,19.98亿,1.35,,香港中央结算(代理人)有限公司
2023,307.141,9.3555,32.83,124.3,-1.58%,19.54亿,2.32%,15.2,2.471,15.6333,2.1599,PE；PS,114.08亿,109.08亿,15.27%,147.67亿,20.61亿,1.6,,香港中央结算(代理人)有限公司
2022,274.046,9.3787,29.22,126.3,4.69%,19.09亿,7.53%,14.83,2.1698,14.3235,1.9703,PE；PS,105.19亿,104.38亿,15.48%,149.36亿,20.45亿,1.3,,香港中央结算(代理人)有限公司
2021,328.237,9.4484,34.74,120.64,14.67%,17.76亿,3.54%,13.87,2.7208,18.2842,2.5047,PE；PS,93.29亿,97.16亿,16.18%,143.11亿,16.63亿,1.25,,香港中央结算(代理人)有限公司
2020,318.847,9.3476,34.11,105.2,12.10%,17.15亿,31.63%,12.81,3.0309,18.6393,2.6628,PE；PS,99.80亿,89.37亿,20.26%,136.40亿,14.88亿,1.1500552000000002,,香港中央结算(代理人)有限公司
2019,198.314,7.1905,27.58,93.85,5.91%,13.03亿,20.39%,11.95,2.1131,19.8417,2.3079,PE；PS,88.73亿,84.19亿,15.57%,122.75亿,11.69亿,1.2,,香港中央结算(代理人)有限公司
2018,84.534,5.5323,15.28,88.61,3.86%,10.82亿,-75.56%,14.81,0.954,13.1724,1.0317,PE；PS,86.04亿,80.13亿,13.34%,117.50亿,11.17亿,2.0,,香港中央结算(代理人)有限公司
2017,,,30.11,85.31,11.49%,44.29亿,464.63%,19.47,,4.8408,1.5465,PE；PS,74.34亿,80.37亿,52.60%,112.34亿,11.03亿,0.5,,香港中央结算(代理人)有限公司
2016,,,20.58,76.52,15.58%,7.84亿,25.97%,15.28,,13.5395,1.3469,PE；PS,20.68亿,38.12亿,10.85%,71.06亿,10.99亿,0.5,,香港中央结算(代理人)有限公司
2015,,,19.63,66.21,19.41%,6.23亿,20.67%,10.95,,12.1173,1.7927,PE；PS,8.05亿,32.67亿,9.96%,48.10亿,9.84亿,0.1,,香港中央结算(代理人)有限公司
2014,,,12.98,55.44,20.04%,5.16亿,5.84%,12.5,,9.6866,1.0384,PE；PS,7.22亿,27.08亿,9.99%,40.82亿,8.47亿,0.5,,香港中央结算(代理人)有限公司
2013,,,10.05,46.19,17.12%,4.88亿,10.38%,11.31,,6.0909,0.8886,PE；PS,7.72亿,23.52亿,11.34%,36.05亿,6.42亿,0.5,,香港中央结算(代理人)有限公司
2012,,,8.93,39.44,24.68%,4.42亿,22.90%,10.17,,5.9933,0.8781,PE；PS,12.81亿,20.23亿,12.05%,31.80亿,5.46亿,0.5,,香港中央结算(代理人)有限公司
2011,,,5.15,31.63,16.00%,3.59亿,-14.06%,9.61,,4.2213,0.5359,PE；PS,14.92亿,17.41亿,12.26%,30.12亿,4.24亿,0.1,,香港中央结算(代理人)有限公司
2010,,,10.98,27.27,5.04%,4.18亿,-13.16%,8.51,,7.7872,1.2902,PE；PS,9.22亿,14.47亿,16.59%,26.39亿,4.50亿,0.15,,香港中央结算(代理人)有限公司
