报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,90.417,5.5882,16.18,15.21,5.61%,1.61亿,-25.28%,15.59,5.9446,55.7931,1.0378,PE；PS,27.65亿,42.86亿,10.53%,87.16亿,17.41亿,0.6,20%: 最新年度净利润同比下降,新昌安德贸易有限公司
2026-03-31,90.417,5.5882,16.18,15.21,5.61%,1.61亿,-25.28%,15.59,1.4861,55.7931,1.0378,PE；PS,27.65亿,42.86亿,10.53%,87.16亿,17.41亿,0.6,,新昌安德贸易有限公司
2025,96.285,5.5882,17.23,60.11,2.05%,8.21亿,5.02%,15.31,1.6018,11.6419,1.1254,PE；PS,27.03亿,41.26亿,13.60%,85.56亿,17.76亿,0.60583,,新昌安德贸易有限公司
2024,78.57,5.5882,14.06,58.91,10.12%,7.82亿,27.61%,14.4,1.3337,10.0429,0.9764,PE；PS,25.27亿,36.68亿,13.25%,80.52亿,13.63亿,0.30152999999999996,,新昌安德贸易有限公司
2023,65.103,5.5882,11.65,53.49,-6.49%,6.12亿,-33.49%,13.3,1.2171,10.5909,0.8759,PE；PS,25.60亿,30.82亿,11.40%,74.37亿,13.69亿,0.6,,新昌安德贸易有限公司
2022,95.502,5.5882,17.09,57.21,26.98%,9.21亿,30.43%,12.8,1.6693,10.3576,1.3352,PE；PS,27.99亿,28.46亿,16.09%,71.55亿,14.09亿,0.2,,新昌安德贸易有限公司
2021,103.158,5.5882,18.46,45.05,7.11%,7.06亿,-12.84%,11.36,2.2899,13.3768,1.625,PE；PS,21.51亿,20.55亿,15.68%,63.46亿,13.09亿,0.5,,新昌安德贸易有限公司
2020,,,,42.06,10.63%,8.10亿,157.19%,6.89,,,,PE；PS,12.35亿,17.28亿,19.26%,32.74亿,9.90亿,,,新昌安德贸易有限公司
2019,,,,38.02,15.95%,3.15亿,49.35%,5.51,,,,PE；PS,12.65亿,10.75亿,12.99%,26.16亿,8.47亿,,,新昌安德贸易有限公司
2018,,,,32.79,12.86%,2.11亿,18.65%,16.43,,,,PE；PS,10.02亿,11.01亿,14.74%,25.92亿,8.69亿,,,新昌安德贸易有限公司
2017,,,,29.05,False,1.78亿,False,14.21,,,,PE；PS,9.46亿,9.36亿,13.47%,22.07亿,6.16亿,,,新昌安德贸易有限公司
