报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,36.041,4.5334,7.95,0.945467,-13.20%,1656.33万,-19.16%,2.89,38.1198,198.75,2.7509,PE；PS,7.77亿,3.44亿,17.52%,13.09亿,6503.85万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,上海联和投资有限公司
2026-03-31,36.041,4.5334,7.95,0.945467,-13.20%,1656.33万,-19.16%,2.89,9.5299,198.75,2.7509,PE；PS,7.77亿,3.44亿,17.52%,13.09亿,6503.85万,,,上海联和投资有限公司
2025,43.974,4.5334,9.7,4.47,-12.71%,4748.28万,-62.82%,2.85,9.8376,88.1818,3.4035,PE；PS,7.46亿,3.28亿,10.63%,12.92亿,7254.61万,0.062,,上海联和投资有限公司
2024,45.334,4.5334,10.0,5.12,70.61%,1.28亿,109.09%,2.81,8.8543,35.7143,3.5587,PE；PS,7.34亿,3.10亿,24.96%,12.73亿,1.02亿,0.066,,上海联和投资有限公司
2023,49.097,4.5334,10.83,3.0,21.13%,6107.41万,-34.28%,2.67,16.3657,83.3077,4.0562,PE；PS,6.42亿,2.20亿,20.37%,12.10亿,8460.95万,0.062,,上海联和投资有限公司
2022,74.574,4.5334,16.45,2.48,-21.53%,9293.16万,-31.12%,2.6,30.0702,74.7727,6.3269,PE；PS,7.63亿,1.88亿,37.54%,11.77亿,2937.68万,,,上海联和投资有限公司
2021,,,,3.15,-1.16%,1.35亿,9.42%,1.73,,,,PE；PS,5.12亿,1.02亿,42.77%,7.05亿,4042.57万,,,上海联和投资有限公司
2020,,,,3.19,129.84%,1.23亿,2558.15%,1.38,,,,PE；PS,4.34亿,-1995.66万,38.63%,5.62亿,4180.99万,,,上海联和投资有限公司
2019,,,,1.39,126.68%,463.84万,112.38%,1.04,,,,PE；PS,2.58亿,-1.51亿,3.34%,4.25亿,1183.28万,,,上海联和投资有限公司
2018,,,,0.612583,False,-3747.92万,False,0.97,,,,PE；PS,1.83亿,-1.55亿,-61.18%,3.96亿,421.52万,,,上海联和投资有限公司
