报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,37.915,5.1938,7.3,1.5,-38.37%,-1258.56万,-141.09%,5.23,25.2767,,1.3958,PE；PS,11.64亿,5.81亿,-7.72%,27.25亿,3.67亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,宁波梅山保税港区欧常投资管理有限公司
2026-03-31,37.915,5.1938,7.3,1.5,-38.37%,-1258.56万,-141.09%,5.23,6.3192,,1.3958,PE；PS,11.64亿,5.81亿,-7.72%,27.25亿,3.67亿,,,宁波梅山保税港区欧常投资管理有限公司
2025,45.082,5.1938,8.68,7.7,14.04%,-6420.06万,-29.62%,5.23,5.8548,,1.6597,PE；PS,11.96亿,5.94亿,-8.62%,27.27亿,3.61亿,,,宁波梅山保税港区欧常投资管理有限公司
2024,35.889,5.1938,6.91,6.75,-31.11%,-4953.16万,-143.95%,5.34,5.3169,,1.294,PE；PS,11.80亿,6.58亿,-7.51%,27.84亿,4.33亿,0.066,,宁波梅山保税港区欧常投资管理有限公司
2023,57.859,5.1938,11.14,9.8,-20.89%,1.13亿,-37.58%,5.33,5.904,44.56,2.0901,PE；PS,13.02亿,7.47亿,11.75%,27.84亿,4.32亿,,,宁波梅山保税港区欧常投资管理有限公司
2022,,,,12.38,23.25%,1.81亿,34.68%,4.41,,,,PE；PS,3.89亿,6.36亿,14.75%,18.46亿,5.27亿,,,宁波梅山保税港区欧常投资管理有限公司
2021,,,,10.05,59.67%,1.34亿,48.51%,3.9,,,,PE；PS,4.12亿,4.67亿,13.77%,16.30亿,3.31亿,,,宁波梅山保税港区欧常投资管理有限公司
2020,,,,6.29,-8.45%,9027.67万,-36.14%,3.1,,,,PE；PS,1.97亿,3.41亿,14.72%,11.23亿,2.16亿,,,宁波梅山保税港区欧常投资管理有限公司
2019,,,,6.87,-2.97%,1.41亿,-56.18%,2.84,,,,PE；PS,2.82亿,2.60亿,20.78%,10.28亿,2.04亿,,,宁波梅山保税港区欧常投资管理有限公司
2018,,,,7.08,11.26%,3.23亿,145.05%,3.54,,,,PE；PS,3.90亿,4.87亿,45.96%,9.14亿,2.14亿,,,宁波梅山保税港区欧常投资管理有限公司
2017,,,,6.37,6.25%,1.32亿,12.89%,4.58,,,,PE；PS,5.22亿,7.92亿,22.26%,12.51亿,1.99亿,,,宁波梅山保税港区欧常投资管理有限公司
2016,,,,5.99,False,1.17亿,False,4.06,,,,PE；PS,5.71亿,6.73亿,21.16%,11.25亿,2.01亿,,,宁波梅山保税港区欧常投资管理有限公司
