报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,21.036,2.9503,7.13,2.28,-11.48%,-545.99万,-297.72%,5.02,9.2263,,1.4203,PE；PS,1.33亿,1.86亿,-3.66%,16.08亿,2.35亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,武汉市汉阳投资发展集团有限公司
2026-03-31,21.036,2.9503,7.13,2.28,-11.48%,-545.99万,-297.72%,5.02,2.3066,,1.4203,PE；PS,1.33亿,1.86亿,-3.66%,16.08亿,2.35亿,,,武汉市汉阳投资发展集团有限公司
2025,26.966,2.9503,9.14,10.32,-12.23%,-1.75亿,-1098.54%,5.04,2.613,,1.8135,PE；PS,1.55亿,1.91亿,-17.98%,16.16亿,2.21亿,,,武汉市汉阳投资发展集团有限公司
2024,22.098,2.9503,7.49,11.75,-15.41%,-1458.72万,-123.83%,5.63,1.8807,,1.3304,PE；PS,1.36亿,3.66亿,-2.13%,18.04亿,2.58亿,,,武汉市汉阳投资发展集团有限公司
2023,29.09,2.9503,9.86,13.9,0.19%,6120.64万,-32.24%,5.68,2.0928,47.5181,1.7359,PE；PS,1.43亿,3.80亿,3.79%,18.29亿,2.32亿,0.06,,武汉市汉阳投资发展集团有限公司
2022,33.161,2.9503,11.24,13.87,-5.98%,9033.32万,5.43%,5.65,2.3908,36.708,1.9894,PE；PS,1.18亿,3.68亿,5.10%,17.87亿,2.06亿,0.1,,武汉市汉阳投资发展集团有限公司
2021,37.288,2.2695,16.43,14.75,197.91%,8567.91万,88.36%,5.58,2.528,47.3214,2.9444,PE；PS,2.72亿,3.13亿,5.46%,17.93亿,1.57亿,,,武汉市汉阳投资发展集团有限公司
2020,30.661,2.2695,13.51,4.95,-57.21%,4548.62万,52.28%,2.92,6.1941,67.4152,4.6267,PE；PS,3.29亿,2.27亿,8.82%,8.35亿,1.19亿,,,武汉市汉阳投资发展集团有限公司
2019,24.987,2.2695,11.01,11.57,6.99%,2987.10万,52.66%,2.74,2.1596,83.6626,4.0182,PE；PS,1.16亿,1.82亿,3.38%,7.49亿,753.78万,0.03,,武汉市汉阳投资发展集团有限公司
2018,24.336,1.7458,13.94,10.82,6.85%,1956.66万,18.83%,2.63,2.2492,161.7169,5.3004,PE；PS,1.45亿,1.61亿,2.50%,7.17亿,741.84万,0.03,,武汉市汉阳投资发展集团有限公司
2017,,,14.86,10.12,6.66%,1646.67万,41.42%,3.34,,157.5822,4.4491,PE；PS,1.09亿,2.01亿,1.51%,6.95亿,1077.25万,0.04,,武汉市汉阳投资发展集团有限公司
2016,,,16.99,9.49,-3.54%,1164.37万,14.32%,3.29,,254.7226,5.1641,PE；PS,1.54亿,1.92亿,0.47%,6.87亿,1297.77万,0.04,,武汉市汉阳投资发展集团有限公司
2015,,,20.01,9.84,4.54%,1018.51万,-47.95%,3.26,,343.2247,6.138,PE；PS,7286.24万,1.89亿,0.66%,6.90亿,1373.51万,,,武汉市汉阳投资发展集团有限公司
2014,,,11.16,9.41,-6.14%,1956.71万,17.14%,3.2,,101.4545,3.4875,PE；PS,8457.95万,1.80亿,2.57%,6.83亿,1377.14万,,,武汉市汉阳投资发展集团有限公司
2013,,,6.26,10.03,9.21%,1670.41万,-24.74%,3.09,,62.6,2.0259,PE；PS,8863.21万,1.62亿,0.53%,6.59亿,1511.69万,0.04,,武汉市汉阳投资发展集团有限公司
2012,,,6.67,9.18,6.19%,2219.37万,41.71%,3.02,,51.3077,2.2086,PE；PS,7387.76万,1.56亿,1.43%,6.59亿,1650.34万,,,武汉市汉阳投资发展集团有限公司
2011,,,4.14,8.65,17.12%,1566.13万,18.12%,2.89,,46.0,1.4325,PE；PS,9860.27万,1.35亿,1.22%,6.46亿,1747.43万,,,武汉市汉阳投资发展集团有限公司
2010,,,7.02,7.38,18.39%,1325.90万,198.19%,2.8,,87.75,2.5071,PE；PS,1.62亿,1.20亿,0.99%,5.76亿,1172.95万,,,武汉市汉阳投资发展集团有限公司
