报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,30.277,1.9018,15.92,3.57,-0.87%,3529.08万,-7.74%,9.7,8.481,83.7895,1.6412,PE；PS,4.86亿,10.47亿,9.87%,19.87亿,2.28亿,0.3,40%: 最新年度营业收入下滑；最新年度净利润同比下降,季俊虬
2026-03-31,30.277,1.9018,15.92,3.57,-0.87%,3529.08万,-7.74%,9.7,2.1202,83.7895,1.6412,PE；PS,4.86亿,10.47亿,9.87%,19.87亿,2.28亿,0.3,,季俊虬
2025,40.689,1.9157,21.24,15.54,2.33%,1.65亿,2.86%,9.51,2.6183,24.4138,2.2334,PE；PS,4.54亿,10.12亿,10.53%,19.52亿,2.04亿,0.7,,季俊虬
2024,22.93,1.5968,14.36,15.18,-20.11%,1.61亿,-29.15%,9.07,1.5105,17.0952,1.5832,PE；PS,4.98亿,9.41亿,10.04%,19.13亿,2.20亿,0.5,,季俊虬
2023,22.437,1.2247,18.32,19.01,-26.31%,2.27亿,8.33%,10.56,1.1803,15.5254,1.7348,PE；PS,5.64亿,9.13亿,12.30%,18.73亿,2.43亿,0.5,,季俊虬
2022,14.832,0.9264,16.01,25.79,13.46%,2.09亿,21.50%,12.09,0.5751,12.0376,1.3242,PE；PS,6.43亿,7.66亿,8.13%,14.80亿,3.62亿,0.7,,季俊虬
2021,15.925,0.9264,17.19,22.73,20.01%,1.72亿,27.47%,14.08,0.7006,12.021,1.2209,PE；PS,6.54亿,6.37亿,7.58%,13.04亿,1.89亿,0.5,,季俊虬
2020,11.821,0.9264,12.76,18.94,14.80%,1.35亿,28.51%,12.67,0.6241,6.5773,1.0071,PE；PS,7.67亿,5.11亿,7.13%,11.74亿,1.94亿,,,季俊虬
2019,,,,16.5,15.83%,1.05亿,14.70%,8.49,,,,PE；PS,2.23亿,4.15亿,6.37%,5.90亿,1.79亿,,,季俊虬
2018,,,,14.25,22.12%,9166.41万,19.32%,7.28,,,,PE；PS,1.54亿,3.31亿,6.43%,5.06亿,1.69亿,,,季俊虬
2017,,,,11.67,13.46%,7681.95万,13.87%,5.48,,,,PE；PS,7642.99万,2.68亿,6.59%,3.62亿,1.56亿,,,季俊虬
2016,,,,10.28,False,6746.25万,False,4.52,,,,PE；PS,7577.27万,2.10亿,6.56%,2.98亿,1.55亿,,,季俊虬
2014,,,,9.62,9.62%,5382.36万,14.46%,3.32,,,,PE；PS,5725.38万,1.32亿,5.39%,2.16亿,1.46亿,,,季俊虬
2013,,,,8.78,19.69%,4702.37万,28.15%,2.7,,,,PE；PS,4022.99万,9547.66万,5.11%,1.77亿,1.17亿,,,季俊虬
2012,,,,7.33,False,3669.32万,False,2.14,,,,PE；PS,4969.41万,6230.81万,4.48%,1.42亿,7327.94万,,,季俊虬
