报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,86.548,4.6808,18.49,5.82,-27.31%,8439.95万,-55.38%,11.56,14.8708,102.7222,1.5995,PE；PS,19.71亿,33.80亿,14.80%,55.78亿,2.74亿,0.22000000000000003,40%: 最新年度营业收入下滑；最新年度净利润同比下降,李文美
2026-03-31,86.548,4.6808,18.49,5.82,-27.31%,8439.95万,-55.38%,11.56,3.7177,102.7222,1.5995,PE；PS,19.71亿,33.80亿,14.80%,55.78亿,2.74亿,0.22000000000000003,,李文美
2025,93.925,4.8142,19.51,20.87,-31.91%,-6302.49万,-111.22%,11.34,4.5005,,1.7205,PE；PS,17.27亿,32.96亿,-3.34%,54.74亿,2.81亿,0.4,,李文美
2024,96.55,4.4452,21.72,30.65,10.85%,5.62亿,15.18%,11.31,3.1501,17.9504,1.9204,PE；PS,21.35亿,35.46亿,18.44%,56.50亿,3.60亿,0.4,,李文美
2023,128.152,4.4451,28.83,27.65,-51.33%,4.88亿,-59.26%,9.92,4.6348,26.2091,2.9062,PE；PS,15.63亿,31.71亿,17.63%,46.15亿,3.51亿,0.5,,李文美
2022,133.307,4.4495,29.96,56.81,69.01%,11.97亿,88.68%,9.53,2.3465,11.0554,3.1438,PE；PS,21.01亿,29.05亿,20.95%,45.38亿,4.00亿,0.3,,李文美
2021,125.935,3.4268,36.75,33.61,19.57%,6.34亿,0.04%,7.29,3.747,25.6993,5.0412,PE；PS,15.69亿,18.40亿,18.82%,35.04亿,3.86亿,0.5,,李文美
2020,218.294,3.4269,63.7,28.11,35.64%,6.34亿,63.67%,7.98,7.7657,44.2361,7.9825,PE；PS,15.11亿,14.36亿,21.94%,29.94亿,3.77亿,0.25,,李文美
2019,126.404,3.4293,36.86,20.72,25.59%,3.87亿,25.90%,6.49,6.1006,32.3333,5.6795,PE；PS,9.81亿,9.49亿,20.61%,24.61亿,2.24亿,0.22000000000000003,,李文美
2018,31.996,1.7805,17.97,16.5,44.05%,3.08亿,46.06%,5.64,1.9392,19.5326,3.1862,PE；PS,10.90亿,6.80亿,21.00%,21.51亿,1.66亿,0.5,,李文美
2017,,,28.66,11.45,109.28%,2.11亿,45.32%,5.78,,42.7761,4.9585,PE；PS,4.73亿,4.94亿,19.65%,11.90亿,1.31亿,0.15,,李文美
2016,,,28.92,5.47,27.65%,1.45亿,15.66%,4.79,,35.2683,6.0376,PE；PS,5.77亿,3.29亿,26.58%,8.55亿,7929.05万,0.0,,李文美
2015,,,23.59,4.29,17.35%,1.25亿,27.44%,7.96,,29.1235,2.9636,PE；PS,4.76亿,2.01亿,29.23%,7.01亿,4895.25万,0.3,,李文美
2014,,,,3.65,47.55%,9836.40万,66.71%,4.75,,,,PE；PS,1.52亿,1.41亿,26.92%,3.13亿,5144.24万,,,李文美
2013,,,,2.48,8.92%,5900.35万,55.65%,3.66,,,,PE；PS,1.04亿,7963.72万,23.83%,2.41亿,4524.27万,,,李文美
2012,,,,2.27,23.95%,3790.85万,19.69%,2.76,,,,PE；PS,7311.13万,2686.37万,16.66%,1.82亿,4084.86万,,,李文美
2011,,,,1.83,False,3167.24万,False,3.61,,,,PE；PS,3149.55万,8254.49万,17.27%,1.45亿,4815.66万,,,李文美
