报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,20.876,0.4007,52.1,0.420789,3.43%,499.54万,309.15%,22.92,49.6116,434.1667,2.2731,PE；PS,7.88亿,1.19亿,11.87%,9.19亿,1973.18万,1.0,,居金良
2026-03-31,20.876,0.4007,52.1,0.420789,3.43%,499.54万,309.15%,22.92,12.4029,434.1667,2.2731,PE；PS,7.88亿,1.19亿,11.87%,9.19亿,1973.18万,1.0,,居金良
2025,18.992,0.4,47.48,1.62,-8.69%,1008.74万,229.12%,22.81,11.7235,182.6154,2.0815,PE；PS,7.91亿,1.14亿,6.23%,9.14亿,2123.54万,0.25,,居金良
2024,13.96,0.4,34.9,1.77,7.87%,-781.22万,-194.59%,22.8,7.887,,1.5307,PE；PS,7.73亿,1.16亿,-4.40%,9.12亿,2513.70万,0.30000000000000004,,居金良
2023,17.444,0.4,43.61,1.64,-45.89%,825.93万,-64.60%,24.07,10.6366,207.6667,1.8118,PE；PS,6.60亿,1.36亿,5.02%,9.63亿,2859.51万,0.125,,居金良
2022,18.008,0.4,45.02,3.04,3.95%,2333.14万,-63.89%,24.03,5.9237,72.6129,1.8735,PE；PS,8.30亿,1.35亿,7.68%,9.61亿,2829.13万,,,居金良
2021,,,,2.92,16.97%,6461.89万,5.28%,9.59,,,,PE；PS,1.98亿,1.11亿,22.11%,2.88亿,1938.55万,,,居金良
2020,,,,2.5,152.00%,6137.65万,1541.45%,7.17,,,,PE；PS,1.72亿,5217.60万,24.56%,2.15亿,1634.65万,,,居金良
2019,,,,0.991681,43.01%,373.92万,111.67%,16.71,,,,PE；PS,7434.40万,-1.25亿,3.77%,1.51亿,1070.61万,,,居金良
2018,,,,0.693434,False,-3205.12万,False,16.17,,,,PE；PS,1933.01万,-1.29亿,-46.22%,1.43亿,797.17万,,,居金良
