报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,48.172,0.9577,50.3,1.06,10.56%,6157.33万,85.35%,18.33,45.4453,78.5938,2.7441,PE；PS,9.31亿,5.48亿,58.07%,17.55亿,3715.79万,1.082,,王志愚
2026-03-31,48.172,0.9577,50.3,1.06,10.56%,6157.33万,85.35%,18.33,11.3613,78.5938,2.7441,PE；PS,9.31亿,5.48亿,58.07%,17.55亿,3715.79万,1.082,,王志愚
2025,46.353,0.9577,48.4,4.63,15.66%,1.38亿,35.41%,17.68,10.0114,33.6111,2.7376,PE；PS,10.23亿,4.86亿,29.84%,16.93亿,4220.75万,0.8,,王志愚
2024,18.822,0.6862,27.43,4.0,-13.45%,1.02亿,-25.16%,16.99,4.7055,25.6355,1.6145,PE；PS,10.68亿,4.28亿,25.49%,16.27亿,3873.77万,1.5058,,王志愚
2023,29.843,0.6862,43.49,4.62,43.72%,1.36亿,45.22%,23.71,6.4595,30.4979,1.8342,PE；PS,11.55亿,4.38亿,29.48%,16.27亿,3991.67万,0.6876,,王志愚
2022,24.503,0.6835,35.85,3.22,-25.21%,9382.59万,-47.23%,22.27,7.6096,26.0936,1.6098,PE；PS,12.48亿,3.49亿,29.17%,15.29亿,3483.52万,1.3018,,王志愚
2021,48.945,0.6835,71.61,4.3,13.66%,1.78亿,23.77%,22.43,11.3826,27.5254,3.1926,PE；PS,13.66亿,3.44亿,41.28%,15.33亿,3044.04万,1.051,,王志愚
2020,45.343,0.6835,66.34,3.78,18.66%,1.44亿,44.07%,20.57,11.9955,26.9587,3.2251,PE；PS,13.66亿,2.38亿,37.83%,14.11亿,3710.82万,,,王志愚
2019,,,,3.19,53.47%,9971.83万,57.37%,4.86,,,,PE；PS,2.44亿,1.53亿,31.01%,2.55亿,3153.33万,,,王志愚
2018,,,,2.08,43.80%,6336.45万,57.08%,3.66,,,,PE；PS,1.62亿,1.02亿,30.19%,1.96亿,1998.03万,,,王志愚
2017,,,,1.44,50.67%,4033.83万,74.26%,2.81,,,,PE；PS,1.35亿,6460.50万,27.81%,1.53亿,1420.39万,,,王志愚
2016,,,,0.959038,19.13%,2314.78万,-17.70%,2.36,,,,PE；PS,9350.45万,5263.81万,24.14%,1.18亿,938.15万,,,王志愚
2015,,,,0.805045,38.42%,2812.74万,29.33%,2.13,,,,PE；PS,8120.23万,4203.50万,34.89%,1.06亿,818.28万,,,王志愚
2014,,,,0.581607,19.05%,2174.92万,55.43%,6.09,,,,PE；PS,1171.50万,5025.97万,37.45%,6164.18万,745.46万,,,王志愚
2013,,,,0.488532,False,1399.30万,False,7.33,,,,PE；PS,788.41万,3290.73万,29.18%,3880.57万,1216.55万,,,王志愚
