报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,57.766,3.8357,15.06,2.17,-5.60%,6171.10万,6.27%,7.94,26.6203,94.125,1.8967,PE；PS,21.10亿,14.14亿,28.43%,30.49亿,5.44亿,0.21000000000000002,20%: 最新年度营业收入下滑,史春宝
2026-03-31,57.766,3.8357,15.06,2.17,-5.60%,6171.10万,6.27%,7.94,6.6551,94.125,1.8967,PE；PS,21.10亿,14.14亿,28.43%,30.49亿,5.44亿,0.21000000000000002,,史春宝
2025,87.032,3.8357,22.69,10.46,29.77%,2.73亿,118.05%,7.78,8.3205,31.9577,2.9165,PE；PS,22.20亿,13.52亿,26.07%,29.87亿,5.36亿,0.049,,史春宝
2024,48.56,3.8357,12.66,8.06,-33.32%,1.25亿,-55.01%,7.35,6.0248,38.3636,1.7224,PE；PS,18.86亿,12.08亿,15.47%,28.21亿,5.51亿,0.44499999999999995,,史春宝
2023,96.57,3.8428,25.13,12.09,0.58%,2.78亿,-9.72%,7.5,7.9876,34.9028,3.3507,PE；PS,20.98亿,12.68亿,22.99%,28.79亿,4.34亿,0.313,,史春宝
2022,86.386,3.8428,22.48,12.02,8.43%,3.08亿,-4.54%,7.08,7.1869,28.1,3.1751,PE；PS,17.25亿,11.37亿,25.61%,27.20亿,2.60亿,0.13,,史春宝
2021,98.722,3.8428,25.69,11.08,18.18%,3.22亿,13.76%,6.43,8.9099,27.6237,3.9953,PE；PS,17.36亿,9.09亿,29.09%,24.69亿,1.60亿,,,史春宝
2020,,,,9.38,9.63%,2.83亿,19.69%,3.12,,,,PE；PS,6.90亿,6.19亿,30.22%,10.80亿,1.69亿,,,史春宝
2019,,,,8.55,71.78%,2.37亿,124.11%,2.33,,,,PE；PS,4.64亿,3.74亿,27.68%,8.07亿,1.91亿,,,史春宝
2018,,,,4.98,65.80%,1.06亿,54.72%,1.82,,,,PE；PS,4.15亿,2.88亿,21.22%,6.28亿,9586.57万,,,史春宝
2017,,,,3.0,False,6828.40万,False,1.56,,,,PE；PS,3.72亿,2.09亿,22.74%,5.38亿,5894.72万,,,史春宝
