报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,796.389,93.254,8.54,63.96,6.15%,11.81亿,12.46%,2.47,12.4514,67.033,3.4575,PE；PS,64.17亿,120.46亿,20.55%,246.12亿,10.50亿,0.08,,爱尔医疗投资集团有限公司
2026-03-31,796.389,93.254,8.54,63.96,6.15%,11.81亿,12.46%,2.47,3.1128,67.033,3.4575,PE；PS,64.17亿,120.46亿,20.55%,246.12亿,10.50亿,0.08,,爱尔医疗投资集团有限公司
2025,1017.577,93.2701,10.91,223.53,6.53%,32.40亿,-8.88%,2.36,4.5523,31.2071,4.6229,PE；PS,63.51亿,108.65亿,15.54%,233.98亿,9.81亿,0.1600278,,爱尔医疗投资集团有限公司
2024,1211.76,93.2841,12.99,209.83,3.02%,35.56亿,5.87%,2.22,5.775,33.7666,5.8514,PE；PS,60.90亿,103.29亿,17.81%,218.12亿,9.85亿,0.1500225,,爱尔医疗投资集团有限公司
2023,1099.444,71.7653,15.32,203.67,26.43%,33.59亿,33.07%,2.02,5.3982,42.0417,7.5842,PE；PS,69.10亿,83.80亿,17.95%,200.25亿,9.00亿,0.10001489999999999,,爱尔医疗投资集团有限公司
2022,1246.649,54.0611,23.06,161.1,7.39%,25.24亿,8.65%,2.32,7.7384,82.6523,9.9397,PE；PS,69.04亿,59.63亿,16.69%,176.15亿,7.31亿,0.1196653,,爱尔医疗投资集团有限公司
2021,992.462,41.2152,24.08,150.01,25.93%,23.23亿,34.78%,2.09,6.616,72.1823,11.5215,PE；PS,47.02亿,43.21亿,16.47%,122.24亿,5.71亿,0.1482893,,爱尔医疗投资集团有限公司
2020,1017.321,30.9781,32.84,119.12,19.24%,17.24亿,25.01%,2.39,8.5403,100.6436,13.7406,PE；PS,33.63亿,27.68亿,15.76%,106.52亿,4.95亿,0.15,,爱尔医疗投资集团有限公司
2019,316.99,23.8338,13.3,99.9,24.74%,13.79亿,36.67%,2.13,3.1731,38.7529,6.2441,PE；PS,21.40亿,26.08亿,14.33%,70.23亿,3.74亿,0.2,,爱尔医疗投资集团有限公司
2018,103.152,15.2366,6.77,80.09,34.31%,10.09亿,35.88%,2.39,1.288,20.7351,2.8326,PE；PS,12.90亿,18.06亿,13.31%,59.71亿,3.59亿,0.29996710000000004,,爱尔医疗投资集团有限公司
2017,,,5.25,59.63,49.06%,7.43亿,33.31%,3.29,,16.2488,1.5957,PE；PS,25.60亿,13.49亿,13.30%,54.72亿,2.74亿,0.18,,爱尔医疗投资集团有限公司
2016,,,3.38,40.0,26.37%,5.57亿,30.12%,2.75,,9.1599,1.2291,PE；PS,7.76亿,13.51亿,14.18%,32.09亿,2.07亿,0.2937039,,爱尔医疗投资集团有限公司
2015,,,3.54,31.66,31.79%,4.28亿,38.44%,2.43,,8.0455,1.4568,PE；PS,7.21亿,11.32亿,13.79%,24.99亿,1.74亿,0.1499392,,爱尔医疗投资集团有限公司
2014,,,2.05,24.02,21.01%,3.09亿,38.34%,3.09,,6.4062,0.6634,PE；PS,7.20亿,8.36亿,13.03%,20.61亿,1.41亿,0.1492809,,爱尔医疗投资集团有限公司
2013,,,1.55,19.85,21.03%,2.23亿,22.43%,3.85,,4.5032,0.4026,PE；PS,6.20亿,6.23亿,11.05%,17.39亿,1.16亿,0.0987411,,爱尔医疗投资集团有限公司
2012,,,0.84,16.4,25.14%,1.83亿,6.18%,3.51,,1.9535,0.2393,PE；PS,5.57亿,4.64亿,11.10%,15.69亿,9507.14万,0.15,,爱尔医疗投资集团有限公司
2011,,,1.22,13.11,51.54%,1.72亿,42.90%,3.2,,3.05,0.3812,PE；PS,6.36亿,3.65亿,13.10%,14.13亿,7812.68万,0.15,,爱尔医疗投资集团有限公司
2010,,,1.35,8.65,42.61%,1.20亿,30.08%,4.78,,4.8214,0.2824,PE；PS,7.74亿,2.47亿,14.36%,13.09亿,4712.12万,0.35,,爱尔医疗投资集团有限公司
