报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,57.538,19.4385,2.96,12.63,-12.34%,4865.65万,17.97%,3.52,4.5557,115.1751,0.8409,PE；PS,11.54亿,4.69亿,5.11%,71.02亿,8.41亿,0.06,20%: 最新年度营业收入下滑,贵州金域实业投资合伙企业(有限合伙)
2026-03-31,57.538,19.4385,2.96,12.63,-12.34%,4865.65万,17.97%,3.52,1.1389,115.1751,0.8409,PE；PS,11.54亿,4.69亿,5.11%,71.02亿,8.41亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2025,61.426,19.4385,3.16,56.2,-6.84%,1.20亿,18.65%,3.49,1.093,49.8423,0.9054,PE；PS,11.14亿,4.20亿,3.41%,70.38亿,9.01亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2024,85.335,19.4385,4.39,60.32,-6.63%,1.01亿,-64.70%,3.45,1.4147,82.364,1.2725,PE；PS,10.16亿,4.57亿,2.58%,70.20亿,10.60亿,0.09,,贵州金域实业投资合伙企业(有限合伙)
2023,81.447,19.4385,4.19,64.61,1.75%,2.87亿,28.02%,3.53,1.2606,27.9333,1.187,PE；PS,8.06亿,5.32亿,5.48%,71.42亿,10.01亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2022,88.793,20.2723,4.38,63.5,-1.88%,2.24亿,-17.77%,3.5,1.3983,36.5,1.2514,PE；PS,8.99亿,3.73亿,4.23%,70.65亿,10.33亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2021,113.872,16.6723,6.83,64.72,10.71%,2.73亿,57.25%,3.27,1.7595,45.5333,2.0887,PE；PS,6.25亿,2.72亿,5.78%,68.29亿,9.36亿,,,贵州金域实业投资合伙企业(有限合伙)
2020,130.044,16.6723,7.8,58.46,-12.16%,1.74亿,-26.57%,2.95,2.2245,70.9091,2.6441,PE；PS,17.76亿,2795.71万,3.77%,51.69亿,8.43亿,,,贵州金域实业投资合伙企业(有限合伙)
2019,80.527,16.6723,4.83,66.55,1.14%,2.36亿,118.22%,2.9,1.21,32.2,1.6655,PE；PS,12.36亿,-1.46亿,3.96%,50.48亿,9.94亿,,,贵州金域实业投资合伙企业(有限合伙)
2018,64.104,17.049,3.76,65.8,9.63%,-12.97亿,-505.97%,2.98,0.9742,,1.2617,PE；PS,16.14亿,-3.63亿,-19.50%,51.69亿,10.44亿,0.03,,贵州金域实业投资合伙企业(有限合伙)
2017,,,7.74,60.02,16.39%,3.19亿,29.82%,3.88,,40.7368,1.9948,PE；PS,21.45亿,9.65亿,5.52%,67.59亿,7.00亿,0.03,,贵州金域实业投资合伙企业(有限合伙)
2016,,,9.03,51.57,23.38%,2.46亿,41.08%,3.73,,60.2,2.4209,PE；PS,16.74亿,6.99亿,4.71%,64.85亿,7.44亿,0.03,,贵州金域实业投资合伙企业(有限合伙)
2015,,,13.06,41.8,68.80%,1.74亿,20.45%,2.03,,93.2857,6.4335,PE；PS,6.03亿,5.07亿,4.03%,26.69亿,6.15亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2014,,,7.36,24.76,334.81%,1.45亿,259.79%,4.79,,56.7026,1.5365,PE；PS,6.59亿,3.67亿,6.21%,24.58亿,5.45亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2013,,,5.01,5.69,27.24%,4023.73万,-15.87%,5.96,,41.75,0.8406,PE；PS,2.54亿,2.42亿,6.97%,10.36亿,3.27亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2012,,,2.82,4.48,23.68%,4782.90万,3.80%,5.86,,10.0714,0.4812,PE；PS,3.60亿,2.16亿,10.63%,10.23亿,1.76亿,0.06,,贵州金域实业投资合伙企业(有限合伙)
2011,,,1.87,3.62,13.57%,4607.88万,22.04%,5.65,,6.9259,0.331,PE；PS,5.13亿,1.84亿,12.68%,9.80亿,1.42亿,0.3,,贵州金域实业投资合伙企业(有限合伙)
2010,,,3.79,3.19,-5.36%,3775.74万,-19.13%,11.06,,15.7917,0.3427,PE；PS,6.29亿,1.68亿,11.80%,9.60亿,7163.96万,,,贵州金域实业投资合伙企业(有限合伙)
