报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,87.6,4.6795,18.72,3.17,-9.54%,2424.49万,-13.50%,7.95,27.6341,374.4,2.3547,PE；PS,17.35亿,-7900.40万,7.61%,37.67亿,2.32亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,天津德源健康管理有限公司
2026-03-31,87.6,4.6795,18.72,3.17,-9.54%,2424.49万,-13.50%,7.95,6.9085,374.4,2.3547,PE；PS,17.35亿,-7900.40万,7.61%,37.67亿,2.32亿,,,天津德源健康管理有限公司
2025,117.923,4.6795,25.2,14.55,-8.23%,1.14亿,13.43%,7.92,8.1047,100.8,3.1818,PE；PS,17.19亿,-1.03亿,7.12%,37.55亿,2.30亿,,,天津德源健康管理有限公司
2024,90.314,4.6795,19.3,15.85,-0.27%,1.00亿,-5.73%,7.68,5.698,87.7273,2.513,PE；PS,15.25亿,-2.17亿,5.64%,36.59亿,2.32亿,,,天津德源健康管理有限公司
2023,94.853,4.6795,20.27,15.9,2.24%,1.06亿,-5.78%,7.87,5.9656,88.1304,2.5756,PE；PS,15.81亿,-3.17亿,6.20%,37.99亿,2.48亿,,,天津德源健康管理有限公司
2022,79.598,4.6795,17.01,15.55,1.27%,1.13亿,-27.26%,7.6,5.1188,70.875,2.2382,PE；PS,13.93亿,-4.24亿,6.86%,36.54亿,2.48亿,,,天津德源健康管理有限公司
2021,118.111,4.6795,25.24,15.35,16.41%,1.55亿,222.43%,7.4,7.6945,76.4848,3.4108,PE；PS,11.96亿,-5.37亿,9.85%,35.33亿,2.27亿,,,天津德源健康管理有限公司
2020,91.769,4.6797,19.61,13.19,-4.90%,-1.27亿,-355.29%,7.26,6.9575,,2.7011,PE；PS,10.60亿,-7.11亿,-9.62%,35.02亿,2.22亿,,,天津德源健康管理有限公司
2019,74.519,4.4016,16.93,13.87,5.02%,4969.48万,-16.13%,7.17,5.3727,153.9091,2.3612,PE；PS,10.33亿,-5.84亿,3.89%,34.61亿,2.19亿,,,天津德源健康管理有限公司
2018,62.699,3.8608,16.24,13.21,-0.02%,5925.29万,471.58%,6.3,4.7463,108.2667,2.5778,PE；PS,5.85亿,-6.31亿,4.99%,29.84亿,1.88亿,,,天津德源健康管理有限公司
2017,,,28.4,13.21,3.94%,1036.65万,-72.62%,3.92,,946.6667,7.2449,PE；PS,4.76亿,-6.90亿,-1.19%,29.65亿,1.82亿,,,天津德源健康管理有限公司
2016,,,26.8,8.38,18.18%,3785.99万,-81.83%,4.11,,268.0,6.5207,PE；PS,4.13亿,8723.09万,5.98%,17.52亿,6363.56万,,,天津德源健康管理有限公司
2015,,,65.01,7.09,48.68%,2.08亿,487.49%,4.02,,120.3889,16.1716,PE；PS,5.45亿,4937.10万,30.61%,16.82亿,6156.71万,,,天津德源健康管理有限公司
2014,,,40.51,4.77,31.98%,3546.50万,391.50%,2.75,,405.1,14.7309,PE；PS,7.19亿,-1.59亿,9.83%,11.56亿,5724.62万,,,天津德源健康管理有限公司
2013,,,23.96,3.61,20.30%,721.57万,-48.08%,1.44,,1198.0,16.6389,PE；PS,8.16亿,-1.94亿,4.68%,6.60亿,2858.14万,,,天津德源健康管理有限公司
2012,,,17.94,3.0,21.73%,1389.89万,-40.67%,0.45,,448.5,39.8667,PE；PS,6.24亿,-2.02亿,8.91%,2.82亿,2713.48万,,,天津德源健康管理有限公司
2011,,,22.79,2.47,-8.10%,2342.62万,179.53%,0.48,,325.5714,47.4792,PE；PS,5.87亿,-2.13亿,19.11%,2.69亿,2054.87万,,,天津德源健康管理有限公司
2010,,,9.38,2.68,-12.76%,838.05万,294.40%,0.41,,360.7692,22.878,PE；PS,5.03亿,-2.37亿,10.28%,2.44亿,1954.63万,,,天津德源健康管理有限公司
