报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,53.661,2.268,23.66,2.22,-1.39%,3098.30万,-29.21%,10.77,24.1716,173.2064,2.1968,PE；PS,7662.55万,14.34亿,13.87%,24.76亿,9.51亿,0.2,40%: 最新年度营业收入下滑；最新年度净利润同比下降,深圳市光明区国有资产监督管理局
2026-03-31,53.661,2.268,23.66,2.22,-1.39%,3098.30万,-29.21%,10.77,6.0429,173.2064,2.1968,PE；PS,7662.55万,14.34亿,13.87%,24.76亿,9.51亿,0.2,,深圳市光明区国有资产监督管理局
2025,57.38,2.268,25.3,12.67,5.28%,2.46亿,-2.84%,10.64,4.5288,23.2944,2.3778,PE；PS,3.70亿,14.03亿,19.40%,24.45亿,8.83亿,0.2,,深圳市光明区国有资产监督管理局
2024,60.374,2.268,26.62,12.03,14.75%,2.54亿,15.95%,9.75,5.0186,23.8146,2.7303,PE；PS,2.75亿,12.27亿,21.11%,22.44亿,7.93亿,0.2,,深圳市光明区国有资产监督管理局
2023,77.951,2.268,34.37,10.49,56.98%,2.19亿,86.06%,8.88,7.431,35.6498,3.8705,PE；PS,2.52亿,10.43亿,20.75%,20.46亿,6.73亿,0.2,,深圳市光明区国有资产监督管理局
2022,70.376,2.268,31.03,6.68,-26.39%,1.18亿,-42.80%,8.12,10.5353,59.8804,3.8214,PE；PS,2.95亿,8.92亿,18.13%,18.68亿,6.06亿,0.2,,深圳市光明区国有资产监督管理局
2021,50.317,1.62,31.06,9.07,0.32%,2.05亿,7.90%,7.8,5.5476,34.2901,3.9821,PE；PS,3.32亿,8.32亿,22.59%,17.88亿,4.22亿,0.25,,深圳市光明区国有资产监督管理局
2020,35.597,1.08,32.96,9.05,10.12%,1.90亿,11.12%,9.9,3.9334,28.0439,3.3293,PE；PS,4.71亿,6.88亿,20.96%,16.24亿,3.84亿,0.32,,深圳市光明区国有资产监督管理局
2019,25.693,1.08,23.79,8.21,19.41%,1.71亿,9.39%,13.41,3.1295,14.9953,1.774,PE；PS,3.05亿,6.05亿,20.83%,14.49亿,4.68亿,0.3,,深圳市光明区国有资产监督管理局
2018,19.634,1.08,18.18,6.88,10.36%,1.57亿,1.22%,12.09,2.8538,12.5353,1.5037,PE；PS,2.60亿,4.83亿,22.77%,13.09亿,4.96亿,0.5,,深圳市光明区国有资产监督管理局
2017,,,24.44,6.23,10.11%,1.55亿,0.99%,11.14,,14.9024,2.1939,PE；PS,3.39亿,3.93亿,24.82%,12.03亿,4.48亿,,,深圳市光明区国有资产监督管理局
2016,,,,5.66,13.01%,1.53亿,22.72%,6.25,,,,PE；PS,6190.96万,3.35亿,27.07%,5.06亿,3.62亿,,,深圳市光明区国有资产监督管理局
2015,,,,5.01,10.64%,1.25亿,24.18%,4.86,,,,PE；PS,1.19亿,2.37亿,24.92%,3.94亿,2.77亿,,,深圳市光明区国有资产监督管理局
2014,,,,4.53,27.47%,1.01亿,13.12%,3.81,,,,PE；PS,1.14亿,1.65亿,22.21%,3.09亿,2.46亿,,,深圳市光明区国有资产监督管理局
2013,,,,3.55,18.38%,8888.06万,24.40%,2.76,,,,PE；PS,7037.93万,8953.17万,25.02%,2.24亿,2.30亿,,,深圳市光明区国有资产监督管理局
2012,,,,3.0,False,7144.53万,False,1.67,,,,PE；PS,1.40亿,929.78万,23.81%,1.35亿,1.53亿,,,深圳市光明区国有资产监督管理局
