报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,35.209,1.1027,31.93,0.736649,-21.42%,176.12万,-85.14%,10.1,47.7962,1596.5,3.1614,PE；PB,7.59亿,3.11亿,2.92%,11.23亿,3.07亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,广东信邦自动化设备集团有限公司
2026-03-31,35.209,1.1027,31.93,0.736649,-21.42%,176.12万,-85.14%,10.1,11.949,1596.5,3.1614,PE；PB,7.59亿,3.11亿,2.92%,11.23亿,3.07亿,,,广东信邦自动化设备集团有限公司
2025,43.435,1.1027,39.39,4.01,-39.70%,-7610.91万,-1637.33%,10.16,10.8317,,3.877,PE；PB,7.86亿,3.10亿,-20.04%,11.30亿,1.55亿,0.1,,广东信邦自动化设备集团有限公司
2024,25.704,1.1027,23.31,6.66,33.59%,495.07万,-88.33%,11.0,3.8595,582.75,2.1191,PE；PB,6.22亿,3.96亿,-1.12%,12.23亿,1.75亿,0.12,,广东信邦自动化设备集团有限公司
2023,32.75,1.1027,29.7,4.98,-9.39%,4241.25万,-34.81%,11.14,6.5763,78.1579,2.6661,PE；PB,7.76亿,4.04亿,7.90%,12.52亿,3.79亿,0.18,,广东信邦自动化设备集团有限公司
2022,33.809,1.1027,30.66,5.5,6.32%,6506.10万,-19.35%,10.94,6.1471,45.7612,2.8026,PE；PB,9.00亿,3.87亿,12.10%,12.16亿,3.60亿,0.3628,,广东信邦自动化设备集团有限公司
2021,,,,5.17,-17.46%,8066.95万,16.00%,6.06,,,,PE；PB,3.24亿,3.66亿,15.88%,5.10亿,3.10亿,,,广东信邦自动化设备集团有限公司
2020,,,,6.27,0.93%,6954.18万,-20.31%,5.33,,,,PE；PB,3.87亿,2.91亿,11.31%,4.50亿,2.36亿,,,广东信邦自动化设备集团有限公司
2019,,,,6.21,-10.30%,8726.06万,15.83%,4.59,,,,PE；PB,3.07亿,2.26亿,14.52%,3.88亿,3.17亿,,,广东信邦自动化设备集团有限公司
2018,,,,6.92,18.67%,7533.60万,15.46%,9.56,,,,PE；PB,2.46亿,1.89亿,11.35%,3.22亿,2.76亿,,,广东信邦自动化设备集团有限公司
2017,,,,5.83,False,6524.64万,False,6.07,,,,PE；PB,7833.31万,1.15亿,11.54%,1.95亿,3.37亿,,,广东信邦自动化设备集团有限公司
