报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,34.109,0.8422,40.5,1.87,4.65%,1687.96万,35.57%,9.74,18.2401,202.5,4.1581,PE；PB,2.47亿,3.37亿,9.73%,9.11亿,2.49亿,0.1,,新昌县远威科技有限公司
2026-03-31,34.109,0.8422,40.5,1.87,4.65%,1687.96万,35.57%,9.74,4.56,202.5,4.1581,PE；PB,2.47亿,3.37亿,9.73%,9.11亿,2.49亿,0.1,,新昌县远威科技有限公司
2025,20.576,0.8175,25.17,6.62,7.32%,1662.07万,-65.63%,8.11,3.1082,125.85,3.1036,PE；PB,2.92亿,3.20亿,2.24%,7.33亿,2.38亿,0.2974062,,新昌县远威科技有限公司
2024,11.249,0.8175,13.76,6.16,26.31%,4835.74万,164.10%,7.7,1.8261,23.322,1.787,PE；PB,3.80亿,3.28亿,7.89%,7.03亿,2.49亿,0.08,,新昌县远威科技有限公司
2023,15.998,0.8175,19.57,4.88,-13.50%,1831.05万,-75.33%,7.2,3.2783,88.9545,2.7181,PE；PB,1.76亿,2.86亿,4.76%,6.04亿,2.07亿,0.1,,新昌县远威科技有限公司
2022,11.608,0.8175,14.2,5.64,-2.30%,7423.59万,-12.93%,7.06,2.0582,15.6044,2.0113,PE；PB,2.65亿,2.77亿,13.64%,5.86亿,1.59亿,0.3,,新昌县远威科技有限公司
2021,16.89,0.8175,20.66,5.77,40.63%,8526.23万,31.77%,6.45,2.9272,16.528,3.2031,PE；PB,2.97亿,2.35亿,14.76%,5.29亿,2.63亿,,,新昌县远威科技有限公司
2020,,,,4.11,1.46%,6470.68万,-6.43%,4.22,,,,PE；PB,1.43亿,1.58亿,15.50%,2.60亿,1.25亿,,,新昌县远威科技有限公司
2019,,,,4.05,23.72%,6915.28万,26.27%,3.17,,,,PE；PB,7232.76万,9985.56万,17.01%,1.95亿,1.14亿,,,新昌县远威科技有限公司
2018,,,,3.27,21.23%,5476.62万,32.29%,2.61,,,,PE；PB,4942.01万,7233.80万,16.70%,1.59亿,1.10亿,,,新昌县远威科技有限公司
2017,,,,2.7,False,4139.98万,False,1.96,,,,PE；PB,3477.74万,3815.96万,15.29%,1.20亿,7091.84万,,,新昌县远威科技有限公司
