报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,76.943,15.3578,5.01,20.96,-2.27%,2614.29万,-59.63%,4.48,3.6709,294.7059,1.1183,PE；PB,29.26亿,40.62亿,0.04%,104.61亿,21.39亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,香港华晟控股有限公司
2026-03-31,76.943,15.3578,5.01,20.96,-2.27%,2614.29万,-59.63%,4.48,0.9177,294.7059,1.1183,PE；PB,29.26亿,40.62亿,0.04%,104.61亿,21.39亿,,,香港华晟控股有限公司
2025,93.082,15.4878,6.01,87.97,-2.78%,2.15亿,-51.85%,4.45,1.0581,42.9593,1.3506,PE；PB,34.59亿,40.36亿,2.49%,104.32亿,21.64亿,0.12,,香港华晟控股有限公司
2024,94.321,15.4878,6.09,90.48,-0.10%,4.46亿,53.67%,4.24,1.0425,20.9639,1.4363,PE；PB,32.53亿,36.55亿,5.79%,101.67亿,20.25亿,0.12,,香港华晟控股有限公司
2023,86.759,13.6199,6.37,90.57,3.39%,2.90亿,26.07%,4.06,0.9579,29.9342,1.569,PE；PB,37.49亿,34.35亿,4.25%,97.71亿,19.71亿,0.1,,香港华晟控股有限公司
2022,64.79,13.9935,4.63,87.6,0.39%,2.30亿,-23.13%,3.8,0.7396,27.1236,1.2184,PE；PB,27.46亿,32.96亿,4.01%,86.00亿,20.32亿,0.1,,香港华晟控股有限公司
2021,72.906,13.9935,5.21,87.26,27.44%,3.00亿,-5.46%,4.15,0.8355,23.4579,1.2554,PE；PB,27.83亿,31.12亿,5.60%,105.80亿,19.90亿,0.1,,香港华晟控股有限公司
2020,78.783,13.9935,5.63,37.45,12.20%,3.17亿,7.04%,4.48,2.1037,23.9676,1.2567,PE；PB,13.89亿,17.58亿,8.60%,63.12亿,7.36亿,0.185,,香港华晟控股有限公司
2019,60.172,13.9935,4.3,33.38,-12.21%,2.96亿,-21.59%,3.49,1.8026,20.3214,1.2321,PE；PB,20.32亿,17.00亿,9.09%,49.71亿,6.37亿,0.156,,香港华晟控股有限公司
2018,56.228,12.7213,4.42,38.02,0.05%,3.78亿,-48.99%,3.09,1.4789,16.3764,1.4304,PE；PB,8.97亿,16.54亿,9.97%,43.41亿,7.67亿,0.329,,香港华晟控股有限公司
2017,,,6.86,38.0,12.88%,7.40亿,-30.96%,3.76,,12.9679,1.8245,PE；PB,5.70亿,17.32亿,19.63%,48.00亿,7.46亿,0.42000000000000004,,香港华晟控股有限公司
2016,,,7.02,33.66,17.03%,10.72亿,1907.92%,3.92,,8.3284,1.7908,PE；PB,14.79亿,15.65亿,31.88%,50.05亿,7.54亿,0.0125,,香港华晟控股有限公司
2015,,,11.9,28.77,-6.26%,5340.56万,-79.93%,3.95,,283.3333,3.0127,PE；PB,9.35亿,6.14亿,1.31%,50.58亿,5.60亿,0.22000000000000003,,香港华晟控股有限公司
2014,,,5.55,30.69,21.45%,2.66亿,5.68%,3.11,,26.5296,1.7846,PE；PB,9.90亿,7.78亿,8.69%,30.94亿,6.26亿,0.16,,香港华晟控股有限公司
2013,,,3.68,25.27,14.75%,2.52亿,-37.12%,2.95,,14.1538,1.2475,PE；PB,9.02亿,6.72亿,9.98%,29.25亿,5.17亿,0.31,,香港华晟控股有限公司
2012,,,3.39,22.02,-2.61%,4.00亿,37.31%,3.01,,8.2683,1.1262,PE；PB,9.89亿,7.23亿,18.18%,29.97亿,4.35亿,0.25,,香港华晟控股有限公司
2011,,,4.82,22.61,15.59%,2.92亿,10.57%,2.85,,16.0667,1.6912,PE；PB,6.95亿,6.07亿,13.15%,28.38亿,4.94亿,0.25,,香港华晟控股有限公司
2010,,,8.04,19.56,14.57%,2.64亿,24.32%,2.83,,29.7778,2.841,PE；PB,7.50亿,5.88亿,13.86%,28.12亿,3.65亿,0.22000000000000003,,香港华晟控股有限公司
