报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,119.413,27.5145,4.34,1.21,22.69%,-969.39万,-16.34%,0.4,98.6884,,10.85,PE；PB,2.02亿,-27.07亿,-8.29%,11.28亿,7332.01万,,20%: 最新年度净利润同比下降,青岛智算信息产业发展合伙企业(有限合伙)
2026-03-31,119.413,27.5145,4.34,1.21,22.69%,-969.39万,-16.34%,0.4,24.6721,,10.85,PE；PB,2.02亿,-27.07亿,-8.29%,11.28亿,7332.01万,,,青岛智算信息产业发展合伙企业(有限合伙)
2025,92.854,27.6351,3.36,4.65,27.09%,1.41亿,182.48%,0.36,19.9686,64.7399,9.3333,PE；PB,3.21亿,-26.98亿,28.53%,10.22亿,4042.15万,,,青岛智算信息产业发展合伙企业(有限合伙)
2024,70.193,27.6351,2.54,3.66,11.61%,-1.71亿,74.62%,0.3,19.1784,,8.4667,PE；PB,1.28亿,-28.39亿,-47.63%,8.50亿,6747.07万,,,青岛智算信息产业发展合伙企业(有限合伙)
2023,26.019,12.2733,2.12,3.28,-38.28%,-6.75亿,-1215.98%,0.38,7.9326,,5.5789,PE；PB,2.81亿,-26.68亿,-208.13%,10.74亿,7061.94万,0.0,,青岛智算信息产业发展合伙企业(有限合伙)
2022,18.533,12.2733,1.51,5.31,-24.07%,6051.00万,112.52%,1.41,3.4902,68.9498,1.0709,PE；PB,1957.33万,-19.92亿,11.23%,17.57亿,3.81亿,,,青岛智算信息产业发展合伙企业(有限合伙)
2021,12.887,12.2733,1.05,7.0,34.67%,-4.83亿,29.46%,-0.25,1.841,,,PE；PB,1255.76万,-20.53亿,-69.07%,-2.89亿,4.94亿,,,青岛智算信息产业发展合伙企业(有限合伙)
2020,9.573,12.2733,0.78,5.2,-28.81%,-6.85亿,-1120.13%,0.05,1.841,,15.6,PE；PB,5246.86万,-15.70亿,-131.72%,7896.60万,5.59亿,,,青岛智算信息产业发展合伙企业(有限合伙)
2019,17.06,12.2733,1.39,7.3,-34.82%,6714.03万,103.86%,0.6,2.337,27.8,2.3167,PE；PB,1.26亿,-8.85亿,9.33%,7.63亿,6.33亿,,,青岛智算信息产业发展合伙企业(有限合伙)
2018,23.442,12.2733,1.91,11.2,-5.42%,-17.41亿,-7132.43%,0.55,2.093,,3.4727,PE；PB,4285.20万,-9.52亿,-155.62%,6.95亿,7.25亿,,,青岛智算信息产业发展合伙企业(有限合伙)
2017,,,10.97,11.84,-9.47%,-2407.67万,-107.39%,2.15,,,5.1023,PE；PB,7731.00万,7.89亿,5.04%,24.38亿,10.48亿,0.0,,青岛智算信息产业发展合伙企业(有限合伙)
2016,,,10.62,13.14,28.48%,3.26亿,8.33%,3.36,,17.4098,3.1607,PE；PB,4.08亿,8.14亿,31.56%,24.57亿,9.11亿,,,青岛智算信息产业发展合伙企业(有限合伙)
2015,,,18.61,11.51,85.77%,3.01亿,128.25%,2.76,,37.22,6.7428,PE；PB,7.61亿,5.03亿,26.04%,21.22亿,7.08亿,0.011,,青岛智算信息产业发展合伙企业(有限合伙)
2014,,,4.75,6.2,5.63%,1.32亿,302.20%,1.37,,16.3793,3.4672,PE；PB,1.36亿,2.35亿,2.17%,6.92亿,2.92亿,0.014000000000000002,,青岛智算信息产业发展合伙企业(有限合伙)
2013,,,2.73,13.27,4.42%,3274.58万,-19.67%,1.48,,24.8182,1.8446,PE；PB,3.41亿,1.05亿,2.41%,4.28亿,3.93亿,0.011,,青岛智算信息产业发展合伙企业(有限合伙)
2012,,,2.52,12.71,23.36%,4076.35万,14.02%,1.49,,18.0,1.6913,PE；PB,3.01亿,8042.91万,2.95%,4.36亿,3.40亿,,,青岛智算信息产业发展合伙企业(有限合伙)
2011,,,2.7,9.77,14.47%,3575.22万,16.86%,1.37,,22.5,1.9708,PE；PB,3.52亿,4787.12万,3.55%,3.96亿,2.92亿,0.1,,青岛智算信息产业发展合伙企业(有限合伙)
2010,,,2.93,8.53,19.56%,3059.40万,-25.09%,2.25,,26.6364,1.3022,PE；PB,1.87亿,1.27亿,3.50%,3.90亿,1.92亿,,,青岛智算信息产业发展合伙企业(有限合伙)
