报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,59.347,5.2659,11.27,10.23,-23.32%,-3891.97万,-144.89%,10.12,5.8013,,1.1136,PE；PB,37.72亿,22.70亿,-4.10%,53.25亿,15.75亿,0.6,40%: 最新年度营业收入下滑；最新年度净利润同比下降,吉利科技集团有限公司
2026-03-31,59.347,5.2659,11.27,10.23,-23.32%,-3891.97万,-144.89%,10.12,1.4503,,1.1136,PE；PB,37.72亿,22.70亿,-4.10%,53.25亿,15.75亿,0.6,,吉利科技集团有限公司
2025,77.262,5.2667,14.67,54.14,-10.22%,9.77亿,44.39%,10.19,1.4271,7.8558,1.4396,PE；PB,40.23亿,23.09亿,17.98%,53.73亿,16.25亿,0.9,,吉利科技集团有限公司
2024,85.668,5.2719,16.25,60.31,18.30%,6.77亿,45.84%,9.1,1.4205,12.5521,1.7857,PE；PB,56.78亿,18.06亿,11.14%,47.99亿,11.71亿,0.78,,吉利科技集团有限公司
2023,50.598,4.6893,10.79,50.98,-9.75%,4.64亿,11.67%,8.41,0.9925,12.253,1.283,PE；PB,46.05亿,15.40亿,8.94%,44.46亿,12.10亿,0.24,,吉利科技集团有限公司
2022,71.523,4.5354,15.77,56.48,31.07%,4.16亿,74.89%,7.45,1.2663,17.2124,2.1168,PE；PB,27.95亿,12.39亿,7.03%,35.12亿,12.51亿,,,吉利科技集团有限公司
2021,54.924,4.5354,12.11,43.09,19.29%,2.38亿,-0.80%,6.6,1.2746,23.1151,1.8348,PE；PB,15.15亿,8.24亿,5.38%,30.14亿,11.17亿,,,吉利科技集团有限公司
2020,99.053,4.5354,21.84,36.12,-4.55%,2.40亿,5.07%,6.05,2.7423,41.2075,3.6099,PE；PB,12.10亿,6.10亿,5.45%,26.84亿,9.27亿,0.44000000000000006,,吉利科技集团有限公司
2019,40.909,4.5354,9.02,37.85,22.54%,2.28亿,259.80%,5.95,1.0808,18.04,1.516,PE；PB,13.48亿,5.76亿,4.54%,26.74亿,8.66亿,,,吉利科技集团有限公司
2018,34.061,4.5354,7.51,30.89,13.72%,6335.79万,-23.43%,5.47,1.1027,53.6429,1.3729,PE；PB,2.38亿,4.20亿,1.19%,25.16亿,11.68亿,,,吉利科技集团有限公司
2017,,,16.31,27.16,20.27%,8274.37万,-74.79%,5.43,,90.6111,3.0037,PE；PB,5.21亿,3.58亿,2.89%,25.24亿,7.25亿,0.1,,吉利科技集团有限公司
2016,,,13.57,22.58,5.55%,3.28亿,352.02%,5.16,,18.8472,2.6298,PE；PB,4.87亿,3.21亿,13.58%,23.66亿,7.09亿,,,吉利科技集团有限公司
2015,,,9.38,21.39,-11.00%,-1.30亿,33.43%,4.41,,,2.127,PE；PB,1.21亿,139.16万,-7.23%,20.31亿,8.94亿,,,吉利科技集团有限公司
2014,,,4.95,24.04,-26.88%,-1.96亿,-1544.71%,4.57,,,1.0832,PE；PB,1.97亿,1.32亿,-9.20%,20.96亿,9.39亿,,,吉利科技集团有限公司
2013,,,4.2,32.87,-10.49%,1354.26万,48.46%,4.94,,140.0,0.8502,PE；PB,2.31亿,3.27亿,0.0067%,22.78亿,9.81亿,0.1,,吉利科技集团有限公司
2012,,,3.29,36.73,0.0089%,912.19万,151.85%,5.05,,164.5,0.6515,PE；PB,2.20亿,3.59亿,-0.13%,23.32亿,9.77亿,,,吉利科技集团有限公司
2011,,,3.47,36.73,-3.04%,-1759.30万,-125.19%,3.11,,,1.1158,PE；PB,2.43亿,3.51亿,-0.81%,14.59亿,10.27亿,,,吉利科技集团有限公司
2010,,,6.34,37.88,4.13%,6983.69万,-45.20%,3.14,,42.2667,2.0191,PE；PB,8.01亿,3.68亿,1.40%,14.68亿,7.57亿,,,吉利科技集团有限公司
