报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,121.108,1.3649,88.73,2.01,12.16%,6612.91万,-1.03%,11.4,60.2527,181.0816,7.7833,PE；PB,5.14亿,11.02亿,33.42%,16.11亿,1.80亿,,20%: 最新年度净利润同比下降,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2026-03-31,121.108,1.3649,88.73,2.01,12.16%,6612.91万,-1.03%,11.4,15.0632,181.0816,7.7833,PE；PB,5.14亿,11.02亿,33.42%,16.11亿,1.80亿,,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2025,125.585,1.3652,91.99,8.04,18.21%,2.67亿,26.11%,10.99,15.62,46.2261,8.3703,PE；PB,4.76亿,10.36亿,34.28%,15.54亿,1.94亿,1.25,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2024,30.157,1.3511,22.32,6.8,16.63%,2.12亿,14.76%,9.91,4.4349,14.1266,2.2523,PE；PB,3.59亿,9.25亿,32.25%,13.95亿,1.67亿,0.6000000000000001,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2023,33.453,1.3522,24.74,5.83,10.72%,1.84亿,18.38%,9.27,5.7381,17.9275,2.6688,PE；PB,4.15亿,8.08亿,31.90%,12.90亿,1.56亿,0.5,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2022,21.197,1.3399,15.82,5.27,21.93%,1.56亿,10.66%,8.15,4.0222,13.5214,1.9411,PE；PB,3.75亿,6.91亿,31.54%,11.37亿,1.57亿,0.3,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2021,18.978,1.0331,18.37,4.32,14.88%,1.41亿,-5.15%,7.23,4.3931,17.3302,2.5408,PE；PB,2.93亿,5.75亿,34.68%,9.92亿,1.38亿,0.5,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2020,15.379,0.7948,19.35,3.76,12.05%,1.48亿,13.93%,8.83,4.0902,17.4324,2.1914,PE；PB,3.91亿,5.02亿,41.11%,9.32亿,5705.17万,0.5,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2019,14.479,0.7951,18.21,3.36,11.57%,1.30亿,26.99%,9.96,4.3092,11.0364,1.8283,PE；PB,3.74亿,4.09亿,40.08%,8.10亿,4834.19万,0.4,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2018,8.362,0.6108,13.69,3.01,11.11%,1.03亿,-2.54%,8.54,2.7781,10.4504,1.603,PE；PB,2.23亿,3.11亿,34.51%,6.90亿,5142.66万,0.53,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2017,,,26.36,2.71,71.29%,1.05亿,89.71%,9.55,,14.4044,2.7602,PE；PB,1.10亿,2.53亿,38.79%,5.93亿,4146.13万,0.27999999999999997,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2016,,,,1.58,34.13%,5547.94万,20.23%,6.22,,,,PE；PB,4987.91万,1.75亿,35.10%,2.80亿,2989.36万,,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2015,,,,1.18,-2.37%,4614.46万,-5.71%,5.29,,,,PE；PB,3062.01万,1.39亿,39.15%,2.38亿,2933.14万,,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2014,,,,1.21,30.29%,4893.65万,32.12%,4.6,,,,PE；PB,3463.58万,1.12亿,40.54%,2.07亿,2450.64万,,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2013,,,,0.926515,29.70%,3703.93万,35.88%,3.75,,,,PE；PB,4152.71万,7908.48万,39.98%,1.69亿,2444.93万,,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2012,,,,0.71433,15.02%,2725.95万,4.04%,2.59,,,,PE；PB,1979.69万,4934.94万,38.16%,1.16亿,1997.99万,,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
2011,,,,0.621064,False,2620.11万,False,2.05,,,,PE；PB,840.03万,2781.59万,42.19%,9218.49万,1535.50万,,,中国建设银行股份有限公司－永赢先进制造智选混合型发起式证券投资基金
