报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,38.971,9.5052,4.1,6.77,-32.07%,-675.53万,-1313.23%,3.71,5.7564,,1.1051,PE；PB,4.67亿,-4.43亿,-1.17%,35.66亿,9.23亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,北京海纳川汽车部件股份有限公司
2026-03-31,38.971,9.5052,4.1,6.77,-32.07%,-675.53万,-1313.23%,3.71,1.4391,,1.1051,PE；PB,4.67亿,-4.43亿,-1.17%,35.66亿,9.23亿,,,北京海纳川汽车部件股份有限公司
2025,53.039,9.5052,5.58,31.15,-26.31%,1.67亿,113.24%,3.84,1.7027,31.6865,1.4531,PE；PB,4.63亿,-4.36亿,5.40%,36.93亿,8.89亿,,,北京海纳川汽车部件股份有限公司
2024,31.652,9.5052,3.33,42.27,-9.48%,-12.64亿,-535.66%,3.66,0.7488,,0.9098,PE；PB,9.22亿,-6.04亿,-29.82%,35.20亿,11.38亿,,,北京海纳川汽车部件股份有限公司
2023,38.496,9.5052,4.05,46.7,13.85%,-1.99亿,-219.32%,4.7,0.8243,,0.8617,PE；PB,8.13亿,6.60亿,-4.12%,45.06亿,11.37亿,,,北京海纳川汽车部件股份有限公司
2022,32.413,9.5052,3.41,41.02,-7.08%,-6225.84万,30.91%,4.81,0.7902,,0.7089,PE；PB,9.77亿,8.59亿,-1.68%,46.04亿,10.70亿,,,北京海纳川汽车部件股份有限公司
2021,37.926,9.5052,3.99,44.15,-5.78%,-9010.71万,-228.75%,5.29,0.859,,0.7543,PE；PB,10.40亿,9.20亿,-1.97%,52.64亿,10.28亿,0.01,,北京海纳川汽车部件股份有限公司
2020,44.009,9.5052,4.63,46.86,-4.72%,6998.87万,-3.30%,5.27,0.9392,62.9076,0.8786,PE；PB,22.20亿,10.20亿,0.46%,52.64亿,9.42亿,0.01,,北京海纳川汽车部件股份有限公司
2019,30.131,9.5052,3.17,49.18,26.81%,7237.78万,-48.04%,4.97,0.6127,41.6557,0.6378,PE；PB,18.46亿,9.61亿,1.49%,51.18亿,9.53亿,0.015,,北京海纳川汽车部件股份有限公司
2018,33.173,9.5052,3.49,38.78,55.21%,1.39亿,-41.55%,5.08,0.8554,23.8063,0.687,PE；PB,20.34亿,9.03亿,3.20%,52.24亿,10.06亿,0.051000000000000004,,北京海纳川汽车部件股份有限公司
2017,,,7.24,24.99,41.26%,2.38亿,102.12%,4.74,,28.8791,1.5274,PE；PB,15.55亿,8.13亿,9.33%,47.10亿,5.55亿,0.026000000000000002,,北京海纳川汽车部件股份有限公司
2016,,,8.67,17.69,20.23%,1.18亿,208.08%,4.51,,69.863,1.9224,PE；PB,23.42亿,6.03亿,8.06%,43.48亿,3.94亿,0.01,,北京海纳川汽车部件股份有限公司
2015,,,10.66,14.71,-13.04%,3827.40万,-60.76%,3.88,,264.5161,2.7474,PE；PB,7.16亿,5.06亿,1.49%,24.73亿,4.46亿,0.03,,北京海纳川汽车部件股份有限公司
2014,,,6.74,11.79,-7.89%,9754.71万,62.51%,6.17,,31.9734,1.0924,PE；PB,6.43亿,4.92亿,8.32%,20.83亿,3.70亿,0.025,,北京海纳川汽车部件股份有限公司
2013,,,4.82,12.8,-9.50%,6002.55万,43.07%,4.61,,17.2143,1.0456,PE；PB,3.26亿,4.11亿,4.75%,9.86亿,3.65亿,0.026000000000000002,,北京海纳川汽车部件股份有限公司
2012,,,4.27,14.14,-22.46%,4195.66万,-58.20%,5.65,,21.35,0.7558,PE；PB,3.54亿,3.61亿,3.02%,9.26亿,3.51亿,0.05,,北京海纳川汽车部件股份有限公司
2011,,,4.02,18.24,3.19%,1.00亿,-17.72%,5.45,,6.4839,0.7376,PE；PB,3.32亿,3.31亿,5.51%,8.92亿,3.64亿,0.1,,北京海纳川汽车部件股份有限公司
2010,,,7.13,17.68,44.49%,1.22亿,137.58%,4.92,,9.5067,1.4492,PE；PB,3.19亿,2.55亿,6.92%,8.06亿,3.07亿,0.06,,北京海纳川汽车部件股份有限公司
