报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,57.958,4.5962,12.61,2.32,-49.67%,-3727.89万,-74.53%,5.24,24.9819,,2.4065,PS；PE,9.63亿,3.22亿,-16.36%,22.55亿,3.46亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,深圳光峰控股有限公司
2026-03-31,57.958,4.5962,12.61,2.32,-49.67%,-3727.89万,-74.53%,5.24,6.2455,,2.4065,PS；PE,9.63亿,3.22亿,-16.36%,22.55亿,3.46亿,,,深圳光峰控股有限公司
2025,85.29,4.5929,18.57,17.09,-29.32%,-2.74亿,-1078.63%,5.32,4.9906,,3.4906,PS；PE,11.59亿,3.60亿,-19.60%,22.90亿,3.53亿,0.02506,,深圳光峰控股有限公司
2024,68.222,4.6221,14.76,24.19,9.27%,2795.31万,-72.91%,5.97,2.8203,246.0,2.4724,PS；PE,18.35亿,6.45亿,-0.24%,26.70亿,5.96亿,0.06986,,深圳光峰控股有限公司
2023,117.523,4.5711,25.71,22.13,-12.90%,1.03亿,-13.61%,6.1,5.3106,111.7826,4.2148,PS；PE,19.01亿,6.67亿,0.80%,27.97亿,6.56亿,0.054000000000000006,,深圳光峰控股有限公司
2022,111.56,4.5276,24.64,25.41,1.72%,1.19亿,-48.82%,5.79,4.3904,94.7692,4.2556,PS；PE,17.09亿,5.98亿,1.21%,27.42亿,8.66亿,0.10505,,深圳光峰控股有限公司
2021,153.486,4.5276,33.9,24.98,28.19%,2.33亿,104.98%,5.38,6.1444,65.1923,6.3011,PS；PE,13.75亿,5.45亿,8.87%,26.23亿,7.70亿,0.05500000000000001,,深圳光峰控股有限公司
2020,82.543,4.5155,18.28,19.49,-1.53%,1.14亿,-38.94%,4.62,4.2351,73.12,3.9567,PS；PE,11.52亿,3.58亿,4.45%,21.85亿,4.19亿,0.075,,深圳光峰控股有限公司
2019,122.912,4.5155,27.22,19.79,42.82%,1.86亿,5.36%,4.37,6.2108,60.4889,6.2288,PS；PE,14.16亿,2.89亿,11.34%,21.24亿,3.00亿,,,深圳光峰控股有限公司
2018,,,,13.86,72.01%,1.77亿,67.91%,1.87,,,,PS；PE,4.84亿,1.13亿,15.27%,8.27亿,3.25亿,,,深圳光峰控股有限公司
2017,,,,8.06,126.96%,1.05亿,655.85%,1.46,,,,PS；PE,9907.34万,214.36万,14.01%,1.31亿,2.98亿,,,深圳光峰控股有限公司
2016,,,,3.55,False,1394.36万,False,3.24,,,,PS；PE,1.06亿,-4789.47万,5.08%,8980.83万,1.79亿,,,深圳光峰控股有限公司
