报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,52.674,1.7113,30.78,0.654832,21.31%,-2627.10万,-178.49%,5.02,80.439,,6.1315,PS；PE,9071.71万,8622.87万,-76.32%,8.97亿,1.10亿,,20%: 最新年度净利润同比下降,许文焕
2026-03-31,52.674,1.7113,30.78,0.654832,21.31%,-2627.10万,-178.49%,5.02,20.1097,,6.1315,PS；PE,9071.71万,8622.87万,-76.32%,8.97亿,1.10亿,,,许文焕
2025,37.683,1.7113,22.02,3.03,-25.96%,-1.02亿,10.65%,5.13,12.4366,,4.2924,PS；PE,1.53亿,1.12亿,-71.07%,9.39亿,1.09亿,,,许文焕
2024,42.95,1.7263,24.88,4.09,2.49%,-1.14亿,-1007.28%,5.96,10.5012,,4.1745,PS；PE,6957.76万,2.15亿,-28.14%,10.33亿,8155.63万,0.03,,许文焕
2023,38.435,1.5694,24.49,4.0,-22.90%,1255.57万,-86.00%,6.75,9.6088,336.8638,3.6281,PS；PE,1.49亿,3.34亿,3.66%,11.81亿,9735.79万,0.1,,许文焕
2022,33.517,1.1979,27.98,5.18,-5.14%,8971.02万,17.83%,7.3,6.4705,53.5297,3.8329,PS；PE,1.55亿,3.40亿,17.65%,11.59亿,1.07亿,0.1,,许文焕
2021,43.538,1.089,39.98,5.46,35.48%,7613.36万,47.54%,4.64,7.974,75.4909,8.6164,PS；PE,8986.62万,2.71亿,14.18%,5.68亿,8332.82万,0.1,,许文焕
2020,19.206,0.99,19.4,4.03,32.04%,5160.31万,42.68%,4.91,4.7658,45.0325,3.9511,PS；PE,1.44亿,2.11亿,12.99%,5.47亿,6712.58万,0.1,,许文焕
2019,11.493,0.9,12.77,3.05,11.22%,3616.59万,-32.32%,5.02,3.7682,38.4523,2.5438,PS；PE,2.37亿,1.73亿,12.27%,5.07亿,6656.26万,0.15,,许文焕
2018,6.9,0.6,11.5,2.75,124.09%,5343.92万,32.08%,5.08,2.5091,21.3042,2.2638,PS；PE,6519.93万,1.52亿,19.98%,4.66亿,1.03亿,0.2,,许文焕
2017,,,20.94,1.23,0.58%,4045.99万,-12.63%,6.99,,41.7298,2.9957,PS；PE,3883.74万,1.15亿,33.64%,4.26亿,3727.77万,,,许文焕
2016,,,,1.22,-2.99%,4630.94万,1.71%,3.7,,,,PS；PE,1.26亿,7808.97万,38.01%,1.66亿,2167.21万,,,许文焕
2015,,,,1.26,42.84%,4552.92万,63.81%,2.67,,,,PS；PE,8430.53万,3640.64万,36.26%,1.20亿,1814.27万,,,许文焕
2014,,,,0.879116,22.95%,2779.43万,28.68%,1.33,,,,PS；PE,1996.51万,73.19万,31.62%,4430.17万,1457.34万,,,许文焕
2013,,,,0.715041,False,2159.93万,False,2.3,,,,PS；PE,2422.31万,2476.59万,30.21%,5100.95万,1535.68万,,,许文焕
