报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,29.713,3.1343,9.48,8.52,25.52%,-968.57万,-149.37%,4.91,3.4874,,1.9308,PS；PE,6.28亿,9.80亿,-1.14%,16.90亿,7.10亿,0.2,20%: 最新年度净利润同比下降,周洪亮
2026-03-31,29.713,3.1343,9.48,8.52,25.52%,-968.57万,-149.37%,4.91,0.8719,,1.9308,PS；PE,6.28亿,9.80亿,-1.14%,16.90亿,7.10亿,0.2,,周洪亮
2025,30.388,2.6356,11.53,32.59,47.30%,9469.10万,23.47%,4.8,0.9324,38.1662,2.4021,PS；PE,6.76亿,9.39亿,2.58%,16.53亿,6.71亿,0.2,,周洪亮
2024,24.855,2.295,10.83,22.13,16.26%,7669.07万,-40.45%,5.61,1.1231,44.3307,1.9305,PS；PE,7.80亿,8.97亿,2.84%,16.38亿,4.59亿,0.27999999999999997,,周洪亮
2023,16.997,1.5326,11.09,19.03,-20.24%,1.29亿,-60.50%,6.79,0.8932,23.3375,1.6333,PS；PE,9.80亿,9.09亿,6.77%,17.20亿,2.31亿,1.0,,周洪亮
2022,17.738,1.5278,11.61,23.86,14.69%,3.26亿,75.23%,10.19,0.7434,8.0748,1.1394,PS；PE,7.73亿,9.35亿,13.66%,15.62亿,3.01亿,0.5,,周洪亮
2021,14.387,1.2732,11.3,20.8,32.86%,1.86亿,63.90%,8.87,0.6917,9.2806,1.274,PS；PE,2.69亿,6.96亿,8.94%,13.56亿,4.15亿,0.35,,周洪亮
2020,12.189,0.8488,14.36,15.66,41.88%,1.14亿,-4.41%,9.46,0.7784,19.3297,1.518,PS；PE,2.75亿,5.61亿,7.25%,12.04亿,3.01亿,0.5,,周洪亮
2019,18.241,0.8488,21.49,11.04,-2.36%,1.19亿,1.85%,13.3,1.6523,19.2029,1.6158,PS；PE,5.60亿,5.01亿,10.76%,11.28亿,1.70亿,,,周洪亮
2018,,,,11.3,26.19%,1.17亿,11.48%,7.93,,,,PS；PE,9900.94万,3.91亿,10.31%,5.05亿,1.35亿,,,周洪亮
2017,,,,8.96,30.79%,1.05亿,25.83%,6.73,,,,PS；PE,1.44亿,3.26亿,11.68%,4.28亿,1.35亿,,,周洪亮
2016,,,,6.85,33.76%,8311.71万,426.94%,5.4,,,,PS；PE,1.07亿,2.49亿,12.14%,3.44亿,1.07亿,,,周洪亮
2015,,,,5.12,-39.29%,1577.36万,-71.93%,4.13,,,,PS；PE,6976.42万,1.71亿,3.08%,2.63亿,1.04亿,,,周洪亮
2014,,,,8.43,42.25%,5619.19万,-13.81%,3.93,,,,PS；PE,1.95亿,1.60亿,6.66%,2.50亿,1.36亿,,,周洪亮
2013,,,,5.93,60.40%,6519.81万,13.21%,3.0,,,,PS；PE,1.90亿,1.09亿,10.85%,1.80亿,1.01亿,,,周洪亮
2012,,,,3.7,False,5759.07万,False,2.93,,,,PS；PE,8900.98万,7835.09万,15.52%,1.32亿,7542.82万,,,周洪亮
