报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,600.063,15.7373,38.13,37.24,10.67%,2.42亿,35.35%,8.49,16.1134,247.7583,4.4912,PS；PE,82.01亿,75.30亿,7.73%,165.97亿,28.67亿,0.22000000000000003,,中国电子有限公司
2026-03-31,600.063,15.7373,38.13,37.24,10.67%,2.42亿,35.35%,8.49,4.0283,247.7583,4.4912,PS；PE,82.01亿,75.30亿,7.73%,165.97亿,28.67亿,0.22000000000000003,,中国电子有限公司
2025,394.517,15.6059,25.28,157.47,6.21%,11.36亿,22.07%,8.32,2.5053,34.8593,3.0385,PS；PE,69.28亿,72.88亿,9.19%,162.88亿,24.28亿,0.19,,中国电子有限公司
2024,294.171,15.6059,18.85,148.27,3.94%,9.30亿,44.33%,7.61,1.984,31.6169,2.477,PS；PE,73.22亿,63.68亿,7.33%,138.58亿,26.30亿,0.13,,中国电子有限公司
2023,247.978,15.6059,15.89,142.65,-11.50%,6.45亿,-2.19%,7.02,1.7384,38.4653,2.2635,PS；PE,77.23亿,56.14亿,5.78%,127.81亿,35.26亿,0.13,,中国电子有限公司
2022,162.457,15.6059,10.41,161.18,-2.24%,6.59亿,-15.00%,6.61,1.0079,24.6507,1.5749,PS；PE,88.97亿,50.37亿,4.27%,119.62亿,45.23亿,0.15,,中国电子有限公司
2021,223.926,14.7126,15.22,164.88,10.16%,7.75亿,-9.54%,6.31,1.3581,30.0494,2.412,PS；PE,85.45亿,46.12亿,5.06%,114.74亿,35.45亿,0.16,,中国电子有限公司
2020,266.445,14.7126,18.11,149.67,13.18%,8.57亿,143.30%,5.16,1.7802,31.0848,3.5097,PS；PE,74.94亿,40.86亿,6.37%,80.10亿,23.67亿,0.06,,中国电子有限公司
2019,170.225,14.7126,11.57,132.24,-17.67%,3.52亿,-38.68%,4.71,1.2872,48.309,2.4565,PS；PE,48.04亿,32.81亿,3.34%,71.02亿,22.63亿,0.1,,中国电子有限公司
2018,79.448,14.7126,5.4,160.61,13.03%,5.75亿,6.14%,4.27,0.4947,13.8284,1.2646,PS；PE,58.03亿,30.76亿,3.52%,67.70亿,21.95亿,0.05,,中国电子有限公司
2017,,,9.06,142.1,-5.70%,5.41亿,152.45%,3.98,,24.6263,2.2764,PS；PE,68.05亿,22.36亿,4.04%,59.29亿,16.48亿,0.05,,中国电子有限公司
2016,,,8.73,150.69,-1.91%,2.14亿,18.69%,3.57,,59.9176,2.4454,PS；PE,34.35亿,17.69亿,1.48%,52.97亿,10.20亿,0.05,,中国电子有限公司
2015,,,11.1,153.62,-6.63%,1.81亿,3.91%,3.54,,90.3909,3.1356,PS；PE,76.26亿,16.65亿,1.18%,52.06亿,8.32亿,0.05,,中国电子有限公司
2014,,,6.59,164.52,9.34%,1.74亿,-24.38%,3.37,,55.753,1.9555,PS；PE,82.11亿,15.97亿,0.98%,50.59亿,6.96亿,0.05,,中国电子有限公司
2013,,,4.81,150.4,-8.29%,2.30亿,145.76%,3.3,,28.1287,1.4576,PS；PE,80.34亿,15.28亿,1.06%,49.61亿,5.29亿,0.02,,中国电子有限公司
2012,,,4.27,164.0,-11.97%,9356.10万,-62.80%,3.02,,60.2257,1.4139,PS；PE,50.77亿,13.37亿,0.05%,41.56亿,7.39亿,0.1,,中国电子有限公司
2011,,,4.57,186.3,-10.31%,2.52亿,-34.55%,3.08,,23.9769,1.4838,PS；PE,49.34亿,13.75亿,1.18%,43.21亿,8.12亿,0.15,,中国电子有限公司
2010,,,10.27,207.72,54.95%,3.84亿,48.58%,3.17,,35.2558,3.2397,PS；PE,17.80亿,13.22亿,1.72%,44.78亿,6.48亿,0.2,,中国电子有限公司
