报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,251.196,4.2482,59.13,11.92,-0.39%,8713.86万,-29.32%,11.78,21.0735,288.2984,5.0195,PS；PE,14.41亿,25.88亿,7.48%,51.87亿,9.51亿,0.23837809999999998,40%: 最新年度营业收入下滑；最新年度净利润同比下降,陈育宣
2026-03-31,251.196,4.2482,59.13,11.92,-0.39%,8713.86万,-29.32%,11.78,5.2684,288.2984,5.0195,PS；PE,14.41亿,25.88亿,7.48%,51.87亿,9.51亿,0.23837809999999998,,陈育宣
2025,205.449,4.2378,48.48,54.07,15.99%,2.70亿,-56.68%,11.71,3.7997,75.75,4.1401,PS；PE,12.71亿,25.01亿,5.35%,51.55亿,9.65亿,0.4746608,,陈育宣
2024,248.402,4.2238,58.81,46.61,48.97%,6.22亿,74.73%,11.62,5.3294,40.0068,5.0611,PS；PE,11.87亿,24.31亿,13.58%,51.54亿,7.63亿,0.358,,陈育宣
2023,171.059,4.2216,40.52,31.29,5.37%,3.56亿,-19.64%,10.48,5.4669,48.2381,3.8664,PS；PE,15.72亿,19.60亿,11.78%,46.78亿,5.70亿,0.19,,陈育宣
2022,151.337,4.212,35.93,29.7,-8.51%,4.43亿,19.27%,9.76,5.0955,33.8962,3.6814,PS；PE,18.42亿,16.83亿,15.76%,43.59亿,4.89亿,0.3600008,,陈育宣
2021,141.832,2.808,50.51,32.46,25.20%,3.72亿,38.27%,9.18,4.3694,57.3977,5.5022,PS；PE,20.80亿,14.32亿,11.69%,40.81亿,5.33亿,0.4,,陈育宣
2020,60.569,2.808,21.57,25.92,19.98%,2.69亿,48.65%,12.89,2.3368,33.7031,1.6734,PS；PE,22.57亿,12.11亿,10.57%,36.55亿,4.90亿,0.18,,陈育宣
2019,51.905,2.16,24.03,21.61,61.09%,1.81亿,-24.63%,12.28,2.4019,36.9692,1.9568,PS；PE,21.64亿,10.19亿,8.31%,35.21亿,3.83亿,0.12,,陈育宣
2018,15.84,1.2,13.2,13.41,-5.75%,2.40亿,-33.58%,15.5,1.1812,15.5294,0.8516,PS；PE,9.72亿,8.85亿,17.87%,34.23亿,2.05亿,0.0,,陈育宣
2017,,,24.78,14.23,2.21%,3.61亿,0.70%,18.98,,12.6429,1.3056,PS；PE,22.15亿,6.69亿,25.47%,31.20亿,1.39亿,1.0,,陈育宣
2016,,,,13.92,53.22%,3.59亿,58.72%,11.19,,,,PS；PE,2.53亿,4.43亿,25.78%,10.18亿,1.38亿,,,陈育宣
2015,,,,9.09,31.49%,2.26亿,8.97%,7.96,,,,PS；PE,1.54亿,1.78亿,24.85%,7.27亿,1.12亿,,,陈育宣
2014,,,,6.91,47.39%,2.07亿,33.95%,7.4,,,,PS；PE,7835.16万,3.76亿,30.03%,5.09亿,7812.92万,,,陈育宣
2013,,,,4.69,False,1.55亿,False,5.2,,,,PS；PE,1.05亿,2.27亿,33.06%,3.57亿,5123.55万,,,陈育宣
