报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,31.991,2.1543,14.85,4.44,-0.52%,-568.19万,-280.47%,6.25,7.2052,,2.376,PS；PE,1.70亿,2.45亿,-1.36%,13.62亿,5.57亿,0.1,40%: 最新年度营业收入下滑；最新年度净利润同比下降,上海英准投资控股有限公司
2026-03-31,31.991,2.1543,14.85,4.44,-0.52%,-568.19万,-280.47%,6.25,1.8013,,2.376,PS；PE,1.70亿,2.45亿,-1.36%,13.62亿,5.57亿,0.1,,上海英准投资控股有限公司
2025,29.657,1.7952,16.52,22.27,20.83%,1311.67万,27.75%,6.38,1.3317,275.3333,2.5893,PS；PE,1.96亿,2.72亿,0.52%,13.91亿,5.27亿,0.1,,上海英准投资控股有限公司
2024,24.578,1.32,18.62,18.43,24.18%,1026.77万,129.33%,7.72,1.3336,372.4,2.4119,PS；PE,2.29亿,2.81亿,0.50%,13.88亿,4.21亿,0.05,,上海英准投资控股有限公司
2023,16.843,1.32,12.76,14.84,8.14%,-3501.33万,-25.72%,7.66,1.135,,1.6658,PS；PE,2.03亿,2.80亿,-2.51%,11.24亿,4.62亿,,,上海英准投资控股有限公司
2022,12.223,1.32,9.26,13.72,-15.86%,-2784.97万,-143.84%,7.93,0.8909,,1.1677,PS；PE,3.45亿,3.16亿,-2.13%,11.61亿,3.40亿,0.1,,上海英准投资控股有限公司
2021,19.285,1.32,14.61,16.31,7.86%,6352.16万,-36.19%,8.24,1.1824,28.6471,1.7731,PS；PE,1.44亿,3.57亿,3.89%,10.94亿,3.93亿,0.3,,上海英准投资控股有限公司
2020,,,,15.12,19.80%,9954.14万,-10.21%,6.87,,,,PS；PE,2973.17万,3.36亿,6.58%,6.80亿,3.56亿,,,上海英准投资控股有限公司
2019,,,,12.62,21.66%,1.11亿,42.34%,5.86,,,,PS；PE,7460.21万,2.42亿,8.78%,5.81亿,2.13亿,,,上海英准投资控股有限公司
2018,,,,10.38,40.13%,7788.41万,46.03%,4.45,,,,PS；PE,4413.85万,1.34亿,7.51%,4.18亿,1.89亿,,,上海英准投资控股有限公司
2017,,,,7.4,False,5333.60万,False,3.8,,,,PS；PE,1503.79万,7611.17万,7.20%,3.00亿,1.28亿,,,上海英准投资控股有限公司
