报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,52.596,1.8,29.22,0.930342,-14.51%,-1555.02万,-502.94%,9.78,56.534,,2.9877,PE；PB,12.07亿,2.16亿,-16.72%,17.62亿,6560.74万,0.32999999999999996,40%: 最新年度营业收入下滑；最新年度净利润同比下降,王冠
2026-03-31,52.596,1.8,29.22,0.930342,-14.51%,-1555.02万,-502.94%,9.78,14.1335,,2.9877,PE；PB,12.07亿,2.16亿,-16.72%,17.62亿,6560.74万,0.32999999999999996,,王冠
2025,42.48,1.8,23.6,7.37,39.01%,6291.90万,86.71%,9.82,5.7639,67.4286,2.4033,PE；PB,11.05亿,2.31亿,8.48%,17.68亿,5468.06万,0.867,,王冠
2024,25.812,1.8,14.34,5.3,0.11%,3369.83万,-0.75%,9.76,4.8702,75.4737,1.4693,PE；PB,10.84亿,3.00亿,6.35%,17.57亿,6527.13万,0.16999999999999998,,王冠
2023,16.872,1.2,14.06,5.29,-33.38%,3395.43万,-79.48%,9.72,3.1894,74.0,1.4465,PE；PB,14.70亿,3.30亿,6.41%,17.49亿,5165.73万,0.67,,王冠
2022,18.312,1.2,15.26,7.94,-10.36%,1.65亿,-24.74%,14.7,2.3063,12.8235,1.0381,PE；PB,14.19亿,3.80亿,20.79%,17.64亿,6072.31万,,,王冠
2021,,,,8.86,44.78%,2.20亿,37.20%,6.89,,,,PE；PB,4.41亿,2.31亿,24.80%,6.20亿,1.46亿,,,王冠
2020,,,,6.12,34.04%,1.60亿,30.07%,4.1,,,,PE；PB,3.69亿,3211.35万,26.17%,3.69亿,9279.80万,,,王冠
2019,,,,4.57,57.54%,1.23亿,189.17%,6.79,,,,PE；PB,2.43亿,1.48亿,26.97%,2.61亿,6170.61万,,,王冠
2018,,,,2.9,False,-1.38亿,False,125.74,,,,PE；PB,1.13亿,-1.25亿,-47.65%,1.07亿,3452.89万,,,王冠
