报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,71.297,7.0801,10.07,19.41,-6.29%,1.42亿,17.96%,6.89,3.6732,50.0995,1.4615,PE；PB,31.92亿,28.41亿,5.52%,54.65亿,3.56亿,0.05,20%: 最新年度营业收入下滑,中国化学工程股份有限公司
2026-03-31,71.297,7.0801,10.07,19.41,-6.29%,1.42亿,17.96%,6.89,0.9183,50.0995,1.4615,PE；PB,31.92亿,28.41亿,5.52%,54.65亿,3.56亿,0.05,,中国化学工程股份有限公司
2025,79.371,7.0804,11.21,100.25,13.12%,5.33亿,29.89%,6.7,0.7917,14.8911,1.6731,PE；PB,33.47亿,27.08亿,5.19%,53.63亿,1.69亿,0.15,,中国化学工程股份有限公司
2024,68.552,7.0818,9.68,88.62,17.25%,4.10亿,19.28%,6.15,0.7735,16.6495,1.574,PE；PB,36.98亿,23.67亿,4.48%,49.91亿,4.47亿,0.11000000000000001,,中国化学工程股份有限公司
2023,58.188,7.0875,8.21,75.58,21.24%,3.44亿,19.16%,5.66,0.7699,16.7894,1.4505,PE；PB,31.15亿,20.73亿,4.79%,43.87亿,9591.16万,0.1,,中国化学工程股份有限公司
2022,46.897,5.4531,8.6,62.34,3.85%,2.89亿,16.03%,5.23,0.7523,16.699,1.6444,PE；PB,33.13亿,18.27亿,4.84%,39.41亿,1.52亿,0.15,,中国化学工程股份有限公司
2021,75.37,5.4537,13.82,60.03,15.22%,2.49亿,25.58%,4.73,1.2555,29.7332,2.9218,PE；PB,22.50亿,16.77亿,4.43%,28.00亿,1.50亿,0.1,,中国化学工程股份有限公司
2020,34.309,5.3524,6.41,52.1,15.32%,1.98亿,11.95%,4.35,0.6585,17.3196,1.4736,PE；PB,17.71亿,15.12亿,3.88%,24.04亿,6.15亿,0.1,,中国化学工程股份有限公司
2019,28.591,4.4603,6.41,45.18,12.00%,1.77亿,19.34%,4.15,0.6328,19.389,1.5446,PE；PB,14.84亿,13.87亿,3.98%,22.50亿,17.51亿,0.1,,中国化学工程股份有限公司
2018,19.402,4.4603,4.35,40.34,38.68%,1.48亿,334.84%,4.72,0.481,15.5357,0.9216,PE；PB,13.60亿,13.42亿,3.70%,21.32亿,14.71亿,,,中国化学工程股份有限公司
2017,,,8.35,29.09,73.87%,-6313.58万,-177.18%,4.38,,,1.9064,PE；PB,18.16亿,12.08亿,-2.12%,19.80亿,11.20亿,0.05,,中国化学工程股份有限公司
2016,,,10.16,16.73,-53.95%,8180.02万,-54.32%,4.57,,56.4444,2.2232,PE；PB,16.89亿,12.93亿,4.98%,20.53亿,17.79亿,0.05,,中国化学工程股份有限公司
2015,,,15.96,36.33,7.47%,1.79亿,-31.95%,4.44,,39.9,3.5946,PE；PB,15.35亿,12.43亿,4.97%,19.91亿,19.89亿,0.09,,中国化学工程股份有限公司
2014,,,13.44,33.8,24.48%,2.63亿,11.89%,4.12,,22.7797,3.2621,PE；PB,17.04亿,11.21亿,7.81%,18.51亿,24.01亿,0.05,,中国化学工程股份有限公司
2013,,,14.05,27.16,-10.97%,2.35亿,-29.45%,3.58,,26.5094,3.9246,PE；PB,13.39亿,9.05亿,8.79%,16.12亿,8.46亿,0.05,,中国化学工程股份有限公司
2012,,,16.35,30.5,29.99%,3.33亿,20.21%,3.11,,21.8,5.2572,PE；PB,12.95亿,7.15亿,11.08%,13.98亿,14.60亿,0.12,,中国化学工程股份有限公司
2011,,,17.0,23.46,27.82%,2.77亿,40.78%,2.48,,27.4194,6.8548,PE；PB,11.61亿,4.68亿,11.87%,11.14亿,11.25亿,0.15,,中国化学工程股份有限公司
2010,,,18.92,18.36,3.70%,1.97亿,51.54%,3.12,,43.0,6.0641,PE；PB,7.69亿,3.44亿,10.76%,8.76亿,6.56亿,0.15,,中国化学工程股份有限公司
