报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,458.627,61.0688,7.51,461.05,3.25%,15.67亿,8.46%,11.27,0.9947,28.8846,0.6664,PE；PB,385.68亿,438.89亿,3.58%,762.37亿,58.03亿,0.1,,国化投资有限公司
2026-03-31,458.627,61.0688,7.51,461.05,3.25%,15.67亿,8.46%,11.27,0.2487,28.8846,0.6664,PE；PB,385.68亿,438.89亿,3.58%,762.37亿,58.03亿,0.1,,国化投资有限公司
2025,455.126,61.0907,7.45,1901.25,1.88%,64.36亿,13.15%,11.0,0.2394,7.0283,0.6773,PE；PB,435.75亿,423.35亿,3.73%,745.41亿,54.06亿,0.186,,国化投资有限公司
2024,489.369,61.0947,8.01,1866.13,4.14%,56.88亿,4.82%,10.19,0.2622,8.6129,0.7861,PE；PB,512.51亿,379.17亿,3.36%,688.98亿,58.48亿,0.178,,国化投资有限公司
2023,366.568,61.0947,6.0,1791.96,13.10%,54.26亿,0.20%,9.41,0.2046,6.7416,0.6376,PE；PB,496.59亿,335.76亿,3.35%,640.72亿,55.12亿,0.177,,国化投资有限公司
2022,447.213,61.0947,7.32,1584.37,14.88%,54.15亿,16.87%,8.66,0.2823,8.2247,0.8453,PE；PB,431.87亿,295.03亿,3.66%,583.25亿,61.91亿,0.146,,国化投资有限公司
2021,538.19,49.33,10.91,1379.19,25.39%,46.33亿,26.64%,7.89,0.3902,12.9881,1.3828,PE；PB,454.82亿,256.73亿,3.64%,525.01亿,52.19亿,0.223,,国化投资有限公司
2020,254.543,49.33,5.16,1099.95,5.63%,36.59亿,19.51%,7.03,0.2314,7.2676,0.734,PE；PB,391.64亿,231.34亿,3.51%,407.24亿,42.01亿,0.187,,国化投资有限公司
2019,270.822,49.33,5.49,1041.29,27.85%,30.61亿,58.48%,6.52,0.2601,8.8548,0.842,PE；PB,325.81亿,209.63亿,3.17%,375.92亿,145.77亿,0.118,,国化投资有限公司
2018,220.998,49.33,4.48,814.45,39.05%,19.32亿,24.05%,6.05,0.2713,11.4872,0.7405,PE；PB,281.95亿,188.87亿,2.55%,350.18亿,135.94亿,0.095,,国化投资有限公司
2017,,,5.57,585.71,10.35%,15.57亿,-12.04%,5.75,,17.4062,0.9687,PE；PB,232.75亿,176.90亿,2.73%,305.58亿,158.91亿,0.10800000000000001,,国化投资有限公司
2016,,,5.5,530.76,-16.46%,17.70亿,-37.70%,5.57,,15.2778,0.9874,PE；PB,213.51亿,167.58亿,3.34%,291.94亿,182.31亿,0.087,,国化投资有限公司
2015,,,5.51,635.32,-8.26%,28.42亿,-10.24%,5.3,,9.5,1.0396,PE；PB,169.09亿,154.93亿,4.67%,278.60亿,184.87亿,0.10500000000000001,,国化投资有限公司
2014,,,7.47,692.56,12.20%,31.66亿,-5.69%,4.79,,11.6719,1.5595,PE；PB,160.62亿,132.64亿,4.70%,252.74亿,180.50亿,0.1,,国化投资有限公司
2013,,,6.21,617.28,14.04%,33.57亿,8.87%,4.27,,9.1324,1.4543,PE；PB,155.74亿,106.72亿,5.63%,225.25亿,128.58亿,0.065,,国化投资有限公司
2012,,,6.35,541.26,21.04%,30.84亿,29.54%,3.65,,10.0794,1.7397,PE；PB,188.69亿,76.45亿,5.98%,192.05亿,85.60亿,0.05,,国化投资有限公司
2011,,,4.35,447.1,27.86%,23.80亿,41.59%,3.09,,9.0625,1.4078,PE；PB,177.56亿,48.73亿,5.79%,157.43亿,56.49亿,0.03,,国化投资有限公司
2010,,,4.39,340.53,16.14%,16.81亿,71.70%,2.64,,12.9118,1.6629,PE；PB,148.52亿,27.84亿,5.36%,135.66亿,36.37亿,,,国化投资有限公司
