报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,45.978,1.6774,27.41,1.46,-53.00%,-482.62万,-184.08%,6.95,31.4918,,3.9439,PE；PB,3.92亿,2.90亿,-3.31%,11.72亿,1.72亿,0.4,40%: 最新年度营业收入下滑；最新年度净利润同比下降,罗传奎
2026-03-31,45.978,1.6774,27.41,1.46,-53.00%,-482.62万,-184.08%,6.95,7.8729,,3.9439,PE；PB,3.92亿,2.90亿,-3.31%,11.72亿,1.72亿,0.4,,罗传奎
2025,35.626,1.4969,23.8,11.82,7.74%,698.50万,-86.71%,6.99,3.014,595.0,3.4049,PE；PB,4.32亿,2.95亿,0.59%,11.72亿,1.50亿,0.3,,罗传奎
2024,29.564,1.4969,19.75,10.97,85.74%,5254.12万,-9.71%,5.47,2.695,56.4286,3.6106,PE；PB,4.18亿,3.33亿,4.79%,8.48亿,2.72亿,0.29999950000000003,,罗传奎
2023,39.41,1.4979,26.31,5.91,54.79%,5819.39万,122.60%,5.42,6.6684,67.4615,4.8542,PE；PB,6.41亿,3.28亿,9.71%,8.40亿,1.52亿,,,罗传奎
2022,50.255,1.4948,33.62,3.82,-35.60%,2614.27万,-74.86%,5.11,13.1558,197.7647,6.5793,PE；PB,3.75亿,2.71亿,6.61%,7.63亿,6931.05万,0.4,,罗传奎
2021,72.617,1.4948,48.58,5.93,41.28%,1.04亿,15.31%,5.27,12.2457,58.5301,9.2182,PE；PB,6.34亿,3.06亿,17.49%,7.87亿,8857.04万,,,罗传奎
2020,,,,4.2,9.32%,9019.35万,32.99%,3.94,,,,PE；PB,3.20亿,2.11亿,21.50%,4.42亿,3979.70万,,,罗传奎
2019,,,,3.84,13.07%,6782.07万,142.49%,3.23,,,,PE；PB,2.61亿,1.38亿,17.67%,3.62亿,1.74亿,,,罗传奎
2018,,,,3.39,31.61%,2796.85万,-11.23%,2.89,,,,PE；PB,2993.35万,1.05亿,8.20%,3.24亿,5216.25万,,,罗传奎
2017,,,,2.58,6.66%,3150.82万,-17.92%,2.64,,,,PE；PB,1.27亿,7886.50万,11.97%,2.97亿,2072.20万,,,罗传奎
2016,,,,2.42,3.97%,3838.69万,40.45%,2.36,,,,PE；PB,8119.22万,5025.27万,15.88%,2.64亿,339.52万,,,罗传奎
2015,,,,2.33,256.79%,2733.18万,36.07%,1.32,,,,PE；PB,1.12亿,1524.01万,11.78%,1.25亿,1148.84万,,,罗传奎
2014,,,,0.65172,False,2008.59万,False,1.79,,,,PE；PB,1983.11万,2184.10万,30.87%,5776.44万,81.96万,,,罗传奎
