报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,67.694,27.0778,2.5,13.66,-66.35%,-1.43亿,-158.37%,2.49,4.9556,,1.004,PB；PE,60.92亿,14.00亿,-8.94%,138.57亿,118.38亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国南山开发(集团)股份有限公司
2026-03-31,67.694,27.0778,2.5,13.66,-66.35%,-1.43亿,-158.37%,2.49,1.2389,,1.004,PB；PE,60.92亿,14.00亿,-8.94%,138.57亿,118.38亿,,,中国南山开发(集团)股份有限公司
2025,77.172,27.0778,2.85,130.63,55.55%,-19.70亿,-11.11%,2.54,0.5908,,1.122,PB；PE,76.26亿,15.43亿,-14.50%,139.76亿,121.98亿,,,中国南山开发(集团)股份有限公司
2024,64.445,27.0778,2.38,83.98,-30.35%,-17.73亿,-1305.89%,3.27,0.7674,,0.7278,PB；PE,71.50亿,35.13亿,-18.14%,161.33亿,196.24亿,,,中国南山开发(集团)股份有限公司
2023,78.526,27.0778,2.9,120.57,-0.77%,1.47亿,-78.41%,3.79,0.6513,58.0,0.7652,PB；PE,82.35亿,52.86亿,4.89%,177.26亿,227.99亿,0.037,,中国南山开发(集团)股份有限公司
2022,102.354,27.0778,3.78,121.5,8.68%,6.81亿,-30.24%,3.78,0.8424,15.12,1.0,PB；PE,60.10亿,52.40亿,6.43%,182.27亿,241.40亿,,,中国南山开发(集团)股份有限公司
2021,83.67,27.0778,3.09,111.8,-0.46%,9.76亿,-24.54%,3.53,0.7484,8.5833,0.8754,PB；PE,101.62亿,45.67亿,8.38%,175.96亿,224.70亿,0.1,,中国南山开发(集团)股份有限公司
2020,107.499,27.0778,3.97,112.32,55.09%,12.93亿,220.54%,3.5,0.9571,8.2708,1.1343,PB；PE,84.16亿,38.67亿,14.93%,124.75亿,216.81亿,0.057999999999999996,,中国南山开发(集团)股份有限公司
2019,78.796,27.0778,2.91,72.42,2.64%,4.03亿,-19.62%,3.11,1.088,19.4,0.9357,PB；PE,68.20亿,27.37亿,6.59%,116.60亿,167.80亿,,,中国南山开发(集团)股份有限公司
2018,51.069,18.7753,2.72,70.52,-4.17%,5.02亿,-14.33%,2.98,0.7242,14.3158,0.9128,PB；PE,51.73亿,23.33亿,10.69%,108.62亿,112.10亿,,,中国南山开发(集团)股份有限公司
2017,,,5.88,73.58,32.41%,5.86亿,11.19%,3.14,,26.7273,1.8726,PB；PE,35.71亿,18.39亿,14.43%,102.84亿,77.49亿,0.207,,中国南山开发(集团)股份有限公司
2016,,,6.99,49.86,2.12%,5.27亿,139.58%,3.0,,24.9643,2.33,PB；PE,35.75亿,6.75亿,12.06%,64.91亿,77.41亿,0.188,,中国南山开发(集团)股份有限公司
2015,,,7.57,48.82,3.54%,2.20亿,353.66%,3.1,,63.0833,2.4419,PB；PE,25.18亿,5.44亿,4.62%,62.20亿,61.35亿,,,中国南山开发(集团)股份有限公司
2014,,,4.47,47.16,-18.11%,-8671.84万,-329.60%,2.26,,,1.9779,PB；PE,11.61亿,3.62亿,-31.10%,45.00亿,64.42亿,0.1,,中国南山开发(集团)股份有限公司
2013,,,3.01,21.16,-8.68%,3776.91万,136.10%,6.36,,43.0,0.4733,PB；PE,7.56亿,3.23亿,1.76%,19.90亿,3.39亿,,,中国南山开发(集团)股份有限公司
2012,,,3.09,23.17,-6.10%,-1.05亿,-200.34%,6.23,,,0.496,PB；PE,7.60亿,2.88亿,-4.32%,19.53亿,3.30亿,0.2,,中国南山开发(集团)股份有限公司
2011,,,4.31,24.68,10.11%,1.04亿,-28.22%,6.79,,11.9722,0.6348,PB；PE,9.50亿,4.51亿,4.65%,21.14亿,4.11亿,0.25,,中国南山开发(集团)股份有限公司
2010,,,7.27,22.41,16.99%,1.45亿,14.15%,6.67,,14.54,1.09,PB；PE,10.27亿,4.39亿,7.46%,20.43亿,3.43亿,0.25,,中国南山开发(集团)股份有限公司
