报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,100.946,10.5372,9.58,47.7,6.82%,2.33亿,6.30%,10.4,2.1163,43.2897,0.9212,PB；PE,35.77亿,63.38亿,5.17%,111.04亿,10.28亿,,,招商局蛇口工业区控股股份有限公司
2026-03-31,100.946,10.5372,9.58,47.7,6.82%,2.33亿,6.30%,10.4,0.5291,43.2897,0.9212,PB；PE,35.77亿,63.38亿,5.17%,111.04亿,10.28亿,,,招商局蛇口工业区控股股份有限公司
2025,113.245,10.6035,10.68,192.73,12.23%,6.55亿,-22.12%,10.18,0.5876,17.2676,1.0491,PB；PE,56.23亿,61.05亿,3.41%,108.58亿,10.44亿,0.24009740000000002,,招商局蛇口工业区控股股份有限公司
2024,110.064,10.6035,10.38,171.72,9.89%,8.40亿,14.24%,9.83,0.641,13.0945,1.056,PB；PE,46.70亿,57.46亿,5.06%,106.00亿,11.46亿,0.16999999999999998,,招商局蛇口工业区控股股份有限公司
2023,122.152,10.6035,11.52,156.27,19.99%,7.36亿,23.96%,9.2,0.7817,16.6018,1.2522,PB；PE,43.48亿,51.07亿,4.73%,99.10亿,11.17亿,0.12,,招商局蛇口工业区控股股份有限公司
2022,155.871,10.6035,14.7,130.24,22.97%,5.94亿,15.72%,8.63,1.1968,26.2641,1.7034,PB；PE,31.67亿,45.15亿,4.37%,93.11亿,11.64亿,0.1,,招商局蛇口工业区控股股份有限公司
2021,204.011,10.6035,19.24,105.91,22.42%,5.13亿,17.25%,8.17,1.9263,39.7767,2.355,PB；PE,20.60亿,40.39亿,4.27%,85.75亿,13.90亿,0.13,,招商局蛇口工业区控股股份有限公司
2020,215.463,10.6035,20.32,86.51,42.07%,4.37亿,52.82%,7.83,2.4906,49.2606,2.5951,PB；PE,23.05亿,37.26亿,4.73%,82.91亿,15.75亿,0.1,,招商局蛇口工业区控股股份有限公司
2019,127.323,6.6696,19.09,60.78,-8.68%,2.86亿,-66.59%,7.53,2.0948,46.6748,2.5352,PB；PE,24.05亿,34.37亿,4.44%,80.02亿,16.58亿,0.3,,招商局蛇口工业区控股股份有限公司
2018,45.62,6.6696,6.84,66.56,12.94%,8.57亿,468.85%,7.26,0.6854,5.3254,0.9421,PB；PE,22.07亿,33.82亿,12.38%,48.85亿,17.79亿,0.1,,招商局蛇口工业区控股股份有限公司
2017,,,8.77,58.93,-6.88%,1.51亿,-6.74%,6.26,,38.8397,1.401,PB；PE,20.71亿,26.55亿,-0.59%,45.99亿,51.28亿,0.06999999999999999,,招商局蛇口工业区控股股份有限公司
2016,,,10.99,63.29,14.57%,1.61亿,-59.75%,6.12,,45.3945,1.7958,PB；PE,19.58亿,25.51亿,2.17%,47.28亿,63.68亿,0.05,,招商局蛇口工业区控股股份有限公司
2015,,,10.71,55.19,-11.36%,4.01亿,-18.53%,5.93,,17.8025,1.8061,PB；PE,14.69亿,24.53亿,6.72%,46.95亿,106.20亿,0.1,,招商局蛇口工业区控股股份有限公司
2014,,,7.92,62.26,0.03%,4.92亿,5.45%,5.26,,10.7259,1.5057,PB；PE,8.92亿,21.90亿,7.70%,41.55亿,110.61亿,0.2,,招商局蛇口工业区控股股份有限公司
2013,,,5.17,62.25,48.72%,4.67亿,12.70%,4.86,,7.3826,1.0638,PB；PE,13.93亿,18.81亿,8.02%,41.13亿,89.90亿,0.1,,招商局蛇口工业区控股股份有限公司
2012,,,6.16,41.85,12.94%,4.14亿,-19.89%,4.38,,9.9131,1.4064,PB；PE,14.36亿,15.03亿,10.41%,40.36亿,64.76亿,0.2,,招商局蛇口工业区控股股份有限公司
2011,,,2.59,37.06,-5.45%,5.17亿,92.12%,7.78,,3.3389,0.3329,PB；PE,9.16亿,11.62亿,13.51%,34.00亿,52.69亿,0.15,,招商局蛇口工业区控股股份有限公司
2010,,,3.34,39.19,123.74%,2.69亿,328.33%,8.9,,4.1362,0.3753,PB；PE,11.38亿,6.87亿,7.54%,23.62亿,36.55亿,,,招商局蛇口工业区控股股份有限公司
