报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,199.211,7.3782,27.0,24.36,14.33%,1.07亿,1.45%,4.07,8.1778,192.8571,6.6339,PE；PB,13.92亿,18.71亿,4.25%,33.34亿,8.25亿,0.068,,洪杰
2026-03-31,199.211,7.3782,27.0,24.36,14.33%,1.07亿,1.45%,4.07,2.0444,192.8571,6.6339,PE；PB,13.92亿,18.71亿,4.25%,33.34亿,8.25亿,0.068,,洪杰
2025,202.846,5.2701,38.49,125.27,3.49%,7.75亿,133.45%,3.92,1.6193,36.6571,9.8189,PE；PB,14.97亿,17.64亿,6.05%,32.31亿,7.39亿,0.8200000000000001,,洪杰
2024,130.962,5.2701,24.85,121.05,-2.97%,3.32亿,91.27%,5.1,1.0819,55.2222,4.8725,PE；PB,16.93亿,15.70亿,2.59%,29.71亿,7.30亿,0.16,,洪杰
2023,104.123,3.7644,27.66,124.76,10.03%,1.74亿,-47.33%,4.64,0.8346,83.8182,5.9612,PE；PB,17.14亿,13.51亿,1.42%,27.03亿,7.49亿,0.0,,洪杰
2022,177.83,3.7644,47.24,113.38,-0.79%,3.30亿,179.04%,6.04,1.5684,74.9841,7.8212,PE；PB,11.17亿,11.78亿,2.73%,24.73亿,6.57亿,,,洪杰
2021,155.29,2.689,57.75,114.29,39.37%,-4.17亿,-183.08%,5.16,1.3587,,11.1919,PE；PB,7.59亿,8.49亿,-3.47%,21.63亿,5.67亿,0.5700000000000001,,洪杰
2020,83.498,1.8638,44.8,82.0,37.31%,5.02亿,23.55%,9.33,1.0183,32.9412,4.8017,PE；PB,13.24亿,14.57亿,6.53%,26.53亿,4.92亿,0.6599999999999999,,洪杰
2019,22.552,1.3313,16.94,59.72,66.64%,4.06亿,82.55%,9.25,0.3776,10.859,1.8314,PE；PB,7.18亿,11.03亿,7.10%,18.36亿,5.04亿,0.51,,洪杰
2018,5.518,1.0218,5.4,35.84,36.82%,2.22亿,26.43%,10.03,0.154,4.5378,0.5384,PE；PB,2.91亿,8.03亿,6.21%,13.35亿,2.65亿,0.55,,洪杰
2017,,,8.04,26.19,34.45%,1.76亿,31.66%,10.95,,5.9556,0.7342,PE；PB,2.00亿,6.40亿,6.72%,11.19亿,1.88亿,0.4,,洪杰
2016,,,8.23,19.48,28.28%,1.34亿,15.71%,9.77,,5.5235,0.8424,PE；PB,1.59亿,5.08亿,6.86%,9.77亿,1.27亿,0.4,,洪杰
2015,,,,15.19,20.34%,1.16亿,12.51%,7.31,,,,PE；PB,1.63亿,4.24亿,7.61%,5.48亿,7706.17万,,,洪杰
2014,,,,12.62,28.53%,1.03亿,2.63%,6.17,,,,PE；PB,7481.46万,3.39亿,8.13%,4.63亿,8076.33万,,,洪杰
2013,,,,9.82,17.81%,1.00亿,28.69%,5.4,,,,PE；PB,5245.77万,2.82亿,10.19%,4.05亿,6518.89万,,,洪杰
2012,,,,8.33,14.77%,7773.33万,40.93%,4.46,,,,PE；PB,6748.19万,2.21亿,9.33%,3.35亿,7460.61万,,,洪杰
2011,,,,7.26,False,5515.80万,False,3.83,,,,PE；PB,5297.12万,1.80亿,7.60%,2.87亿,6855.42万,,,洪杰
