报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,39.411,10.7387,3.67,7.29,-3.36%,2820.13万,-14.61%,5.21,5.4062,139.5437,0.7044,PE；PB,10.94亿,42.63亿,3.87%,56.38亿,6.70亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,深圳市邦林科技发展有限公司
2026-03-31,39.411,10.7387,3.67,7.29,-3.36%,2820.13万,-14.61%,5.21,1.3515,139.5437,0.7044,PE；PB,10.94亿,42.63亿,3.87%,56.38亿,6.70亿,,,深圳市邦林科技发展有限公司
2025,44.029,10.7387,4.1,33.77,-23.66%,-5.15亿,-455.95%,5.18,1.3038,,0.7915,PE；PB,14.01亿,42.35亿,-15.26%,56.08亿,6.85亿,0.05,,深圳市邦林科技发展有限公司
2024,41.774,10.7387,3.89,44.24,3.08%,1.45亿,-46.91%,5.7,0.9443,29.9231,0.6825,PE；PB,14.92亿,48.05亿,3.30%,61.74亿,7.06亿,0.08,,深圳市邦林科技发展有限公司
2023,47.036,10.7387,4.38,42.92,11.57%,2.73亿,-3.60%,5.55,1.0959,17.52,0.7892,PE；PB,14.25亿,47.72亿,6.45%,60.35亿,7.56亿,0.05,,深圳市邦林科技发展有限公司
2022,48.754,10.7387,4.54,38.47,8.13%,2.83亿,27.35%,5.35,1.2673,17.4615,0.8486,PE；PB,12.39亿,45.53亿,7.44%,58.20亿,7.11亿,0.05,,深圳市邦林科技发展有限公司
2021,51.258,10.8828,4.71,35.58,18.58%,2.22亿,-42.94%,5.14,1.4406,22.4286,0.9163,PE；PB,13.13亿,43.24亿,6.37%,55.91亿,7.33亿,,,深圳市邦林科技发展有限公司
2020,47.631,11.2338,4.24,30.0,-0.88%,3.89亿,11.95%,4.94,1.5877,12.1143,0.8583,PE；PB,14.78亿,42.18亿,12.81%,54.61亿,8.38亿,0.05,,深圳市邦林科技发展有限公司
2019,50.777,11.2338,4.52,30.06,-1.41%,3.48亿,-84.52%,4.61,1.6892,14.5806,0.9805,PE；PB,12.20亿,38.99亿,11.54%,52.31亿,7.34亿,0.2,,深圳市邦林科技发展有限公司
2018,42.966,11.8364,3.63,30.49,3.43%,22.46亿,96.27%,4.5,1.4092,1.9005,0.8067,PE；PB,13.89亿,39.21亿,73.68%,51.95亿,6.51亿,0.15,,深圳市邦林科技发展有限公司
2017,,,5.37,29.47,-29.89%,11.44亿,63.97%,2.74,,5.5361,1.9599,PE；PB,11.80亿,18.63亿,39.05%,32.39亿,8.20亿,0.35,,深圳市邦林科技发展有限公司
2016,,,7.82,42.04,64.83%,6.98亿,550.64%,3.0,,13.0333,2.6067,PE；PB,10.95亿,10.17亿,15.60%,23.02亿,19.91亿,0.1,,深圳市邦林科技发展有限公司
2015,,,8.2,25.5,31.58%,1.07亿,10.59%,1.74,,58.5714,4.7126,PE；PB,4.15亿,4.32亿,2.67%,13.34亿,13.47亿,0.03,,深圳市邦林科技发展有限公司
2014,,,5.78,19.38,10.91%,9699.84万,13.21%,1.63,,44.4615,3.546,PE；PB,2.26亿,3.50亿,4.78%,13.01亿,9.82亿,0.03,,深圳市邦林科技发展有限公司
2013,,,3.19,17.48,25.02%,8567.69万,243.42%,1.53,,29.0,2.085,PE；PB,3.34亿,2.78亿,4.66%,12.16亿,4.29亿,0.03,,深圳市邦林科技发展有限公司
2012,,,2.48,13.98,3.64%,2494.84万,-61.91%,1.45,,82.6667,1.7103,PE；PB,2.78亿,2.31亿,0.46%,11.58亿,2.69亿,,,深圳市邦林科技发展有限公司
2011,,,2.2,13.49,16.08%,6550.39万,18.96%,1.42,,24.4444,1.5493,PE；PB,3.25亿,2.12亿,4.40%,11.52亿,2.54亿,0.0,,深圳市邦林科技发展有限公司
2010,,,3.73,11.62,27.27%,5506.34万,24.99%,2.0,,46.625,1.865,PE；PB,5.06亿,1.53亿,4.16%,10.94亿,2.80亿,0.0,,深圳市邦林科技发展有限公司
