报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,44.385,5.1312,8.65,4.28,-21.05%,291.54万,-95.14%,4.93,10.3703,865.0,1.7546,PE；PB,4.73亿,13.55亿,0.68%,25.32亿,2.42亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,奇耐联合纤维亚太控股有限公司
2026-03-31,44.385,5.1312,8.65,4.28,-21.05%,291.54万,-95.14%,4.93,2.5926,865.0,1.7546,PE；PB,4.73亿,13.55亿,0.68%,25.32亿,2.42亿,,,奇耐联合纤维亚太控股有限公司
2025,53.594,5.1188,10.47,24.81,-29.75%,4290.32万,-91.06%,4.99,2.1602,130.875,2.0982,PE；PB,5.15亿,13.52亿,1.73%,25.29亿,2.17亿,0.8,,奇耐联合纤维亚太控股有限公司
2024,60.456,5.0633,11.94,35.32,0.38%,4.80亿,-2.42%,5.64,1.7117,12.7021,2.117,PE；PB,6.52亿,17.12亿,13.59%,28.93亿,2.80亿,0.8,,奇耐联合纤维亚太控股有限公司
2023,63.443,5.0633,12.53,35.19,-1.85%,4.92亿,-15.70%,5.54,1.8029,12.9175,2.2617,PE；PB,6.15亿,16.41亿,13.93%,28.07亿,2.99亿,0.8,,奇耐联合纤维亚太控股有限公司
2022,98.38,5.0633,19.43,35.85,6.52%,5.84亿,9.26%,5.69,2.7442,16.75,3.4148,PE；PB,9.93亿,15.28亿,17.28%,30.22亿,2.99亿,0.7,,奇耐联合纤维亚太控股有限公司
2021,76.785,3.6168,21.23,31.64,36.04%,5.34亿,44.27%,5.2,2.4268,20.0283,4.0827,PE；PB,7.44亿,14.07亿,16.88%,26.35亿,4.27亿,0.85,,奇耐联合纤维亚太控股有限公司
2020,22.425,3.617,6.2,23.26,8.32%,3.70亿,8.82%,6.57,0.9641,8.3784,0.9437,PE；PB,5.89亿,12.27亿,15.92%,23.78亿,3.16亿,0.6499999999999999,,奇耐联合纤维亚太控股有限公司
2019,20.234,3.6196,5.59,21.47,16.54%,3.40亿,10.77%,6.09,0.9424,5.8229,0.9179,PE；PB,4.45亿,11.23亿,15.85%,22.04亿,3.55亿,0.65,,奇耐联合纤维亚太控股有限公司
2018,14.846,3.5097,4.23,18.42,15.45%,3.07亿,43.71%,5.61,0.806,4.9765,0.754,PE；PB,4.71亿,10.47亿,16.67%,20.32亿,2.72亿,0.5,,奇耐联合纤维亚太控股有限公司
2017,,,6.27,15.96,34.15%,2.14亿,104.22%,5.34,,10.2787,1.1742,PE；PB,4.32亿,9.44亿,13.39%,18.74亿,2.08亿,0.1,,奇耐联合纤维亚太控股有限公司
2016,,,6.24,11.9,5.01%,1.05亿,81.89%,7.2,,20.8,0.8667,PE；PB,2.29亿,7.72亿,8.80%,16.84亿,1.98亿,0.1,,奇耐联合纤维亚太控股有限公司
2015,,,5.55,11.33,-3.82%,5754.57万,-26.68%,6.85,,22.2,0.8102,PE；PB,6714.50万,7.00亿,5.08%,16.03亿,2.37亿,0.1,,奇耐联合纤维亚太控股有限公司
2014,,,4.22,11.78,14.74%,7848.54万,-9.23%,6.7,,12.4118,0.6299,PE；PB,8348.85万,6.73亿,6.66%,15.68亿,2.19亿,0.1,,奇耐联合纤维亚太控股有限公司
2013,,,2.7,10.26,2.30%,8646.92万,2.17%,6.47,,7.2973,0.4173,PE；PB,4070.74万,6.26亿,8.42%,15.13亿,2.02亿,0.1,,奇耐联合纤维亚太控股有限公司
2012,,,2.74,10.03,2.40%,8463.56万,-21.76%,6.2,,7.6111,0.4419,PE；PB,1.06亿,5.70亿,8.44%,14.50亿,1.81亿,0.1,,奇耐联合纤维亚太控股有限公司
2011,,,2.95,9.8,6.69%,1.08亿,-11.88%,5.94,,6.413,0.4966,PE；PB,3577.29万,5.16亿,11.04%,13.89亿,2.04亿,0.1,,奇耐联合纤维亚太控股有限公司
2010,,,5.01,9.18,18.34%,1.23亿,5.17%,5.57,,9.6346,0.8995,PE；PB,1.88亿,4.42亿,13.37%,13.04亿,1.91亿,0.1,,奇耐联合纤维亚太控股有限公司
