报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,56.772,12.7578,4.45,24.41,21.94%,6539.06万,14.01%,3.57,2.3258,89.0,1.2465,PE；PB,3.63亿,11.02亿,2.87%,47.11亿,11.35亿,0.03,,宝钢金属有限公司
2026-03-31,56.772,12.7578,4.45,24.41,21.94%,6539.06万,14.01%,3.57,0.5814,89.0,1.2465,PE；PB,3.63亿,11.02亿,2.87%,47.11亿,11.35亿,0.03,,宝钢金属有限公司
2025,67.616,12.7578,5.3,87.79,5.54%,1.88亿,8.89%,3.54,0.7702,35.3333,1.4972,PE；PB,7.22亿,10.37亿,2.35%,46.76亿,11.22亿,0.077,,宝钢金属有限公司
2024,54.839,11.3304,4.84,83.18,7.19%,1.72亿,-21.13%,3.5,0.6593,32.2667,1.3829,PE；PB,11.89亿,9.51亿,2.30%,46.19亿,11.36亿,0.14,,宝钢金属有限公司
2023,55.292,11.3304,4.88,77.6,-9.16%,2.19亿,-18.58%,3.39,0.7125,25.6842,1.4395,PE；PB,4.85亿,9.49亿,3.13%,40.21亿,10.11亿,0.121,,宝钢金属有限公司
2022,69.668,11.3281,6.15,85.43,22.35%,2.68亿,0.78%,3.33,0.8155,25.625,1.8468,PE；PB,5.80亿,8.70亿,3.28%,39.55亿,8.54亿,0.12,,宝钢金属有限公司
2021,79.833,8.3333,9.58,69.83,20.44%,2.66亿,67.88%,3.16,1.1432,38.32,3.0316,PE；PB,7.61亿,7.48亿,4.16%,37.51亿,12.83亿,0.071,,宝钢金属有限公司
2020,61.583,8.3333,7.39,57.86,0.27%,1.59亿,24.43%,2.83,1.0643,38.8947,2.6113,PE；PB,7.05亿,5.93亿,3.63%,36.33亿,6.96亿,0.077,,宝钢金属有限公司
2019,38.167,8.3333,4.58,57.7,15.92%,1.28亿,204.38%,2.77,0.6615,30.5333,1.6534,PE；PB,9.53亿,5.04亿,2.66%,35.46亿,5.80亿,0.026000000000000002,,宝钢金属有限公司
2018,29.833,8.3333,3.58,49.77,9.48%,4189.16万,531.73%,2.46,0.5994,71.6,1.4553,PE；PB,1.55亿,3.98亿,0.89%,22.06亿,7.30亿,0.005,,宝钢金属有限公司
2017,,,4.64,45.46,13.63%,663.13万,-32.92%,2.4,,464.0,1.9333,PE；PB,2.07亿,3.65亿,0.37%,21.51亿,7.44亿,0.004,,宝钢金属有限公司
2016,,,8.58,40.01,21.24%,988.51万,-88.68%,2.41,,858.0,3.5602,PE；PB,1.20亿,3.63亿,0.30%,21.53亿,8.07亿,0.032,,宝钢金属有限公司
2015,,,11.93,33.0,-4.74%,8734.81万,-32.09%,2.41,,99.4167,4.9502,PE；PB,2.38亿,3.80亿,2.64%,21.42亿,6.50亿,,,宝钢金属有限公司
2014,,,,34.64,18.92%,1.29亿,0.79%,2.19,,,,PE；PB,3.30亿,3.37亿,3.80%,15.13亿,7.37亿,,,宝钢金属有限公司
2013,,,,29.13,12.76%,1.28亿,18.93%,2.04,,,,PE；PB,2.06亿,2.52亿,4.53%,14.09亿,7.76亿,,,宝钢金属有限公司
2012,,,,25.83,10.81%,1.07亿,-3.69%,2.12,,,,PE；PB,2.18亿,1.62亿,4.53%,14.61亿,6.79亿,,,宝钢金属有限公司
2011,,,,23.31,16.07%,1.11亿,57.48%,1.92,,,,PE；PB,3500.07万,1.53亿,5.53%,11.91亿,6.06亿,,,宝钢金属有限公司
2010,,,,20.08,47.58%,7074.80万,300.52%,0.0,,,,PE；PB,5678.39万,4732.96万,4.26%,9.88亿,4.14亿,,,宝钢金属有限公司
