报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,54.617,3.0259,18.05,2.63,2.00%,3061.69万,-25.66%,3.06,20.7669,178.3597,5.8987,PE；PB,1.30亿,2.63亿,12.52%,9.94亿,1.08亿,0.08,20%: 最新年度净利润同比下降,董建军
2026-03-31,54.617,3.0259,18.05,2.63,2.00%,3061.69万,-25.66%,3.06,5.1917,178.3597,5.8987,PE；PB,1.30亿,2.63亿,12.52%,9.94亿,1.08亿,0.08,,董建军
2025,44.179,2.1614,20.44,10.35,16.86%,1.16亿,76.89%,2.96,4.2685,53.7895,6.9054,PE；PB,1.07亿,2.32亿,12.49%,9.62亿,9911.48万,0.2,,董建军
2024,36.814,2.0117,18.3,8.85,27.55%,6573.08万,755.25%,3.8,4.1598,83.1818,4.8158,PE；PB,7391.01万,1.68亿,8.98%,8.76亿,1.06亿,0.03,,董建军
2023,15.287,2.0115,7.6,6.94,4.68%,768.56万,-43.75%,2.84,2.2027,190.0,2.6761,PE；PB,6995.74万,1.12亿,2.83%,6.40亿,9590.61万,0.04,,董建军
2022,10.683,2.0118,5.31,6.63,2.37%,1366.41万,174.17%,2.84,1.6113,75.8571,1.8697,PE；PB,1.12亿,1.13亿,2.72%,6.28亿,9204.89万,,,董建军
2021,13.079,2.0215,6.47,6.48,33.84%,-1842.14万,-331.84%,2.77,2.0184,,2.3357,PE；PB,9375.21万,9897.62万,-2.29%,6.10亿,1.02亿,,,董建军
2020,8.057,1.4185,5.68,4.84,48.83%,794.57万,-46.34%,2.83,1.6647,142.0,2.0071,PE；PB,1.62亿,1.17亿,2.60%,6.21亿,8503.06万,0.08,,董建军
2019,8.055,1.0132,7.95,3.25,-9.03%,1480.77万,-69.19%,3.79,2.4785,113.5714,2.0976,PE；PB,8776.70万,1.22亿,4.47%,5.39亿,4580.62万,0.2,,董建军
2018,7.08,1.0,7.08,3.57,5.35%,4806.68万,4.88%,5.31,1.9832,20.8235,1.3333,PE；PB,4068.96万,1.30亿,13.45%,5.38亿,4522.99万,0.2,,董建军
2017,,,8.71,3.39,19.09%,4583.20万,1.24%,5.06,,15.0458,1.7213,PE；PB,3102.66万,1.07亿,13.51%,5.06亿,3822.77万,,,董建军
2016,,,,2.85,3.81%,4527.14万,6.05%,3.44,,,,PE；PB,2177.47万,6559.07万,15.89%,2.58亿,2617.46万,,,董建军
2015,,,,2.74,13.86%,4268.89万,-17.02%,2.84,,,,PE；PB,5222.86万,2484.95万,15.55%,2.13亿,1543.26万,,,董建军
2014,,,,2.41,6.98%,5144.73万,-13.44%,6.64,,,,PE；PB,1686.19万,1.47亿,21.34%,1.99亿,1275.90万,,,董建军
2013,,,,2.25,False,5943.49万,False,2.39,,,,PE；PB,3567.89万,1.31亿,26.38%,1.79亿,2049.69万,,,董建军
