报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,1446.141,12.1996,118.54,149.23,-9.68%,53.83亿,-19.03%,36.91,9.6907,26.8798,3.2116,PE；PB,125.14亿,423.80亿,36.22%,455.47亿,136.50亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,山西杏花村汾酒集团有限责任公司
2026-03-31,1446.141,12.1996,118.54,149.23,-9.68%,53.83亿,-19.03%,36.91,2.4227,26.8798,3.2116,PE；PB,125.14亿,423.80亿,36.22%,455.47亿,136.50亿,,,山西杏花村汾酒集团有限责任公司
2025,2094.671,12.1996,171.7,387.18,7.52%,122.46亿,0.03%,32.49,5.4101,17.1045,5.2847,PE；PB,97.67亿,369.97亿,31.76%,401.34亿,143.92亿,6.0600000000000005,,山西杏花村汾酒集团有限责任公司
2024,2170.675,12.1996,177.93,360.11,12.79%,122.43亿,17.29%,28.49,6.0278,17.7302,6.2453,PE；PB,62.85亿,321.44亿,34.03%,352.04亿,132.70亿,4.37,,山西杏花村汾酒集团有限责任公司
2023,2660.119,12.2007,218.03,319.28,21.80%,104.38亿,28.93%,22.82,8.3316,25.4628,9.5543,PE；PB,38.25亿,252.29亿,32.76%,282.75亿,115.73亿,3.3200000000000003,,山西杏花村汾酒集团有限责任公司
2022,3232.193,12.2011,264.91,262.14,31.26%,80.96亿,52.36%,17.48,12.33,39.8409,15.155,PE；PB,122.60亿,188.41亿,31.12%,217.46亿,96.50亿,1.8,,山西杏花村汾酒集团有限责任公司
2021,2543.735,8.7153,291.87,199.71,42.75%,53.14亿,72.56%,12.48,12.7371,66.7147,23.387,PE；PB,121.76亿,129.41亿,26.99%,155.87亿,81.89亿,0.2,,山西杏花村汾酒集团有限责任公司
2020,2158.431,8.7153,247.66,139.9,17.63%,30.79亿,56.39%,11.22,15.4284,97.6577,22.0731,PE；PB,46.07亿,82.89亿,22.27%,100.65亿,63.54亿,0.9,,山西杏花村汾酒集团有限责任公司
2019,509.033,8.6585,58.79,118.93,25.79%,19.69亿,30.65%,8.54,4.2801,25.909,6.8841,PE；PB,39.69亿,59.94亿,17.29%,78.93亿,58.09亿,0.75,,山西杏花村汾酒集团有限责任公司
2018,196.808,8.6585,22.73,94.44,47.48%,15.07亿,58.24%,7.18,2.0839,13.0595,3.1657,PE；PB,14.22亿,47.19亿,16.63%,67.55亿,33.24亿,0.6,,山西杏花村汾酒集团有限责任公司
2017,,,36.5,63.61,37.06%,9.52亿,57.39%,6.05,,33.1848,6.0331,PE；PB,12.59亿,35.86亿,16.63%,55.85亿,24.48亿,0.55,,山西杏花村汾酒集团有限责任公司
2016,,,15.76,44.05,6.69%,6.05亿,16.24%,5.5,,22.5497,2.8655,PE；PB,12.18亿,31.35亿,14.56%,48.37亿,19.19亿,0.32,,山西杏花村汾酒集团有限责任公司
2015,,,11.98,41.29,5.43%,5.21亿,46.34%,5.11,,19.9235,2.3444,PE；PB,10.46亿,28.07亿,13.12%,44.95亿,19.18亿,,,山西杏花村汾酒集团有限责任公司
2014,,,14.23,39.16,-35.67%,3.56亿,-62.96%,4.49,,34.6313,3.1693,PE；PB,7.56亿,22.87亿,9.14%,39.36亿,18.98亿,0.35,,山西杏花村汾酒集团有限责任公司
2013,,,11.69,60.87,-6.04%,9.60亿,-27.64%,4.42,,10.5391,2.6448,PE；PB,9.85亿,22.34亿,16.19%,38.76亿,18.67亿,0.8,,山西杏花村汾酒集团有限责任公司
2012,,,24.51,64.79,44.35%,13.27亿,70.05%,4.1,,15.9883,5.978,PE；PB,24.81亿,20.85亿,21.41%,36.25亿,14.23亿,0.5,,山西杏花村汾酒集团有限责任公司
2011,,,18.45,44.88,48.78%,7.81亿,57.85%,5.75,,20.4659,3.2087,PE；PB,20.20亿,15.03亿,20.60%,25.81亿,12.50亿,0.5,,山西杏花村汾酒集团有限责任公司
2010,,,19.87,30.17,40.74%,4.94亿,39.30%,4.45,,17.3993,4.4652,PE；PB,10.81亿,9.38亿,19.95%,20.60亿,10.16亿,0.5,,山西杏花村汾酒集团有限责任公司
