报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,208.053,22.1333,9.4,12.99,5.86%,1.79亿,14.07%,5.07,16.0164,116.1928,1.854,PE；PB,81.84亿,39.98亿,14.01%,112.85亿,5.73亿,0.19,,广州产业投资控股集团有限公司
2026-03-31,208.053,22.1333,9.4,12.99,5.86%,1.79亿,14.07%,5.07,4.0041,116.1928,1.854,PE；PB,81.84亿,39.98亿,14.01%,112.85亿,5.73亿,0.19,,广州产业投资控股集团有限公司
2025,205.618,22.1333,9.29,58.78,2.56%,9.04亿,11.54%,4.99,3.4981,22.7529,1.8617,PE；PB,79.40亿,38.19亿,15.64%,111.03亿,5.62亿,0.16999999999999998,,广州产业投资控股集团有限公司
2024,215.578,22.1333,9.74,57.31,6.56%,8.10亿,29.95%,4.75,3.7616,26.6048,2.0505,PE；PB,83.58亿,34.56亿,14.50%,105.77亿,6.60亿,0.125,,广州产业投资控股集团有限公司
2023,169.541,22.1333,7.66,53.78,9.13%,6.24亿,4.22%,4.51,3.1525,27.3571,1.6984,PE；PB,72.51亿,29.88亿,11.97%,100.40亿,18.04亿,0.12,,广州产业投资控股集团有限公司
2022,169.541,22.1333,7.66,49.28,8.60%,5.98亿,-2.11%,4.35,3.4404,28.3704,1.7609,PE；PB,70.07亿,26.44亿,12.29%,96.69亿,18.03亿,0.12,,广州产业投资控股集团有限公司
2021,189.682,22.1333,8.57,45.38,6.79%,6.11亿,7.36%,4.19,4.1799,30.6071,2.0453,PE；PB,68.36亿,23.31亿,13.83%,93.44亿,16.59亿,0.11499999999999999,,广州产业投资控股集团有限公司
2020,220.669,22.1333,9.97,42.49,0.13%,5.69亿,14.43%,4.03,5.1934,38.3462,2.4739,PE；PB,64.27亿,19.89亿,13.78%,89.83亿,20.89亿,0.1,,广州产业投资控股集团有限公司
2019,145.637,22.1333,6.58,42.44,5.06%,4.97亿,35.77%,3.87,3.4316,29.9091,1.7003,PE；PB,38.36亿,16.53亿,12.06%,86.31亿,5.35亿,0.1,,广州产业投资控股集团有限公司
2018,44.266,11.0666,4.0,40.39,7.33%,3.66亿,97.68%,3.71,1.096,23.5294,1.0782,PE；PB,31.98亿,13.75亿,9.39%,82.66亿,5.01亿,0.1,,广州产业投资控股集团有限公司
2017,,,5.31,37.64,6.23%,1.85亿,62.75%,7.67,,59.0,0.6923,PE；PB,3.77亿,11.33亿,5.26%,79.92亿,5.73亿,0.06,,广州产业投资控股集团有限公司
2016,,,5.4,35.43,0.74%,1.14亿,36.96%,5.19,,31.7647,1.0405,PE；PB,1.32亿,10.28亿,3.59%,35.76亿,5.88亿,0.05,,广州产业投资控股集团有限公司
2015,,,6.81,35.17,-0.19%,8315.53万,37.69%,4.99,,56.75,1.3647,PE；PB,5949.92万,9.59亿,2.77%,34.32亿,6.74亿,0.03,,广州产业投资控股集团有限公司
2014,,,5.7,35.24,5.21%,6039.45万,46.45%,4.89,,63.3333,1.1656,PE；PB,7.54亿,9.07亿,1.98%,33.63亿,6.76亿,0.015,,广州产业投资控股集团有限公司
2013,,,4.23,33.49,-3.62%,4123.77万,-19.08%,4.81,,70.5,0.8794,PE；PB,4.43亿,8.63亿,1.39%,33.08亿,7.29亿,0.01,,广州产业投资控股集团有限公司
2012,,,3.88,34.75,-2.47%,5096.12万,1.55%,4.76,,55.4286,0.8151,PE；PB,4.00亿,8.34亿,1.55%,32.72亿,7.08亿,,,广州产业投资控股集团有限公司
2011,,,4.15,35.63,16.70%,5018.40万,-45.04%,4.69,,59.2857,0.8849,PE；PB,3.34亿,7.84亿,1.40%,32.07亿,7.30亿,0.05,,广州产业投资控股集团有限公司
2010,,,8.42,30.53,7.96%,9130.99万,6.56%,4.66,,60.1429,1.8069,PE；PB,4.19亿,7.70亿,2.99%,31.91亿,5.68亿,,,广州产业投资控股集团有限公司
