报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,238.162,4.8397,49.21,43.5,-0.12%,4.38亿,-7.40%,3.78,5.475,54.6778,13.0185,PE；PB,26.85亿,10.52亿,20.06%,37.56亿,17.20亿,1.2,40%: 最新年度营业收入下滑；最新年度净利润同比下降,嘉士伯啤酒厂香港有限公司
2026-03-31,238.162,4.8397,49.21,43.5,-0.12%,4.38亿,-7.40%,3.78,1.3687,54.6778,13.0185,PE；PB,26.85亿,10.52亿,20.06%,37.56亿,17.20亿,1.2,,嘉士伯啤酒厂香港有限公司
2025,252.826,4.8397,52.24,147.22,0.53%,12.31亿,10.43%,2.85,1.7173,20.5669,18.3298,PE；PB,11.33亿,6.14亿,16.83%,28.60亿,20.45亿,2.2,,嘉士伯啤酒厂香港有限公司
2024,292.899,4.8397,60.52,146.45,-1.15%,11.15亿,-16.61%,2.45,2.0,26.313,24.702,PE；PB,10.82亿,4.48亿,15.36%,24.54亿,21.86亿,4.3,,嘉士伯啤酒厂香港有限公司
2023,289.124,4.8397,59.74,148.15,5.53%,13.37亿,5.78%,4.42,1.9516,21.6449,13.5158,PE；PB,30.73亿,14.14亿,18.30%,36.52亿,21.00亿,2.6,,嘉士伯啤酒厂香港有限公司
2022,540.111,4.8397,111.6,140.39,7.01%,12.64亿,8.35%,4.25,3.8472,42.7586,26.2588,PE；PB,33.98亿,13.36亿,18.43%,36.23亿,21.66亿,2.0,,嘉士伯啤酒厂香港有限公司
2021,631.387,4.8397,130.46,131.19,19.90%,11.66亿,8.30%,3.63,4.8128,54.1328,35.9394,PE；PB,28.56亿,10.40亿,18.29%,31.28亿,18.87亿,,,嘉士伯啤酒厂香港有限公司
2020,496.505,4.8397,102.59,109.42,7.14%,10.77亿,3.26%,1.21,4.5376,46.0045,84.7851,PE；PB,19.56亿,-1.26亿,16.02%,15.69亿,14.21亿,1.4,,嘉士伯啤酒厂香港有限公司
2019,211.93,4.8397,43.79,102.12,3.30%,10.43亿,158.15%,2.93,2.0753,20.3674,14.9454,PE；PB,14.73亿,5.58亿,20.34%,35.74亿,14.42亿,0.8,,嘉士伯啤酒厂香港有限公司
2018,123.219,4.8397,25.46,34.67,9.19%,4.04亿,22.62%,2.37,3.5541,30.6747,10.7426,PE；PB,9.67亿,4.68亿,12.15%,11.62亿,3.37亿,0.8,,嘉士伯啤酒厂香港有限公司
2017,,,16.77,31.76,-0.64%,3.29亿,82.03%,2.4,,24.6618,6.9875,PE；PB,6.89亿,4.51亿,10.27%,11.65亿,6.31亿,0.8,,嘉士伯啤酒厂香港有限公司
2016,,,14.34,31.96,-3.85%,1.81亿,375.57%,2.54,,38.7568,5.6457,PE；PB,3.68亿,5.09亿,4.38%,12.42亿,8.26亿,0.2,,嘉士伯啤酒厂香港有限公司
2015,,,12.27,33.24,4.90%,-6567.84万,-189.44%,2.36,,,5.1992,PE；PB,2.57亿,4.25亿,-4.62%,12.19亿,10.75亿,0.2,,嘉士伯啤酒厂香港有限公司
2014,,,12.32,31.69,-6.44%,7343.52万,-53.74%,2.64,,82.1333,4.6667,PE；PB,1.24亿,5.88亿,-0.99%,14.19亿,11.59亿,0.2,,嘉士伯啤酒厂香港有限公司
2013,,,12.18,33.87,7.54%,1.59亿,-0.19%,3.17,,36.9091,3.8423,PE；PB,3.38亿,8.09亿,3.00%,18.00亿,12.45亿,0.2,,嘉士伯啤酒厂香港有限公司
2012,,,11.43,31.49,16.86%,1.59亿,3.53%,3.07,,34.6364,3.7231,PE；PB,4.60亿,7.56亿,3.91%,18.54亿,12.95亿,0.2,,嘉士伯啤酒厂香港有限公司
2011,,,20.98,26.95,13.46%,1.54亿,-57.55%,2.94,,65.5625,7.1361,PE；PB,3.13亿,7.00亿,5.65%,14.80亿,9.67亿,0.3,,嘉士伯啤酒厂香港有限公司
2010,,,40.68,23.75,5.08%,3.62亿,99.42%,2.94,,54.24,13.8367,PE；PB,2.37亿,7.11亿,15.02%,14.96亿,8.73亿,0.3,,嘉士伯啤酒厂香港有限公司
