报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,167.555,44.4444,3.77,23.2,-10.12%,1.22亿,-29.01%,4.33,7.2222,125.6667,0.8707,PE；PB,21.01亿,24.68亿,5.25%,192.56亿,5321.69万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国铁路投资集团有限公司
2026-03-31,167.555,44.4444,3.77,23.2,-10.12%,1.22亿,-29.01%,4.33,1.8055,125.6667,0.8707,PE；PB,21.01亿,24.68亿,5.25%,192.56亿,5321.69万,,,中国铁路投资集团有限公司
2025,180.0,44.4444,4.05,119.64,6.18%,4.24亿,-36.36%,4.3,1.5045,40.5,0.9419,PE；PB,15.98亿,23.46亿,3.55%,191.17亿,5477.27万,0.081,,中国铁路投资集团有限公司
2024,181.778,44.4444,4.09,112.67,5.48%,6.67亿,6.36%,4.28,1.6134,27.2667,0.9556,PE；PB,47.70亿,23.36亿,5.92%,190.36亿,4559.43万,0.057999999999999996,,中国铁路投资集团有限公司
2023,180.444,44.4444,4.06,106.82,12.85%,6.27亿,49.94%,4.2,1.6892,29.0,0.9667,PE；PB,55.54亿,19.87亿,5.87%,186.80亿,4806.60万,0.037,,中国铁路投资集团有限公司
2022,184.0,44.4444,4.14,94.66,7.03%,4.18亿,7.02%,4.12,1.9438,46.0,1.0049,PE；PB,51.97亿,15.83亿,4.39%,183.28亿,4890.19万,0.0233,,中国铁路投资集团有限公司
2021,256.889,44.4444,5.78,88.44,4.56%,3.91亿,10.70%,4.05,2.9047,64.2222,1.4272,PE；PB,52.02亿,13.04亿,4.42%,179.84亿,4406.55万,,,中国铁路投资集团有限公司
2020,,,,84.58,-2.19%,3.53亿,-37.85%,3.96,,,,PE；PB,34.59亿,9.52亿,4.17%,158.34亿,3778.61万,,,中国铁路投资集团有限公司
2019,,,,86.47,9.67%,5.68亿,41.26%,3.85,,,,PE；PB,24.84亿,6.31亿,6.57%,154.15亿,2706.54万,,,中国铁路投资集团有限公司
2018,,,,78.84,29.43%,4.02亿,2.10%,0.8,,,,PE；PB,1.82亿,-39.65亿,5.10%,148.33亿,2827.84万,,,中国铁路投资集团有限公司
2017,,,,60.92,False,3.94亿,False,0.78,,,,PE；PB,5.48亿,-43.67亿,6.46%,143.80亿,2938.48万,,,中国铁路投资集团有限公司
