报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,34.877,4.046,8.62,3.56,-0.59%,9485.33万,58.75%,1.0,9.7969,36.8376,8.62,PB；PE,6650.83万,-2.81亿,26.64%,4.03亿,1020.92万,,20%: 最新年度营业收入下滑,大连洁净能源集团有限公司
2026-03-31,34.877,4.046,8.62,3.56,-0.59%,9485.33万,58.75%,1.0,2.4492,36.8376,8.62,PB；PE,6650.83万,-2.81亿,26.64%,4.03亿,1020.92万,,,大连洁净能源集团有限公司
2025,26.38,4.046,6.52,6.05,-3.76%,-9471.42万,35.10%,0.76,4.3603,,8.5789,PB；PE,1.31亿,-3.76亿,-15.66%,3.07亿,8934.89万,,,大连洁净能源集团有限公司
2024,28.848,4.046,7.13,6.29,-0.64%,-1.46亿,-238.24%,1.0,4.5863,,7.13,PB；PE,8780.30万,-2.81亿,-23.22%,4.03亿,5913.64万,,,大连洁净能源集团有限公司
2023,32.813,4.046,8.11,6.33,-21.61%,1.06亿,167.43%,1.35,5.1837,31.0728,6.0074,PB；PE,8398.81万,-1.35亿,16.69%,5.48亿,1.19亿,,,大连洁净能源集团有限公司
2022,20.554,4.046,5.08,8.07,22.33%,-1.57亿,-9.31%,1.09,2.547,,4.6606,PB；PE,1.59亿,-2.40亿,-19.40%,4.41亿,8834.18万,,,大连洁净能源集团有限公司
2021,16.67,4.046,4.12,6.6,-2.16%,-1.43亿,-1582.86%,1.48,2.5258,,2.7838,PB；PE,3.23亿,-8393.90万,-21.71%,5.97亿,2.23亿,0.008,,大连洁净能源集团有限公司
2020,15.941,4.046,3.94,6.74,-12.08%,965.84万,-14.31%,1.84,2.3651,164.1667,2.1413,PB；PE,5.22亿,6251.75万,1.43%,7.44亿,1.17亿,0.009,,大连洁净能源集团有限公司
2019,18.612,4.046,4.6,7.67,4.94%,1127.12万,316.39%,1.82,2.4266,164.2857,2.5275,PB；PE,2.09亿,5930.38万,1.47%,7.38亿,6679.41万,0.005,,大连洁净能源集团有限公司
2018,15.334,4.046,3.79,7.31,-6.55%,270.69万,-19.36%,1.8,2.0977,541.4286,2.1056,PB；PE,1.97亿,5341.63万,0.37%,7.28亿,6664.06万,0.003,,大连洁净能源集团有限公司
2017,,,6.2,7.82,10.55%,335.68万,-75.31%,1.8,,775.0,3.4444,PB；PE,1.07亿,5295.33万,0.43%,7.27亿,5354.02万,0.011,,大连洁净能源集团有限公司
2016,,,8.08,7.07,3.36%,1359.32万,27.74%,1.8,,237.6471,4.4889,PB；PE,2.29亿,5520.42万,1.92%,7.28亿,4939.55万,0.01,,大连洁净能源集团有限公司
2015,,,7.84,6.84,-1.45%,1064.14万,9.98%,1.78,,301.5385,4.4045,PB；PE,2.68亿,4896.21万,1.55%,7.18亿,8015.13万,0.033,,大连洁净能源集团有限公司
2014,,,4.27,6.94,2.95%,967.60万,133.06%,3.59,,178.6611,1.1894,PB；PE,1.43亿,4691.02万,1.39%,7.14亿,7369.89万,0.0062,,大连洁净能源集团有限公司
2013,,,3.76,6.75,0.62%,415.16万,47.43%,3.55,,183.4146,1.0592,PB；PE,1.40亿,5280.10万,0.62%,7.18亿,9491.17万,0.005,,大连洁净能源集团有限公司
2012,,,3.28,6.7,0.76%,281.61万,108.16%,3.53,,234.2857,0.9292,PB；PE,5943.88万,5052.08万,0.42%,7.14亿,9649.69万,,,大连洁净能源集团有限公司
2011,,,2.89,6.65,-0.28%,-3451.24万,-375.84%,3.52,,,0.821,PB；PE,6330.27万,4854.95万,-5.19%,7.12亿,8034.17万,0.013000000000000001,,大连洁净能源集团有限公司
2010,,,5.78,6.67,6.44%,1251.19万,-11.40%,3.7,,93.2258,1.5622,PB；PE,3947.05万,8569.19万,1.88%,7.49亿,7933.10万,0.025,,大连洁净能源集团有限公司
