报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,246.833,18.4617,13.37,12.21,45.97%,2.67亿,12.65%,5.82,20.2156,95.5,2.2973,PB；PE,72.13亿,14.96亿,37.92%,138.81亿,5.83亿,,,四川省能源投资集团有限责任公司
2026-03-31,246.833,18.4617,13.37,12.21,45.97%,2.67亿,12.65%,5.82,5.0539,95.5,2.2973,PB；PE,72.13亿,14.96亿,37.92%,138.81亿,5.83亿,,,四川省能源投资集团有限责任公司
2025,215.079,18.4617,11.65,36.0,17.83%,5.02亿,-30.87%,5.67,5.9744,43.1481,2.0547,PB；PE,76.51亿,12.31亿,18.37%,131.27亿,1.62亿,0.16999999999999998,,四川省能源投资集团有限责任公司
2024,155.12,14.7593,10.51,30.55,-7.79%,7.27亿,-8.85%,5.57,5.0776,25.0238,1.8869,PB；PE,61.45亿,11.02亿,23.75%,126.32亿,2.77亿,0.16,,四川省能源投资集团有限责任公司
2023,190.247,14.7593,12.89,33.13,-12.85%,7.97亿,12.35%,5.01,5.7424,23.8704,2.5729,PB；PE,42.41亿,7.08亿,38.98%,100.54亿,1.68亿,,,四川省能源投资集团有限责任公司
2022,250.677,14.49,17.3,38.01,-21.88%,7.10亿,104.12%,3.63,6.595,36.0417,4.7658,PB；PE,35.52亿,-8972.46万,33.78%,87.79亿,7380.01万,,,四川省能源投资集团有限责任公司
2021,326.771,12.7,25.73,48.66,18.54%,3.48亿,30.51%,3.26,6.7154,107.2083,7.8926,PB；PE,31.36亿,-8.00亿,15.24%,73.53亿,7615.67万,,,四川省能源投资集团有限责任公司
2020,102.235,12.7,8.05,37.19,-2.66%,2.66亿,24.01%,2.9,2.749,38.3333,2.7759,PB；PE,23.72亿,-10.38亿,14.71%,65.98亿,3.34亿,,,四川省能源投资集团有限责任公司
2019,53.34,12.7,4.2,20.51,-51.99%,2.15亿,-28.61%,2.77,2.6007,24.7059,1.5162,PB；PE,14.73亿,-12.59亿,16.06%,42.22亿,378.24万,,,四川省能源投资集团有限责任公司
2018,44.323,12.7,3.49,42.72,-34.37%,3.01亿,-7.37%,2.57,1.0375,14.5417,1.358,PB；PE,12.08亿,-14.71亿,9.62%,37.88亿,7796.15万,,,四川省能源投资集团有限责任公司
2017,,,5.85,65.09,223.21%,3.25亿,-63.91%,2.38,,22.5,2.458,PB；PE,14.60亿,-17.72亿,5.86%,36.76亿,3318.47万,,,四川省能源投资集团有限责任公司
2016,,,9.96,20.14,467.03%,9.00亿,259.25%,2.25,,5.1875,4.4267,PB；PE,26.37亿,-20.72亿,47.75%,41.23亿,False,,,四川省能源投资集团有限责任公司
2015,,,9.02,3.2,-62.05%,-5.65亿,63.99%,-3.03,,,,PB；PE,9844.72万,-29.64亿,-222.31%,-16.03亿,6031.90万,,,四川省能源投资集团有限责任公司
2014,,,6.73,8.42,-53.50%,-15.70亿,-149.52%,-1.75,,,,PB；PE,1.91亿,-24.23亿,-195.55%,-8.88亿,7757.35万,,,四川省能源投资集团有限责任公司
2013,,,3.07,18.11,-14.57%,-6.29亿,-5596.44%,1.56,,,1.9679,PB；PE,4.01亿,-8.44亿,-39.32%,7.36亿,2.99亿,,,四川省能源投资集团有限责任公司
2012,,,3.86,21.2,6.68%,1144.60万,105.33%,2.9,,193.0,1.331,PB；PE,3.52亿,-1.49亿,0.07%,14.63亿,1.99亿,,,四川省能源投资集团有限责任公司
2011,,,4.16,19.87,-0.94%,-2.15亿,-2.35%,2.9,,,1.4345,PB；PE,1.79亿,-1.61亿,-10.50%,14.83亿,2.92亿,,,四川省能源投资集团有限责任公司
2010,,,6.77,20.06,-10.91%,-2.10亿,-353.10%,3.33,,,2.033,PB；PE,1.98亿,5434.73万,-10.91%,17.04亿,3.46亿,0.05,,四川省能源投资集团有限责任公司
