报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,120.017,6.8308,17.57,19.39,17.06%,-2.91亿,-370.03%,17.28,6.1896,,1.0168,PE；PB,91.00亿,14.62亿,-15.01%,118.02亿,25.05亿,0.15,20%: 最新年度净利润同比下降,杨建良
2026-03-31,120.017,6.8308,17.57,19.39,17.06%,-2.91亿,-370.03%,17.28,1.5474,,1.0168,PE；PB,91.00亿,14.62亿,-15.01%,118.02亿,25.05亿,0.15,,杨建良
2025,207.101,6.7902,30.5,74.25,1.69%,1.87亿,106.93%,18.1,2.7892,110.5072,1.6851,PE；PB,90.43亿,17.53亿,2.51%,123.65亿,19.66亿,,,杨建良
2024,93.894,5.7781,16.25,73.02,-38.42%,-26.97亿,-464.16%,17.5,1.2859,,0.9286,PE；PB,96.30亿,16.01亿,-36.93%,118.84亿,13.96亿,0.02,,杨建良
2023,136.567,4.1085,33.24,118.59,-45.87%,7.41亿,-75.58%,20.8,1.1516,26.1321,1.5981,PE；PB,77.89亿,43.11亿,6.24%,120.21亿,20.57亿,2.9840099999999996,,杨建良
2022,198.633,2.7523,72.17,219.09,100.72%,30.33亿,77.22%,30.51,0.9066,12.8898,2.3655,PE；PB,72.18亿,49.63亿,13.84%,125.35亿,14.74亿,2.0,,杨建良
2021,195.779,2.4381,80.3,109.15,262.51%,17.11亿,222.10%,27.04,1.7937,17.6717,2.9697,PE；PB,38.35亿,25.71亿,15.68%,74.41亿,24.44亿,0.58,,杨建良
2020,117.059,1.764,66.36,30.11,273.48%,5.31亿,186.72%,10.62,3.8877,28.6776,6.2486,PE；PB,5.61亿,10.49亿,17.65%,26.62亿,7.08亿,0.32,,杨建良
2019,11.617,1.26,9.22,8.06,17.84%,1.85亿,-7.72%,9.68,1.4413,11.4109,0.9525,PE；PB,6.06亿,5.80亿,22.99%,17.08亿,3.56亿,0.16,,杨建良
2018,16.103,1.26,12.78,6.84,8.07%,2.01亿,6.04%,12.24,2.3542,8.4201,1.0441,PE；PB,9.37亿,4.32亿,29.35%,15.42亿,2.34亿,,,杨建良
2017,,,,6.33,112.77%,1.89亿,270.10%,0.0,,,,PE；PB,8305.87万,2.92亿,29.92%,4.80亿,2.41亿,,,杨建良
2016,,,,2.98,107.71%,5116.80万,351.52%,3.6,,,,PE；PB,2588.72万,1.72亿,17.20%,3.40亿,1.56亿,,,杨建良
2015,,,,1.43,6.63%,1133.25万,45.63%,3.05,,,,PE；PB,1164.65万,1.26亿,7.91%,2.88亿,1.75亿,,,杨建良
2014,,,,1.34,False,778.18万,False,0.0,,,,PE；PB,951.62万,1.16亿,5.79%,2.77亿,1.52亿,,,杨建良
2011,,,,4.1,47.20%,1.10亿,37.03%,2.39,,,,PE；PB,5873.04万,6941.69万,26.93%,2.25亿,1.62亿,,,杨建良
2010,,,,2.79,72.79%,8061.24万,84.61%,1.6,,,,PE；PB,1.23亿,7603.16万,28.93%,1.45亿,1.24亿,,,杨建良
