报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,1597.299,22.786,70.1,70.07,106.47%,9.21亿,264.44%,4.69,22.7958,175.25,14.9467,PE；PB,19.50亿,39.98亿,14.13%,115.87亿,83.26亿,,,中国五矿股份有限公司
2026-03-31,1597.299,22.786,70.1,70.07,106.47%,9.21亿,264.44%,4.69,5.6989,175.25,14.9467,PE；PB,19.50亿,39.98亿,14.13%,115.87亿,83.26亿,,,中国五矿股份有限公司
2025,387.006,13.9663,27.71,176.39,19.34%,12.81亿,29.20%,4.27,2.194,47.7759,6.4895,PE；PB,20.36亿,30.77亿,7.89%,105.56亿,48.91亿,0.16,,中国五矿股份有限公司
2024,127.022,13.9738,9.09,147.79,7.80%,9.91亿,23.94%,5.4,0.8595,18.9375,1.6833,PE；PB,15.36亿,22.52亿,7.01%,85.39亿,37.36亿,0.13,,中国五矿股份有限公司
2023,88.946,10.7553,8.27,136.75,-2.63%,8.00亿,49.60%,4.13,0.6504,21.2051,2.0024,PE；PB,12.06亿,16.06亿,4.61%,78.96亿,35.32亿,0.12,,中国五矿股份有限公司
2022,125.964,10.7386,11.73,130.8,8.16%,5.35亿,1.33%,5.01,0.963,30.8684,2.3413,PE；PB,7.61亿,8.23亿,5.05%,61.23亿,29.25亿,0.13,,中国五矿股份有限公司
2021,124.406,10.5429,11.8,120.94,21.92%,5.28亿,138.60%,4.57,1.0287,24.5833,2.5821,PE；PB,9.69亿,4.47亿,5.28%,56.34亿,28.10亿,,,中国五矿股份有限公司
2020,46.822,8.8012,5.32,99.19,12.55%,2.21亿,78.30%,4.08,0.472,23.1304,1.3039,PE；PB,9.47亿,-8020.05万,2.99%,49.42亿,25.25亿,,,中国五矿股份有限公司
2019,44.27,8.8012,5.03,88.13,-1.12%,1.24亿,-8.72%,3.75,0.5023,35.9286,1.3413,PE；PB,7.69亿,-3.01亿,2.46%,40.75亿,18.52亿,,,中国五矿股份有限公司
2018,24.517,6.2865,3.9,81.77,21.87%,1.36亿,0.74%,3.62,0.2998,25.2591,1.0773,PE；PB,9.13亿,-1.81亿,2.49%,37.75亿,18.38亿,0.0,,中国五矿股份有限公司
2017,,,6.51,67.09,25.88%,1.35亿,913.65%,4.92,,42.4935,1.3232,PE；PB,9.59亿,-3.15亿,2.77%,37.50亿,18.67亿,,,中国五矿股份有限公司
2016,,,7.61,51.96,-11.29%,1330.40万,102.58%,4.73,,358.9623,1.6089,PE；PB,6.02亿,-3.69亿,1.03%,35.08亿,15.75亿,,,中国五矿股份有限公司
2015,,,8.39,58.57,-30.10%,-5.16亿,-2443.95%,4.7,,,1.7851,PE；PB,4.99亿,-3.82亿,-9.02%,34.60亿,14.69亿,,,中国五矿股份有限公司
2014,,,8.79,83.8,-25.43%,2201.02万,-86.11%,5.54,,251.1429,1.5866,PE；PB,7.59亿,1.34亿,0.56%,39.21亿,19.54亿,,,中国五矿股份有限公司
2013,,,6.34,112.37,32.37%,1.58亿,2.27%,5.54,,21.0912,1.1444,PE；PB,12.60亿,1.12亿,1.81%,39.24亿,31.11亿,,,中国五矿股份有限公司
2012,,,,84.9,10.13%,1.55亿,3252.33%,1.27,,,,PE；PB,2.49亿,-8954.41万,-3.21%,28.57亿,28.81亿,,,中国五矿股份有限公司
2011,,,,14.49,25.15%,462.22万,-39.63%,1.5,,,,PE；PB,751.33万,-1.55亿,0.32%,3.33亿,2.16亿,,,中国五矿股份有限公司
2010,,,5.19,11.58,44.76%,765.65万,172.48%,1.48,,152.6471,3.5068,PE；PB,6399.10万,-1.60亿,0.66%,3.28亿,1.48亿,,,中国五矿股份有限公司
