报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,133.61,3.9553,33.78,3.43,19.87%,9556.01万,129.22%,5.32,38.9534,140.75,6.3496,PE；PB,1.72亿,10.46亿,27.90%,21.04亿,14.16亿,,,万柏方
2026-03-31,133.61,3.9553,33.78,3.43,19.87%,9556.01万,129.22%,5.32,9.7383,140.75,6.3496,PE；PB,1.72亿,10.46亿,27.90%,21.04亿,14.16亿,,,万柏方
2025,127.756,3.9553,32.3,11.26,-10.50%,1.55亿,-41.84%,5.07,11.346,82.8205,6.3708,PE；PB,1.70亿,9.51亿,13.79%,20.07亿,11.12亿,0.25,,万柏方
2024,85.782,3.9531,21.7,12.58,-9.16%,2.67亿,-19.17%,4.92,6.8189,31.9118,4.4106,PE；PB,3.13亿,9.15亿,21.23%,19.45亿,5.41亿,0.4,,万柏方
2023,88.912,3.0201,29.44,13.85,34.12%,3.30亿,29.64%,4.63,6.4196,35.0476,6.3585,PE；PB,2.18亿,8.34亿,23.86%,18.28亿,4.62亿,0.1,,万柏方
2022,70.0,2.0,35.0,10.32,47.93%,2.55亿,40.51%,4.93,6.7829,53.8462,7.0994,PE；PB,5.33亿,5.67亿,24.68%,14.88亿,3.95亿,0.2,,万柏方
2021,70.06,2.0,35.03,6.98,27.73%,1.81亿,66.24%,6.13,10.0372,58.3833,5.7145,PE；PB,4.90亿,3.78亿,25.98%,12.26亿,3.20亿,0.2,,万柏方
2020,47.32,2.0,23.66,5.46,12.84%,1.09亿,6.99%,5.31,8.6667,36.9688,4.4557,PE；PB,5.39亿,2.55亿,19.97%,10.61亿,1.93亿,,,万柏方
2019,,,,4.84,11.54%,1.02亿,37.38%,3.23,,,,PE；PB,9281.32万,1.57亿,21.06%,4.85亿,1.87亿,,,万柏方
2018,,,,4.34,25.86%,7421.21万,76.37%,2.67,,,,PE；PB,5770.78万,8029.66万,17.10%,4.00亿,1.19亿,,,万柏方
2017,,,,3.45,12.49%,4207.84万,174.86%,2.15,,,,PE；PB,3947.93万,5850.57万,12.20%,2.92亿,1.03亿,,,万柏方
2016,,,,3.07,-2.87%,1530.93万,85.31%,1.83,,,,PE；PB,1141.97万,2063.52万,4.99%,2.49亿,9936.75万,,,万柏方
2015,,,,3.16,4.94%,826.14万,32.61%,1.72,,,,PE；PB,1138.16万,743.52万,2.62%,2.34亿,1.08亿,,,万柏方
2014,,,,3.01,20.22%,622.97万,-42.82%,1.64,,,,PE；PB,928.64万,5823.70万,2.07%,2.18亿,1.40亿,,,万柏方
2013,,,,2.5,False,1089.41万,False,1.58,,,,PE；PB,756.30万,5263.03万,4.35%,1.98亿,1.05亿,,,万柏方
