报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,102.167,8.2194,12.43,18.97,38.28%,5466.15万,274.13%,2.15,5.3857,186.9173,5.7814,PB；PE,8.14亿,2.82亿,2.87%,17.75亿,22.83亿,,,沈健生
2026-03-31,102.167,8.2194,12.43,18.97,38.28%,5466.15万,274.13%,2.15,1.3464,186.9173,5.7814,PB；PE,8.14亿,2.82亿,2.87%,17.75亿,22.83亿,,,沈健生
2025,127.48,8.2192,15.51,63.95,19.48%,4625.96万,-19.81%,2.7,1.9934,275.4885,5.7444,PB；PE,2.58亿,2.27亿,0.70%,17.19亿,19.84亿,0.01,,沈健生
2024,91.315,8.2192,11.11,53.52,20.10%,5769.01万,-10.54%,2.03,1.7062,158.2621,5.4729,PB；PE,4.19亿,1.97亿,1.06%,16.55亿,15.90亿,0.02,,沈健生
2023,66.247,8.2192,8.06,44.57,12.99%,6448.41万,-4.19%,1.99,1.4864,102.6752,4.0503,PB；PE,5.76亿,1.69亿,1.42%,16.20亿,10.05亿,,,沈健生
2022,63.534,8.2192,7.73,39.44,23.44%,6730.61万,65.68%,1.92,1.6109,94.3834,4.026,PB；PE,8.97亿,1.22亿,1.67%,15.64亿,7.97亿,0.02,,沈健生
2021,65.014,8.2192,7.91,31.95,34.79%,4062.47万,139.49%,1.85,2.0349,158.2,4.2757,PB；PE,5.87亿,8569.95万,1.27%,15.04亿,7.48亿,,,沈健生
2020,42.822,8.2192,5.21,23.7,17.07%,1696.29万,2.36%,1.8,1.8068,260.5,2.8944,PB；PE,3.32亿,5082.75万,0.72%,14.68亿,6.08亿,0.01,,沈健生
2019,25.973,8.2192,3.16,20.25,4.90%,1657.16万,122.42%,1.8,1.2826,158.0,1.7556,PB；PE,1.46亿,4245.51万,1.45%,14.61亿,5.45亿,,,沈健生
2018,28.521,8.2192,3.47,19.3,-3.05%,-7389.90万,-1094.35%,1.77,1.4778,,1.9605,PB；PE,5840.28万,2588.35万,-3.54%,14.31亿,5.21亿,0.01,,沈健生
2017,,,8.11,19.89,27.11%,743.19万,6.28%,1.87,,853.6842,4.3369,PB；PE,9801.34万,1.08亿,0.39%,15.39亿,5.49亿,,,沈健生
2016,,,9.76,15.65,15.01%,699.27万,103.74%,1.87,,1096.6292,5.2193,PB；PE,4667.67万,1.01亿,0.47%,15.34亿,4.81亿,,,沈健生
2015,,,9.02,13.61,-4.76%,-1.87亿,-436.44%,1.85,,,4.8757,PB；PE,4727.61万,9392.28万,-13.74%,15.24亿,4.01亿,0.045,,沈健生
2014,,,5.49,14.29,-9.01%,5562.20万,-26.47%,4.62,,81.0931,1.1883,PB；PE,4.05亿,2.98亿,3.89%,17.28亿,3.79亿,0.09,,沈健生
2013,,,4.86,15.7,11.58%,7564.72万,-24.24%,9.05,,24.3,0.537,PB；PE,5.19亿,2.64亿,4.82%,16.91亿,3.00亿,0.09,,沈健生
2012,,,4.93,14.07,-8.58%,9985.00万,-19.20%,8.75,,7.8254,0.5634,PB；PE,6.68亿,2.13亿,7.10%,16.34亿,2.63亿,,,沈健生
2011,,,,15.39,24.67%,1.24亿,35.06%,4.56,,,,PB；PE,2377.60万,1.23亿,8.03%,6.38亿,2.27亿,,,沈健生
2010,,,,12.35,77.57%,9149.84万,19.92%,3.68,,,,PB；PE,5234.77万,1203.36万,7.41%,5.15亿,2.01亿,,,沈健生
