报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,33.839,1.0412,32.5,2.42,23.83%,2169.31万,-24.48%,12.23,13.9831,156.025,2.6574,PE；PB,2.90亿,4.72亿,8.82%,12.76亿,2.94亿,0.2,20%: 最新年度净利润同比下降,宁波丰茂投资控股有限公司
2026-03-31,33.839,1.0412,32.5,2.42,23.83%,2169.31万,-24.48%,12.23,3.4958,156.025,2.6574,PE；PB,2.90亿,4.72亿,8.82%,12.76亿,2.94亿,0.2,,宁波丰茂投资控股有限公司
2025,35.344,0.8,44.18,9.11,-3.96%,9153.71万,-43.40%,12.03,3.8797,50.2274,3.6725,PE；PB,3.14亿,4.51亿,9.89%,12.55亿,2.88亿,0.5,,宁波丰茂投资控股有限公司
2024,24.464,0.8,30.58,9.49,18.34%,1.62亿,17.03%,14.99,2.5779,19.6656,2.04,PE；PB,6.46亿,4.09亿,17.05%,11.99亿,2.20亿,0.4,,宁波丰茂投资控股有限公司
2023,27.864,0.8,34.83,8.02,31.83%,1.38亿,35.14%,13.32,3.4743,15.4115,2.6149,PE；PB,7.56亿,2.95亿,17.24%,10.66亿,1.79亿,,,宁波丰茂投资控股有限公司
2022,,,,6.08,9.62%,1.02亿,46.03%,6.06,,,,PE；PB,1.43亿,1.71亿,16.82%,3.64亿,1.70亿,,,宁波丰茂投资控股有限公司
2021,,,,5.55,31.95%,7001.84万,25.99%,4.36,,,,PE；PB,1.01亿,7892.64万,12.62%,2.61亿,1.35亿,,,宁波丰茂投资控股有限公司
2020,,,,4.2,7.06%,5557.28万,26.36%,3.14,,,,PE；PB,7200.89万,1590.98万,13.22%,1.88亿,1.05亿,,,宁波丰茂投资控股有限公司
2019,,,,3.93,31.00%,4398.10万,39354.64%,7.13,,,,PE；PB,7050.37万,5514.81万,11.20%,7127.59万,9554.72万,,,宁波丰茂投资控股有限公司
2018,,,,3.0,False,11.15万,False,2.73,,,,PE；PB,4677.51万,1556.53万,0.04%,2729.49万,7928.12万,,,宁波丰茂投资控股有限公司
