报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,21.996,4.5825,4.8,2.83,-21.35%,-4220.18万,-111.87%,2.0,7.7724,,2.4,PE；PB,1.31亿,-2.40亿,-19.62%,8.31亿,1.31亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,福建省建材(控股)有限责任公司
2026-03-31,21.996,4.5825,4.8,2.83,-21.35%,-4220.18万,-111.87%,2.0,1.9431,,2.4,PE；PB,1.31亿,-2.40亿,-19.62%,8.31亿,1.31亿,,,福建省建材(控股)有限责任公司
2025,30.061,4.5825,6.56,15.28,-11.96%,-1.27亿,24.11%,2.22,1.9673,,2.955,PE；PB,4995.90万,-1.97亿,-11.99%,9.46亿,1.18亿,,,福建省建材(控股)有限责任公司
2024,17.368,4.5825,3.79,17.35,-15.38%,-1.67亿,48.16%,2.39,1.001,,1.5858,PE；PB,6832.25万,-7044.29万,-13.12%,10.81亿,1.22亿,,,福建省建材(控股)有限责任公司
2023,23.737,4.5825,5.18,20.51,-20.83%,-3.23亿,-32.97%,2.59,1.1573,,2.0,PE；PB,1.16亿,9679.95万,-19.60%,12.34亿,1.52亿,,,福建省建材(控股)有限责任公司
2022,24.516,4.5825,5.35,25.91,-28.37%,-2.43亿,-178.25%,3.35,0.9462,,1.597,PE；PB,9494.57万,4.19亿,-12.09%,16.60亿,3.18亿,0.088,,福建省建材(控股)有限责任公司
2021,33.544,4.5825,7.32,36.17,22.16%,3.10亿,11.58%,4.21,0.9274,10.7647,1.7387,PE；PB,3.38亿,7.02亿,10.53%,20.74亿,3.03亿,0.08,,福建省建材(控股)有限责任公司
2020,30.397,3.8187,7.96,29.6,-2.74%,2.78亿,-40.49%,3.63,1.0269,13.1353,2.1928,PE；PB,4.57亿,4.67亿,10.26%,17.90亿,1.78亿,0.16,,福建省建材(控股)有限责任公司
2019,27.075,3.8187,7.09,30.44,3.27%,4.67亿,38.34%,3.65,0.8895,6.9578,1.9425,PE；PB,6.38亿,3.15亿,16.53%,15.00亿,1.32亿,0.033,,福建省建材(控股)有限责任公司
2018,22.454,3.8187,5.88,29.47,60.68%,3.37亿,322.33%,2.24,0.7619,6.6516,2.625,PE；PB,7.00亿,-1.14亿,13.95%,13.81亿,1.59亿,,,福建省建材(控股)有限责任公司
2017,,,5.81,18.34,38.62%,-1.52亿,-1198.99%,1.58,,,3.6772,PE；PB,3.77亿,-4.12亿,-14.02%,10.55亿,1.51亿,0.011,,福建省建材(控股)有限责任公司
2016,,,8.31,13.23,-13.19%,1381.30万,103.54%,1.92,,230.8333,4.3281,PE；PB,3.20亿,-2.56亿,-4.22%,12.90亿,1.73亿,,,福建省建材(控股)有限责任公司
2015,,,8.84,15.24,-26.06%,-3.90亿,-887.51%,2.51,,,3.5219,PE；PB,3.17亿,-2.55亿,-35.12%,15.81亿,1.68亿,0.039,,福建省建材(控股)有限责任公司
2014,,,7.22,20.62,13.31%,4957.73万,160.31%,3.55,,55.5385,2.0338,PE；PB,5.33亿,1.50亿,3.54%,21.23亿,2.24亿,0.016,,福建省建材(控股)有限责任公司
2013,,,4.6,18.2,12.40%,1904.58万,-30.38%,2.76,,92.0,1.6667,PE；PB,6.55亿,1.09亿,1.73%,17.96亿,1.82亿,0.03,,福建省建材(控股)有限责任公司
2012,,,5.76,16.19,-13.69%,2735.72万,-78.09%,3.1,,80.0,1.8581,PE；PB,7.18亿,1.05亿,1.60%,19.62亿,2.27亿,0.05,,福建省建材(控股)有限责任公司
2011,,,6.17,18.76,38.30%,1.25亿,1434.48%,3.09,,18.8685,1.9968,PE；PB,1.78亿,1.07亿,6.67%,13.82亿,2.54亿,,,福建省建材(控股)有限责任公司
2010,,,6.21,13.56,18.02%,813.62万,108.46%,2.91,,310.5,2.134,PE；PB,2.68亿,-1582.72万,0.60%,11.17亿,2.08亿,,,福建省建材(控股)有限责任公司
